id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
271,"Puyuma (Chihpen F69)","Ferrell (1969)",pyu,puyu1239,"Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.Andreea: replaced /đ/ with /ð/ (cf. book).","Austronesian, Puyuma","Simon Greenhill","Simon Greenhill","@book{Ferrell69,  address   = {Taiwan},  publisher = {Academica Sinica},  title     = {Taiwan Aboriginal Groups: Problems in cultural and linguistic classification},  series    = {Monograph 17: Institute of Ethnology},  year      = {1969},  author    = {Ferrell, Raleigh}}"
latitude,longitude
22.78377853860863666569,121.11053466796875000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
83903,1,hand,limaʔ,,,"1,64",
83904,1,hand,darukap,,,"3,44",
83905,1,hand,rima,,,"1,64",
628,2,left,tamawiriʔ,,,"1,59",
985,3,right,tarawalán,,,"1,68",
1342,4,leg/foot,kuíʔ,,,59,
1699,5,"to walk",kəmakawan,,,91?,
2056,6,road/path,ðaðalán,,,1,
2413,7,"to come",mupánaʔ,"Another form: Dua (Cauquelin)",,12,
71753,8,"to turn",muliús,,,2,
71754,8,"to turn",muliulius,,,2,
3127,9,"to swim",pakulimaʔ,,,69,
3484,10,dirty,miliṭáq̂,,,94,
3841,11,dust,ramə́ŋ,,,,
4198,12,skin,ruviṭ,,,61,
4555,13,back,rikuẓán,,,1,
72089,14,belly,ti'áɬ,,,1,
72090,14,belly,tteyal,"Cf S Bunun. L? -EG",,1,
5269,15,bone,ʔokák,,,19,
5626,16,intestines,ṭinaq̂íʔ,,,1,
5983,17,liver,q̂áṭai,,,1,
6340,18,breast,súsuʔ,,,1,
72249,19,shoulder,q̂í'av,,,53,
72250,19,shoulder,ayab,,,53,
7054,20,"to know, be knowledgeable",maẓalám,"*ma-[dz]aNam, LS. from tame animals? BB",,74,
72384,21,"to think",marʔáŋər,,,57,
72385,21,"to think",maráŋer,,,57,
7768,22,"to fear",makáuð,,,56,
72458,23,blood,ðaráq̂,,,1,
72459,23,blood,damok,loan,l,20,
72460,23,blood,modomok,loan,l,20,
72520,24,head,ṭaŋúruq̂,,,36,
72521,24,head,tangaro,,,36,
72522,24,head,tangal,"\"face\" (cauquelin)",,36?,
72523,24,head,tungrow,,,36,
72579,25,neck,niq̂ə́n,"highly irreg. Loan ?",,94,
72580,25,neck,tangdo,,,,
72650,26,hair,q̂arvó,*qaRbu,,16,
72651,26,hair,aruvo,*qaRbu,,16,
72725,27,nose,ʔunṭán,,,46,
72726,27,nose,antingran,,,45,
72727,27,nose,atenguran,,,45,
9910,28,"to breathe",məŋáẓ,*Seŋa[dz],,61,
72884,30,mouth,ʔuðúŋ,,,75,
72885,30,mouth,indan,,,70,
72886,30,mouth,imdan,,,70,
72949,31,tooth,wáliʔ,,,2,
72950,31,tooth,ware,,,2,
11338,32,tongue,sema,,,1,
11695,33,"to laugh",likəẓ,"Final [ẓ] expected to be [ð] -EG",,79?,
12052,34,"to cry",ṭəmaṭaŋís,,,1,
12409,35,"to vomit",mutáq̂,,,1,
12766,36,"to spit",támaʔ,"Sputum / Spittle not verb",,79,
73270,37,"to eat",ʔémkan,,,1,
73271,37,"to eat",amkan,,,1,
13837,39,"to cook",ðəmərúʔ,,,74,
14194,40,"to drink",q̂əmáu,,,,
14551,41,"to bite",kmarát,,,1,
14908,42,"to suck",sirəpáu,,,46,
73719,43,ear,taliŋaʔ,metathesis,,1,
73720,43,ear,tangira,metathesis,,"1,72",
73721,43,ear,rangera,metathesis,,"11,72",
73722,43,ear,tungila,metathesis,,"1,72",
15622,44,"to hear",kiŋə́l,,,50,
73810,45,eye,maṭáʔ,,,1,
73811,45,eye,mata,,,1,
73915,46,"to see",mənaq̂áu,,,76,
73916,46,"to see",naʔuái,,,76,
73987,48,"to sleep",ʔaləpə́q̂,,,48,
73988,48,"to sleep",medŭng,,,49,
17407,49,"to lie down",kursaŋẓáɬ,,,,
18121,51,"to sit",kəmayán,,,93,
18478,52,"to stand",matəkəríẓ,,,,
74186,53,"person/human being",ṭau,,,1,
74187,53,"person/human being",atou,,,1,
74249,54,man/male,maq̂ínai,,,"58, 107",
74250,54,man/male,utu,,,,
74251,54,man/male,mainaen,,,"58, 107",
74322,55,woman/female,vavayán,,,"1,105",
74323,55,woman/female,omos,,,,
74409,56,child,ʔalák,,,1,
74410,56,child,mainaian,,,,
74511,59,mother,ta'ínaʔ,,,1,
74512,59,mother,ʔináʔ,,,1,
74577,60,father,təmamáʔ,,,1,
74578,60,father,ʔamaʔ,,,1,
74624,61,house,rumáq̂,,,1,
