id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1260,"Inati (Nagpana)","Pennoyer (1987)",atk,atii1237,"Douglas F. Pennoyer. 1987. Inati: the Hidden Negrito Language of Panay, Philippines. Philippine Journal of Linguistics 18/19. 1-36.The main dialect in this study is that of Nagpana, Barotac Viejo, Iloilo City.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bisayan, Central, Periphera","Andrew Hsiu",,"@article{134166,  journal    = {Philippine Journal of Linguistics},  pages      = {1-36},  title      = {Inati: the Hidden Negrito Language of Panay, Philippines},  volume     = {18/19},  year       = {1986/1987},  bibtexkey  = {pennoyer_inati-panay1986},  fn         = {papua\pennoyer_inati1986-1987.pdf, papua\pennoyer_inati1987.pdf},  hhtype     = {grammar_sketch},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#s:Pennoyer:Inati},  author     = {Pennoyer, Douglas F.}}"
latitude,longitude
11.15390000000000000000,122.51200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
299582,1,hand,keremkem,,,69,
299583,1,hand,palad,,,63,
299479,2,left,wele,,,1,
299480,3,right,toʔo,,,"5,25",
299481,4,leg/foot,bitis,,,23,
299482,5,"to walk",lakaw,,,1,
299584,6,road/path,ereden,,,"1,55",
299585,6,road/path,iridan,,,"1,55",
299586,7,"to come",dɨrɨt,,,82,
299587,7,"to come",dasig,,,,
301302,9,"to swim",langoy,,,1,
299485,12,skin,panit,,,"2,85",
299486,14,belly,katowan,,,84,
299487,15,bone,tolan,,,1,
299488,17,liver,atay,,,1,
299588,18,breast,soso,,,1,
299589,18,breast,titiʔ,,,6,
299590,20,"to know, be knowledgeable",merem,,,,
299591,20,"to know, be knowledgeable",kamaʔan,,,,
299491,23,blood,dogo,,,16,
301303,24,head,olo,,,1,
299492,25,neck,liʔɨg,,,1,
299493,26,hair,bolbol,,,26,
299494,27,nose,orong,,,"1,84",
299592,30,mouth,bebe,,,,
299593,30,mouth,begeʔ,,,,
299594,31,tooth,erengkeb,,,,
299595,31,tooth,onto,,,52,
299497,32,tongue,dilaʔ,,,4,
299498,36,"to spit",dopreʔ,,,"1,36",
299596,37,"to eat",hemengen,,,"1,14",
299597,37,"to eat",kain,,,1,
299500,40,"to drink",omak,,,57,
299501,41,"to bite",kadat,,,1,
299502,43,ear,talingeʔ,,,1,
