id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
751,"Biao (Shidong)","Liang Min",byk,biao1253,"ISO 639-3: byk Source: 梁敏 / Liang Min. 标话硏究 / Biao hua yan jiu (A Study of Biao). Beijing: 中央民族大学出版社 / Zhong yang min zu da xue chu ban she, 2002.Biao, the easternmost of the Tai-Kadai languages, is spoken by the Biao people (标人) of Huaiji County (怀集县), Guangdong, China. The Shidong (诗洞) dialect is used. Liang considers Lakkia and Biao to be Kam-Sui languages (Liang 2002:159-160).Tones (Shidong 诗洞 dialect):1 = /55/2 = /214/3 = /54/4 = /132/5 = /35/6 = /22/7 = /55/8 = /35/9 = /12/10 = /22/",,"Tai-Kadai, Kam-Tai, Kam-Sui","Andrew C. Hsiu",,"@book{51026,  address               = {Beijing},  edition               = {Dai 1 ban},  pages                 = {299},  publisher             = {Central Nationalities University Press},  title                 = {Biao hua yanjiu},  year                  = {2002},  bibtexkey             = {liang-zhang_biao-hua2002},  document_type         = {B},  fn                    = {eurasia\liang-zhang_biao2002.pdf, eurasia\liang-zhang_biao2002_o.pdf, eurasia\liang-zhang_biao2002v2.pdf},  hhtype                = {grammar},  inlg                  = {Chinese-Mandarin [cmn]},  inlg_code             = {eng},  macro_area            = {Eurasia},  mpi_eva_library_shelf = {PL 4251 LIA 2002},  src                   = {hh, mpieva},  srctrickle            = {hh#g:LiangZhang:Biao, mpieva#Liang2002Biaohuay},  title_english         = {A study of Biao},  author                = {Liang, Min and Zhang, Junru}}"
latitude,longitude
23.65599999999999880629,113.39100000000000534328
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
191545,1,hand,hy2,"Chinese ?",L?,,
191546,2,left,θɔ5,Chinese,L,54,
191547,3,right,jau6,Chinese,L,,
191548,4,leg/foot,puk7,,,41,
191737,5,"to walk",ha:ŋ2,,,,
191738,5,"to walk",poi1,"to go",,,
191550,6,road/path,"ti6 tsɔŋ1",,,,
191551,7,"to come",naŋ1,,,,
191552,9,"to swim","ta1 øm5",,,,
191553,10,dirty,"ta1 θɔ3",,,,
191554,11,dust,phuŋ3,,,,
191555,12,skin,pi4,,,,
191556,13,back,"thaŋ6 θiak9",,,,
191557,14,belly,tu1,Chinese,L,,
191558,15,bone,jak8,,,,
191559,16,intestines,wɔi4,,,,
191560,17,liver,kɔŋ3,Chinese,L,,
191561,18,breast,niŋ3,,,,
191562,19,shoulder,"ha6 tshu5",,,,
191563,20,"to know, be knowledgeable",hɛu1,,,,
191564,21,"to think",nam3,,,1,
191565,22,"to fear",sip7,,,,
191794,23,blood,jan2,,,,
191795,23,blood,lyt10,"Yonggu Biao Dialect",,,
191567,24,head,"ha6 lo5","PAN *qulu",,1,
191568,25,neck,"lak8 ŋen1",,,1?,
191569,26,hair,"ha6 lo5 θam1",,,,
191570,27,nose,"kaŋ2 ȵaŋ3",,,1?,
191571,28,"to breathe","sɔk9 hi5","Chinese ?",L?,,
191572,29,"to sniff, smell",ham5,,,,
191573,30,mouth,θœi1,Chinese,L,,
191574,31,tooth,ŋa4,Chinese,L,,
191799,32,tongue,tshu1,,,,
191800,32,tongue,phyə1,"Yonggu Biao Dialect",,,
191739,33,"to laugh","ly6 wɔ2",,,,
191740,33,"to laugh",wɔ2,,,,
191577,34,"to cry","ta1 phɔ1",,,,
191578,35,"to vomit",au1,Chinese,L,,
191579,36,"to spit",phiɔ3,,,,
191580,37,"to eat",ki1,,,,
191581,39,"to cook",tsuŋ2,,,,
191582,41,"to bite",kat7,,,,
191583,42,"to suck",sɔk9,,,,
191584,43,ear,"lak8 ho2",,,,
191585,44,"to hear",thiaŋ5,Chinese,L,,
191741,45,eye,"θo1 θiaŋ3",,,,
191742,45,eye,θo1,,,,
191587,46,"to see",tsiŋ3,"Chinese ?",L?,,
191588,47,"to yawn","tsha:ŋ5 θuk7",,,,
191589,48,"to sleep",han5,,,,
191590,49,"to lie down",paŋ6,"to recline (posture)",,,
191591,50,"to dream",muŋ6,Chinese,L,,
191592,51,"to sit",naŋ6,,,,
191593,52,"to stand",ȵyn1,,,,
191743,53,"person/human being",lan2,,,,
191744,53,"person/human being",jan2,,,,
191745,53,"person/human being",ȵan4,,,,
191595,54,man/male,"lak8 i3",,,,
191596,55,woman/female,"lak8 piɔ4",,,,
191597,56,child,liak8,"son, offspring",,1,
191598,57,husband,"(lam5) uŋ3",,,,
191599,58,wife,"(lam5) piɔ4",,,,
191746,59,mother,"uŋ3 tsɔ3",,,,
191747,59,mother,"a1 ma5",vocative,,,
191748,60,father,"lam5 na6",,,,
191749,60,father,"a1 pa1",vocative,,,
191602,61,house,løk10,,,,
191603,63,name,"miaŋ4 θu6",Chinese,L,,
191604,64,"to say",kɔŋ1,,,,
191750,65,rope,θɔk10,"rope (thick)",,,
191751,65,rope,ja6,"rope (thin)",,,
191752,66,"to tie up, fasten",tsa:t9,,,,
191753,66,"to tie up, fasten",tɛu4,,,,
191754,67,"to sew",tshyn1,,,,
191755,67,"to sew",tshia3,,,,
191608,68,needle,tsham1,,,,
191609,70,"to shoot",sia6,Chinese,L,,
191610,72,"to hit",kut7,,,,
191611,73,"to steal",θak8,,,34,
191612,74,"to kill",thɔŋ1,,,,
191613,75,"to die, be dead",θa1,,,1,
191614,76,"to live, be alive",kyn6,,,,
191615,78,"to cut, hack",tiak9,,,,
191616,79,stick/wood,muk8,tree,,,
191617,80,"to split",fan3,Chinese,L,,
191618,81,sharp,θɛm3,,,1?,
191619,85,"to choose",thɛu3,,,,
191620,86,"to grow",put9,"to grow (of wild grass)",,,
191621,87,"to swell",huk8,,,,
191756,89,"to hold",tuk7,,,,
191757,89,"to hold",ȵam1,,,,
191758,90,"to dig",kwat8,,,,
191759,90,"to dig",wɛt9,,,,
191624,91,"to buy",ɔ1,,,,
191760,92,"to open, uncover",hoi1,"older Chinese loanword",L,,
191761,92,"to open, uncover",hoi3,"later Chinese loanword",L,,
191626,93,"to pound, beat",ta:p10,,,,
191796,94,"to throw",san5,,,,
191797,94,"to throw",fak7,"Yonggu Biao Dialect",,,
191628,96,dog,mu3,,,,
191762,97,bird,phuk7,,,,
191763,97,bird,"lak8 phuk7",,,,
191630,98,egg,ja:i6,,,,
191631,99,feather,jaŋ2,,,,
191632,100,wing,tshat7,,,,
191633,101,"to fly",pan5,,,,
191634,102,rat,"lak8 nu4",,,,
191764,103,meat/flesh,ŋa:u4,"of animals",,,
191765,103,meat/flesh,nɔn4,"of people, fruits",,,
191636,104,fat/grease,man2,,,,
191637,105,tail,tyŋ1,,,,
191638,106,snake,tshy1,,,,
191639,107,"worm (earthworm)",søn1,earthworm,,,
191766,108,louse,jɔ2,"head louse",,,
191767,108,louse,san1,"body louse",,,
191641,109,mosquito,jɛ6,,,,
191642,110,spider,"tam1 so1",,,,
191643,111,fish,ma:i6,,,,
191644,113,branch,san3,,,,
191768,114,leaf,my1,,,,
191769,114,leaf,mai5,"used by older generation speakers, probably more conservative form",,,
191646,115,root,jøk10,,,31,
191647,116,flower,fa3,,,,
191648,117,fruit,"haŋ6 ȵa2 liak8",,,,
191649,118,grass,jɔk10,,,,
191650,119,earth/soil,phen1,,,,
191651,120,stone,"ta1 pɔŋ2",,,,
191652,121,sand,sa3,,,,
191653,122,water,na:m4,,,1,
191654,123,"to flow",lai1,,,,
191655,124,sea,hɔi1,Chinese,L,,
191656,125,salt,him4,,,,
191657,126,lake,hu2,Chinese,L,,
191658,127,woods/forest,liam6,,,,
191659,128,sky,man1,,,,
191660,129,moon,phyn1,,,,
191661,130,star,θiaŋ3,,,,
191662,131,cloud,wan4,,,,
191663,132,fog,mu6,,,,
191664,133,rain,tshan1,,,,
191770,134,thunder,phɔ3,,,,
191771,134,thunder,"phɔ3 kiu5",verb,,,
191666,135,lightning,"phɔ3 tshik7 liaŋ6",verb,,,
191667,136,wind,lam2,,,,
191668,137,"to blow",tshœi1,Chinese,L,,
191772,138,warm,lɔt9,hot,,,
191773,138,warm,am5,warm,,,
191670,139,cold,θa:ŋ5,,,,
191671,140,dry,θa:i5,,,,
191672,141,wet,jai2,,,,
191673,142,heavy,tshak7,,,,
191674,143,fire,pai1,,,1,
191675,144,"to burn",tsau4,Chinese,L,,
191676,145,smoke,ɛn3,Chinese,L,,
191677,147,black,muk7,,,,
191678,148,white,piak10,Chinese,L,,
191679,149,red,lyŋ5,,,,
191680,150,yellow,wɔŋ4,Chinese,L,,
191774,151,green,luk8,Chinese,L,,
191775,151,green,thiaŋ3,"= Green/Blue, Chinese",L,,
191682,152,small,ȵik7,,,,
191683,153,big,luŋ5,,,,
191684,154,short,tɛ4,,,,
191685,155,long,wɔi2,,,,
191686,156,thin,pœk10,Chinese,L,,
191687,157,thick,tsho1,,,,
191688,158,narrow,kɛp10,,,,
191689,159,wide,hut9,,,,
191690,160,"painful, sick",kɛt9,painful,,1,
191691,162,old,tsɔ3,,,,
191692,163,new,jau5,,,,
191693,164,good,lɛ1,,,,
191694,165,"bad, evil",juŋ4,,,,
191776,166,"correct, true",ha:p10,,,,
191777,166,"correct, true",ŋa:m5,,,,
191696,167,night,ha:m5,,,,
191792,168,day,jan2,,,,
191793,168,day,wɛn2,"Yonggu Biao Dialect",,,
191801,169,year,pɛ1,,,,
191802,169,year,phui1,"Yonggu Biao Dialect",,,
191699,171,"to hide",puk8,,,,
191778,172,"to climb",kwa4,,,,
191779,172,"to climb",ka4,,,,
191701,173,at,ȵy4,"also means \"to reside\"",,,
191702,174,"in, inside","ly1 møŋ3",Chinese,L,,
191703,175,above,"hyn1 tiaŋ1",,,,
191704,176,below,"tai1 møŋ3",,,,
191780,177,this,na:i1,"before a word",,1,
191781,177,this,nai2,"after a word",,1,
191782,178,that,mui1,"before a word",,,
191783,178,that,mɔ5,"after a word",,,
191707,179,near,a5,,,,
191708,180,far,lɔi1,,,,
191709,181,where?,"lia1 kam2",,,,
191710,182,I,tsia1,,,,
191711,183,thou,mu2,,,1,
191712,184,he/she,man2,,,,
191784,185,we,"jɔ2 (lan1)",inclusive,,,
191785,185,we,"løŋ2 (lan1)",exclusive,,,
191786,186,you,sau1,,,1,
191787,186,you,"mu2 lan1",,,,
191715,187,they,"man2 lan1",,,,
191716,188,what?,"m6 sia1",,,,
191717,189,who?,"an1 tsan2",,,,
191788,192,and,kuŋ6,,,,
191789,192,and,"kuŋ6 ma:i4",,,,
191719,193,if,"ȵy4 kɔ1",Chinese,L,,
191720,194,how?,syŋ5,,,,
