id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
928,"En (Nung Ven)","Li Jinfang",enc,ennn1243,"Li Jinfang [李锦芳]. 2006. Studies on endangered languages in the Southwest China [西南地区濒危语言调查研究]. Beijing: Minzu University.En, also known as Nùng Vên, is spoken 12 km to the east of Nội Thôn village, Hà Quảng District, Cao Bằng Province.",,"Tai-Kadai, Kra, Eastern Kra","Andrew C. Hsiu",,"@book{323915,  address       = {Beijing},  pages         = {793},  publisher     = {Minzu Chubanshe},  title         = {Xīnán Dìqū Bīnwēi Yŭyán Diàochá Yánjiū},  year          = {2006},  bibtexkey     = {li_diqu-binwei2006},  hhtype        = {overview;comparative;grammar_sketch},  inlg          = {Chinese Mandarin [cmn]},  langnote      = {Also characteristics of Buyang varieties of Funing county Ecun, Lagjia, Ma Guan},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#hvs:Li:Southwest-China},  title_english = {Studies on endangered languages in the Southwest China},  author        = {Li, Jinfang}}"
latitude,longitude
22.83860000000000000000,106.16700000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
242854,1,hand,"pa212 ȵik33",,,47,
242855,2,left,"paŋ332 maaŋ332",,,"49, 52",
242856,3,right,"paŋ332 mjit43",,,45,
242857,4,leg/foot,"pa212 ljoŋ243",,,39?,
242858,6,road/path,khən243,,,,
242859,13,back,ʔdɛŋ54,,,,
242860,15,bone,ʔdaak35,,,,
242861,16,intestines,θi54,,,,
242862,17,liver,tap35,,,,
242863,23,blood,ka54,,,,
242864,25,neck,jau212,,,,
242865,26,hair,θam243,,,,
242866,30,mouth,θop35,,,,
242867,43,ear,"ke53 ra212",,,,
242868,45,eye,ta243,,,1,
242869,54,man/male,"ti212 ta332",,,,
242870,55,woman/female,"li332  wan332",,,,
242871,56,child,"lak33 pjaai332",,,1,
242872,57,husband,puk35,,,,
242873,58,wife,mai212,,,,
242874,60,father,pa54,,,,
242932,61,house,ta33,house,,,
242933,61,house,rhok33,room,,,
242876,68,needle,ŋaat33,,,,
242877,75,"to die, be dead",laam212,,,,
242878,79,stick/wood,ti243,tree,,,
242879,94,"to throw",ȶui54,,,,
242880,97,bird,nok53,,,1,
242881,98,egg,tam243,,,,
242882,102,rat,"ʔdi243 θi243",,,,
242883,103,meat/flesh,ʔau332,,,,
242884,104,fat/grease,jau332,oil,,,
242885,105,tail,θət55,,,,
242886,108,louse,tu54,,,1,
242887,109,mosquito,"ka332 ȵaŋ212",,,,
242888,111,fish,"pa332 la212",,,,
242889,120,stone,phja243,,,,
242890,122,water,ʔuŋ332,,,40,
242891,125,salt,ȵau212,,,,
242892,127,woods/forest,ʔdoŋ243,,,,
242934,128,sky,"pət35 wa212",,,,
242935,128,sky,"pət35 va332",,,,
242894,129,moon,θin54,,,,
242895,130,star,"ʔdaau332 ʔdi243",,,,
242936,136,wind,wan212,,,,
242937,136,wind,"li332 wa212",,,,
242897,143,fire,pi243,,,1,
242898,146,ash,tu54,"homonym with 'louse'",,,
242899,148,white,"li332 ʔuk35",,,,
242938,162,old,ke243,,,,
242939,162,old,ku54,,,,
242901,163,new,maan332,,,,
242902,164,good,ʔai243,,,,
242903,165,"bad, evil",le243,,,,
242904,167,night,wai243,,,,
242905,168,day,wan243,,,,
242906,169,year,piŋ212,,,,
242907,174,"in, inside","paŋ332 luŋ332",,,,
242908,176,below,"paŋ332 ta243",,,,
242909,177,this,ni54,,,1,
242910,178,that,ʔbui33,,,,
242911,179,near,thau54,,,,
242912,180,far,se332,,,,
242913,182,I,ʔbaau243,,,,
242914,183,thou,haai243,,,,
242915,184,he/she,ki54,,,,
242940,185,we,"phan243 ti54",inclusive,,,
242941,185,we,"phan243 ȶu243",exclusive,,,
242917,186,you,"phan243 ran43",,,,
242918,187,they,"phan243 ki54",,,,
242919,195,"no, not",le212,,,,
242920,197,One,ʔam332,,,,
242921,198,Two,θa243,,,1,
242922,199,Three,tu243,,,1,
242923,200,Four,pa243,,,11,
242924,201,Five,ma33,,,1,
242925,202,Six,nəm243,,,1,
242926,203,Seven,"ʔam332 tu243",,,1,
242927,204,Eight,"me332 ru33",,,1,
242928,205,Nine,wa54,,,1,
242929,206,Ten,θət33,,,,
242930,209,"One Hundred",paak35,,,,
242931,210,"One Thousand",siin35,,,,
