id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
170,"Melayu Ambon","Ot Kakerissa",abs,ambo1250,,,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Malay","Peng Du","Simon Greenhill","@misc{Kakerissa-170-2005,  author = \"Ot Kakerissa\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-4.00000000000000000000,128.00000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
170,1,hand,taŋaŋ,,,18,
527,2,left,kiri,,,1,1
884,3,right,kanaŋ,,,1,1
1241,4,leg/foot,kaki,,,"1,32",
1598,5,"to walk",bajalaŋ,,,21,
1955,6,road/path,jalaŋ,,,1,1
2312,7,"to come",dataŋ,,,14,
2669,8,"to turn",meŋo,,,30,
3026,9,"to swim",barnaŋ,,,23,
3383,10,dirty,badaki,,,1,1
3740,11,dust,abu,,,31,
4097,12,skin,kuli,,,1,1
4454,13,back,puŋuŋ,,,24,
4811,14,belly,poro,,,,
5168,15,bone,tulaŋ,,,1,1
5525,16,intestines,usus,,,24,
5882,17,liver,hati,,,1,1
6239,18,breast,susu,,,1,1
6596,19,shoulder,bahu,,,17,
6953,20,"to know, be knowledgeable",tau,,,1,1
7310,21,"to think",bapikir,"loan of 22?",,22,
7667,22,"to fear",taku,,,1,1
8024,23,blood,dara,,,1,1
8381,24,head,kapala,"Skt kapala 'skull'",L,45,
8738,25,neck,lɛhɛr,,,1,1
9095,26,hair,rambut,,,20,
9452,27,nose,idoŋ,,,1,1
9809,28,"to breathe",banapas,,,29,
10166,29,"to sniff, smell",cioŋ,,,20,
10523,30,mouth,mulu,,,27,
10880,31,tooth,gigi,,,17,
11237,32,tongue,lida,metathesis,,"4,31",1
11594,33,"to laugh",tatawa,,,1,1
11951,34,"to cry",manaŋis,,,1,1
12308,35,"to vomit",munta,,,1,1
12665,36,"to spit",luda,,,1,1
13022,37,"to eat",makaŋ,,,1,1
13379,38,"to chew",kuña,,,16,
13736,39,"to cook",mamasa,,,19,
14093,40,"to drink",minɔŋ,,,1,1
14450,41,"to bite",gigi,,,21,1
14807,42,"to suck",isap,,,1,1
15164,43,ear,taliŋa,,,1,1
15521,44,"to hear",deŋar,,,1,1
15878,45,eye,mata,,,1,1
16235,46,"to see",lia,"check that this is not mistyped, check final t?  if so 24",,,
16592,47,"to yawn",maŋuap,,,1,1
16949,48,"to sleep",sono,,,,
17306,49,"to lie down",talantaŋ,,,,
17663,50,"to dream",mimpi,,,1,1
18020,51,"to sit",duduk,,,35,
18377,52,"to stand",badiri,,,1,1
18734,53,"person/human being",oraŋ,,,20,
19091,54,man/male,laki-laki,,,2,1
19448,55,woman/female,perempuan,,,29,
19805,56,child,anak(ana),,,1,
20162,57,husband,laki,,,28,
20519,58,wife,bini,,,5,
74487,59,mother,mama,,,5,
74488,59,mother,mai,,,5,
74554,60,father,papa,,,48,
74555,60,father,pai,,,48,
21590,61,house,ruma,,,1,1
21947,62,thatch/roof,atap,,,1,1
22304,63,name,nama,,,12,
22661,64,"to say",bilaŋ,,,,
23018,65,rope,tali,,,1,1
23375,66,"to tie up, fasten",ika,,,1,1
23732,67,"to sew",manjai,,,2,1
24089,68,needle,jarɔŋ,,,1,1
24446,69,"to hunt",mancari,,,,
24803,70,"to shoot",pasaŋ,,,,
25160,71,"to stab, pierce",tikaŋ,,,31?,
25517,72,"to hit",pukol,,,27,
25874,73,"to steal",mancuri,,,19,
26231,74,"to kill",bunu,,,1,1
26588,75,"to die, be dead",mati,,,1,1
26945,76,"to live, be alive",hidop,,,1,1
27302,77,"to scratch",garu,,,55,1
27659,78,"to cut, hack",potɔŋ,,,,
28016,79,stick/wood,kaiju,,,1,1
28373,80,"to split",bála,,,1,1
28730,81,sharp,tajaŋ,,,1,1
29087,82,"dull, blunt",tumpul,,,3,1
