id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1266,"Botolan Sambal","Stone (2008)",sbl,boto1242,"Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.",,"Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic","Andrew Hsiu",,"@article{150458,  journal    = {Studies in Philippine languages and cultures},  pages      = {158-183},  title      = {The Sambalic languages of Central Luzon},  volume     = {19},  year       = {2008},  bibtexkey  = {stone_sambalic-luzon2008},  country    = {Philippines [PH]},  fn         = {papua\stone_sambalic2008.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {51521},  src        = {hh, sil16},  srctrickle = {hh#hvw:Stone:Sambalic, sil16#51521},  subject    = {Language classification [LCL], Grammatical descriptions [GRD]},  author     = {Stone, Roger}}"
latitude,longitude
15.23150000000000000000,120.16400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
300346,1,hand,gɨmɨt,,,21,
300347,2,left,oki,,,69,
300348,5,"to walk",owako,,,1,
300349,9,"to swim",taŋoy,,,"1,81",
300350,10,dirty,yaŋat,,,115,
300351,11,dust,alikabok,,,"1,48",
300352,12,skin,katat,,,75,
300353,13,back,bokot,,,86,
300354,14,belly,tiyan,,,1,
300355,15,bone,botʔo,,,39,
300356,17,liver,agtay,,L,,
300357,18,breast,nunoʔ,,,3,
300358,19,shoulder,abaya,,,1,
300359,23,blood,dayaʔ,,,1,
300360,24,head,olo,,,1,
300361,25,neck,lɨʔɨy,,,1,
300362,26,hair,habot,,,66,
300363,27,nose,baloŋoh,,,"1,86",
300364,29,"to sniff, smell",daʔɨp,,,79,
300365,30,mouth,bɨbɨy,,,"32,92",
300366,31,tooth,ŋipɨn,,,"1,48",
300367,32,tongue,dilaʔ,,,4,
300368,33,"to laugh",kaʔili,,,99,
300369,34,"to cry",taŋih,,,1,
300370,35,"to vomit",hoka,,,9,
300371,37,"to eat",kan,,,"1,14",
300372,40,"to drink",inom,,,1,
300373,41,"to bite",kayat,,,1,
300374,42,"to suck",hɨphɨp,,,1,
300375,43,ear,tolih,,,,
300376,44,"to hear",lɨngɨʔ,,,"1,17",
300377,45,eye,mata,,,1,
300378,46,"to see",kit,,,"1,109",
300379,48,"to sleep",tuloy,,,1,
300380,50,"to dream",taynɨp,,,30,
300381,51,"to sit",iknoʔ,,,59,
300382,52,"to stand",irɨŋ,,,83,
300383,54,man/male,lalaki,,,"2,99",
300384,55,woman/female,babayi,,,"1,105",
300385,56,child,anak,,,1,
300386,57,husband,asawa,,,2,
300387,58,wife,asawa,,,1,
300388,59,mother,nanay,,,"1,73",
300389,60,father,tatay,,,19,
300390,61,house,bali,,,14,
300391,62,thatch/roof,buboŋ,,,6,
300392,63,name,ŋalan,,,1,
300393,65,rope,yobil,,,"22,23",
300394,67,"to sew",tayiʔ,,,1,
300395,68,needle,karayɨm,,,"1,34",
300396,73,"to steal",takaw,,,1,
300397,74,"to kill",pati,,,2,
300398,81,sharp,tarɨm,,,1,
300399,83,"to work",trabaho,,,,
300400,84,"to plant",tanɨm,,,2,
300401,85,"to choose",piliʔ,,,1,
300402,88,"to squeeze",pɨhpɨh,,,29,
300403,90,"to dig",kali,,,1,
300404,91,"to buy",haliw,,,20,
300405,94,"to throw",tapon,,,98,
300406,96,dog,aho,,,1,
300407,97,bird,manokmanok,,,"1,49",
300408,98,egg,okoy,,,16,
300409,99,feather,habot,,,65,
300410,100,wing,pakpak,,,33,
300411,101,"to fly",lompad,,,21,
300412,105,tail,ikoy,,,1,
300413,106,snake,utan,,,67,
300414,107,"worm (earthworm)",uwɨl,,,35,
300415,109,mosquito,ilɨk,,,28,
300416,110,spider,gigaŋ,,,69,
300417,111,fish,kona,,,46,
300418,115,root,yamot,,,3,
300419,117,fruit,boŋa,,,9,
300420,120,stone,bato,,,1,
300421,121,sand,kapatiʔan,,,,
300422,122,water,lanom,,,"1,56",
300423,125,salt,ahin,,,3,
300424,128,sky,laŋit,,,1,
300425,129,moon,bowan,,,1,
300426,130,star,bitoʔɨn,,,1,
300427,131,cloud,lɨʔɨm,,,2,
300428,133,rain,oran,,,1,
300429,134,thunder,korol,,,"2,90",
300430,135,lightning,kimat,,,"1,81",
300431,138,warm,ʔamot,hot,,105,
300432,139,cold,layʔɨp,,,102,
300433,141,wet,bahaʔ,,,1,
300434,142,heavy,byat,,,1,
300435,143,fire,apoy,,,1,
300436,145,smoke,ahok,,,"2,53",
300437,146,ash,abo,,,1,
300438,147,black,ŋitit,,,17,
300439,148,white,putiʔ,,,1,
300440,149,red,orit,,,101,
300441,150,yellow,holyaw,,,27,
300442,152,small,yamoʔ,,,,
300443,153,big,hɨlay,,,95,
300444,155,long,karaʔ,,,90,
300445,156,thin,nipih,,,1,
300446,157,thick,kodpaw,,,"1,11",
300447,158,narrow,kapit,,,"47,72",
300448,159,wide,lapad,,,48,
300449,163,new,bayo,,,"1,54",
300450,164,good,hampat,,,114,
300451,167,night,yabi,,,21,
300452,168,day,allo,,,1,
300453,169,year,taʔon,,,1,
300454,170,when?,makano,,,"10,19",
300455,171,"to hide",tagoʔ,,L,,
300456,172,"to climb",moliʔ,,,50,
300457,180,far,rayoʔ,,,1,
300458,181,where?,ayri,,,,
300459,182,I,ako,,,"1,5",
300460,183,thou,ka,,,"1,29",
300461,184,he/she,ya,,,1,
301790,185,we,tamo,,,"1,10",
301791,185,we,kayi,,,2,
300463,186,you,kawo,,,"1,38",
300464,187,they,hila,,,1,
300465,188,what?,anya,,,24,
300466,189,who?,hino,,,"14,47",
300467,191,all,kaganawan,,,77,
300468,192,and,boy,,,,
300469,193,if,no,,,"2,70",
300470,194,how?,paŋno,,,"29,79",
300471,196,"to count",bilaŋ,,,1,
300472,197,One,mʔha,,,1,
300473,198,Two,lowa,,,1,
300474,199,Three,tatlo,,,"1,10",
300475,200,Four,ʔapat,,,"1,16",
300476,201,Five,lima,,,1,
300477,202,Six,ʔanɨm,,,"1,40",
300478,203,Seven,pito,,,1,
300479,204,Eight,walo,,,3,
300480,205,Nine,siyam,,,9,
300481,206,Ten,mapoʔ,,,"5,40",
300482,207,Twenty,lowampoʔ,,,"3,6",
300483,208,Fifty,limampoʔ,,,"1,2",
300484,209,"One Hundred",magatoʔ,,,"4,52",
300485,210,"One Thousand",malibo,,,"5,9",
