id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
789,"Dong, Northern","Long Yaohong & Zheng Guoqiao",doc,nort2735,"Long Yaohong and Zheng Guoqiao. The Dong Language in Guizhou Province, China. Dallas, TX: Summer Institute of Linguistics: [Arlington]: University of Texas at Arlington, 1998. ISBN 1556710518.The Tianzhu-Shidong (天柱石洞) dialect is used.",,"Tai-Kadai, Kam-Tai, Kam-Sui","Andrew C. Hsiu",,"@book{g_YaohongGuoqiao_Dong,  title            = {The Dong Language in Guizhou Province, China},  publisher        = {Arlington: Summer Institute of Linguistics and University of Texas at Arlington},  address          = {Arlington},  series           = {Summer Institute of Linguistics and University of Texas at Arlington Publications in Linguistics},  volume           = {126},  pages            = {288},  year             = {1998},  fn               = {eurasia\long-zheng_dong1998.pdf},  gbid             = {http://books.google.com/books?id=iiJZAAAAMAAJ},  glottolog_ref_id = {64462},  hhtype           = {grammar},  inlg             = {English [eng]},  lgcode           = {Kam standard of Rongjiang Zhanglu-Guizhou = Southern Dong not N Dong as erroneously indicated in E17 [kmc]},  macro_area       = {Eurasia},  note             = {Translated from Chinese by D. Norman Geary},  author           = {Long, Yaohong and Zheng, Guoqiao}}"
latitude,longitude
26.00000000000000000000,108.50000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
200504,1,hand,mja22,,,1,
200505,2,left,ɕe33,,,46,
200506,3,right,wa11,,,1?,
200687,4,leg/foot,tin35,foot,,12,
200688,4,leg/foot,"peu35 mi31",leg,,43,
200689,5,"to walk",ȶam13,"to walk",,75,
200690,5,"to walk",pai35,"to go",,54,
200509,6,road/path,kən11,,,27,
200691,7,"to come",ma11,"to come",,1,
200692,7,"to come",thəu25,"to arrive",,28,
200511,8,"to turn",ɕon55,Chinese,L,,
200512,10,dirty,wa55,,,85,
200513,11,dust,pən11,,,33,
200693,12,skin,"ʔa33 la35",,,,
200694,12,skin,kja35,,,,
200515,13,back,kom22,,,,
200516,14,belly,tu33,Chinese,L,,
200517,15,bone,laʔ33,,,4,
200518,16,intestines,sai33,,,48,
200519,17,liver,səm11,loanword,L,,
200520,18,breast,mi22,,,,
200695,19,shoulder,sa11,,,,
200696,19,shoulder,pja11,,,,
200697,19,shoulder,"pa11 la11",,,,
200522,20,"to know, be knowledgeable",wo31,,,57,
200523,21,"to think",saŋ13,Chinese,L,,
200524,22,"to fear",ko13,,,44,
200525,23,blood,tat13,,,,
200526,24,head,kau33,,,1,
200527,25,neck,"toŋ22 ʔo22",,,52,
200528,26,hair,"pjəm35 kau33",,,47,
200529,27,nose,naŋ35,,,1,
200530,30,mouth,mu55,,,63,
