id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
919,Wiau,"Mead, D. (1999)",raz,raha1237,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.ɸ = voiceless bilabial fricativeβ = voiced bilabial fricative",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Western, West Coast","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-3.24630000000000000000,121.05900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
240982,1,hand,kae,,,36,
240985,4,leg/foot,kare,,,49,
241138,5,"to walk",lumolako,,,,
241054,6,road/path,sala,,,1,
241148,7,"to come",leu,,,,
241131,9,"to swim",numonaŋo,,,1,
241130,9,"to swim",numonaŋu,,,1,
240986,12,skin,kuli,,,1,
240984,14,belly,tia,,,,
240989,15,bone,βuku,,,,
240992,17,liver,ate,,,1,
240983,18,breast,uhu,,,,
241110,20,"to know, be knowledgeable",tumoʔorikee,,,,
241109,20,"to know, be knowledgeable",toʔorikee,,,,
240991,23,blood,raha,,,,
240990,23,blood,beli,,,,
240973,24,head,ulu,,,1,
240981,25,neck,βoroko,,,,
240974,26,hair,βuu,,,,
240976,27,nose,ŋusu,,,,
240977,30,mouth,pondu,,,,
240979,31,tooth,ŋisi,,,24,
240978,32,tongue,elo,,,4,
241115,33,"to laugh",merorai,,,,
241114,34,"to cry",meʔia,,,,
241113,34,"to cry",umiʔia,,,,
241137,35,"to vomit",peʔua,,,,
241136,36,"to spit",meʔeni,,,,
241135,36,"to spit",meʔini,,,,
241119,37,"to eat",moŋgaa,,,1,
241121,40,"to drink",moʔinu,,,,
241120,40,"to drink",moinu,,,,
241123,41,"to bite",moŋgara,,,,
241122,41,"to bite",mekara,,,,
240980,43,ear,biri,,,26,
241117,44,"to hear",moroŋo,,,,
241116,44,"to hear",mororoŋo,,,,
241118,45,eye,meŋgikii,,,,
240975,45,eye,mata,,,1,
241146,48,"to sleep",moturu,,,1,
241145,48,"to sleep",moʔiso,,,,
241144,49,"to lie down",motuturu,,,,
241143,49,"to lie down",moisoiso,,,,
241147,50,"to dream",moʔipi,,,,
241142,51,"to sit",kototoro,,,,
241141,51,"to sit",korerehu,,,,
241140,52,"to stand",holiligoro,,,,
241139,52,"to stand",peβaŋu,,,,
240993,53,"person/human being",toono,,,,
240994,54,man/male,analaki,,,,
240995,55,woman/female,iroβai,,,,
241001,56,child,ana,,,,
240996,57,husband,pehoko,,,,
240998,58,wife,pehoko,,,,
240997,58,wife,iroβai,,,,
241000,59,mother,ina,,,,
240999,60,father,ama,,,,
241149,63,name,tamo,,,,
241112,64,"to say",mombitara,,,19,
241111,64,"to say",mombepe,,,,
