id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
847,"Wenma Tu","Zhang et al (1999)",zyn,yong1275,"Zhang Junru [张均如], et. al (1999). A Study of Zhuang dialects [壮语方言研究, Zhuàngyǔ Fāngyán Yánjiù]. Chengdu: Sichuan min zu chu ban she [四川民族出版社].Data collected from: Dazhai, Heimo Township 黑末乡大寨, Wenma 文马, Yunnan, China (spoken by the Tu people 土族)Classification: Subgroup P (Pittayaporn 2009)Tones:1 = /112/2 = /31/3 = /55/4 = /33/5 = /53/6 = /42/",,"Tai-Kadai, Kam-Tai, Tai, Central","Andrew C. Hsiu",,"@book{65414,  address       = {Chéngdū},  pages         = {938},  publisher     = {Sichuan Nationalities Press},  title         = {Zhuàngyŭ fāngyán yánjiū},  year          = {1999},  bibtexkey     = {li-liang-ouyang-xie-zhang-zheng_zhuangyu-fangyan1999},  fn            = {eurasia\zhang_zhuang1999_o.pdf, eurasia\zhang_zhuang1999.pdf},  hhtype        = {overview;comparative;wordlist;phonology},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#hvwphon_Zhangetal_Zhuang},  title_english = {Zhuang dialect research},  author        = {Zhang, Junru and Liang, Min and Ouyang, Jueya and Zheng, Yiqing and Li, Xulian and Xie, Jianyou}}"
latitude,longitude
21.83750000000000000000,107.36220000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
214172,1,hand,mu2,,,1,
214173,2,left,"bɒ2 ləɤ6 zɒ4",,,46?,
214174,3,right,"bɒ2 ləɤ6 so1",,,50,
214175,4,leg/foot,"piã3 kho2",,,"42, 43",
214176,5,"to walk",phɒ3,,,,
214177,6,road/path,lɤu6,,,,
214178,7,"to come",mo2,,,,
214179,9,"to swim","ʔa5 nã4",,,,
214180,10,dirty,sã3,,,,
214181,10,dirty,nɒ3,,,,
214182,10,dirty,lã4,,,,
214183,11,dust,mən5,,,,
214184,12,skin,nẽ1,,,,
214185,13,back,lɛ~1,,,,
214186,14,belly,duŋ4,,,,
214187,15,bone,da5,,,,
214188,16,intestines,sɛi3,,,,
214189,17,liver,ta4,,,,
214190,18,breast,mɒ1,,,,
214191,19,shoulder,"thu2 bo5",,,1,
214192,20,"to know, be knowledgeable","zu6 di6",,,,
214193,21,"to think",nɤɯ5,,,,
214194,22,"to fear",bu1,,,,
214195,23,blood,luɛ6,,,,
214196,24,head,thu2,,,,
214197,25,neck,"gã2 ɣɤu2",,,,
214198,26,hair,"phiŋ2 thu2",,,,
214199,27,nose,dɛ~1,,,1,
214200,29,"to sniff, smell",mən1,,,,
214201,30,mouth,pe5,,,,
214202,31,tooth,vã2,,,1,
214203,32,tongue,lən4,,,36,
214204,33,"to laugh",khu2,,,,
214205,34,"to cry",xai3,,,,
214206,35,"to vomit",ze6,,,,
214207,36,"to spit",təu5,,,,
214208,37,"to eat",tshi4,,,,
214209,38,"to chew",məu3,,,,
214210,39,"to cook",ləu4,,,,
214211,39,"to cook",thəŋ2,,,,
214212,40,"to drink",tshi4,,,,
214213,41,"to bite",khɛ2,,,,
214214,42,"to suck",xɛ5,"to suck, inhale (air)",,,
214215,42,"to suck",tsɛ5,"to suck, inhale (air)",,,
214216,43,ear,khu2,,,,
214217,44,"to hear",ba2,,,,
214218,45,eye,tho2,,,1,
214219,46,"to see",thã2,,,,
214220,47,"to yawn","ŋɒ1 hu5",,,,
214221,48,"to sleep",nuã2,,,,
214222,50,"to dream","nuã2 pã2",,,,
214223,51,"to sit",nɛ~6,,,,
214224,53,"person/human being",gun2,,,,
214225,54,man/male,"la6 bu6 dzɒ2",,,,
214226,55,woman/female,"la6 bu6 ȵiŋ2",,,,
214227,56,child,"dai2 nei3",,,1,
214228,57,husband,"bɤu6 khui2",,,,
214229,58,wife,"mei6 lu2",,,,
214230,59,mother,mei6,,,,
214231,60,father,bɤu6,,,,
214232,61,house,zun2,,,,
214233,64,"to say",ɣo4,,,,
214234,65,rope,lən2,,,,
214235,66,"to tie up, fasten",pha5,,,,
214236,66,"to tie up, fasten",ma2,,,,
214237,67,"to sew",ȵa2,,,,
214238,68,needle,tshən2,,,,
214239,69,"to hunt","liã6 duã1",,,,
214240,70,"to shoot","səɤ1 kəŋ1",,,,
214241,72,"to hit",dəŋ4,,,,
214242,73,"to steal",le2,,,,
214243,74,"to kill",kho3,,,,
214244,75,"to die, be dead",thɒ2,,,1,
214245,77,"to scratch",zã4,,,,
214246,77,"to scratch",tsa3,,,,
214247,79,stick/wood,mai4,tree,,,
214248,80,"to split",tho5,,,,
214249,81,sharp,tshei2,,,,
214250,82,"dull, blunt",no1,,,,
214251,83,"to work",xa2,"to do",,,
214252,84,"to plant",dã1,,,,
214253,85,"to choose",lia6,,,,
214254,86,"to grow",mo3,,,,
214255,87,"to swell",va2,,,,
214256,89,"to hold",ʔau1,,,,
214257,90,"to dig",kɒ3,,,,
214258,91,"to buy",zi4,,,,
214259,92,"to open, uncover",khai2,,,,
214260,93,"to pound, beat",se5,,,,
214261,94,"to throw",dã5,,,,
214262,95,"to fall",ta4,,,,
214263,96,dog,mo1,,,,
214264,97,bird,na2,,,1,
214265,98,egg,khai5,,,,
214266,99,feather,khun2,,,,
214267,99,feather,phiŋ2,,,,
214268,100,wing,pia5,,,,
