id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
95,Moken,"Blust, from Chantanakomes (1980)",mwt,moke1242,"Chantanakomes, V. 1980. A description of Moken: A Malayo-Polynesian language, Institute of Language and Culture for Rural Development, Mahidol University: M.A. Thesis.Has term for dugout canoe shared with S. Taiwanese and S. Philippines languages \"qabang\"",,"Austronesian, Malayo-Polynesian, Moklen","Peng Du","Simon Greenhill","@mastersthesis{59047,  pages            = {359},  publisher        = {Nakhon Pathom},  school           = {Mahidol University},  title            = {A description of Moken: a Malayo-Polynesian language},  url              = {http://archives.sealang.net/mahidol},  year             = {1980},  bibtexkey        = {chantanakomes_moken-malayo1980},  class_loc        = {DS485 .B85},  document_type    = {CF},  fn               = {eurasia\chantanakomes_moken1980_o.pdf, papua/veena_moken1980_o.pdf},  fnnote           = {pdf, 7,85 MB},  hhtype           = {grammar},  inlg             = {English [eng]},  inlg_code        = {eng},  macro_area       = {Eurasia},  mpifn            = {moken_veena1980_o.pdf},  src              = {hh, mpieva},  srctrickle       = {hh#g:Chantanakomes:Moken, mpieva#Chantanakomes1980Adescrip},  subject_headings = {Moken (Southeast Asian people), Moken (Southeast Asian people)},  author           = {Chantanakomes, Veena}}"
latitude,longitude
9.50737630246525178279,98.84693459772529422480
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
95,1,hand,ŋan,"< PMP *tangan 'thumb', with semantic change in Malay and few close relatives or languages that have borrowed from Mala",L,18?,
452,2,left,ʔeloy,,,86,1
809,3,right,n|ana:n,,,1,1
83944,4,leg/foot,pakaʔ,,,20,1
83945,4,leg/foot,kakay,,,1,
1523,5,"to walk",lakaw,,,1,1
1880,6,road/path,yala:n,"probably a Malay loan from jalan",1,,1
2237,7,"to come",ŋadin,,,,
2594,8,"to turn",ñiliək,,,,
2951,9,"to swim",naŋoy,,,1,1
3308,10,dirty,caʔiək,,,,
3665,11,dust,kaboy,MBL,,,
4022,12,skin,bulaŋ,,,,
4379,13,back,leko:t,,,1,1
4736,14,belly,lakeʔ,,,,
5093,15,bone,kəla:n,,,1,1
5807,17,liver,katay,,,1,1
6164,18,breast,dadaʔ,,,12,
6521,19,shoulder,bahoy,"probable Malay loan",L?,17,
6878,20,"to know, be knowledgeable",ñədan,,,,
7235,21,"to think",məkʰit,,,23,
72404,22,"to fear",gaya:ŋ,,,,1
72405,22,"to fear",lako:t,,,1?,1
7949,23,blood,dala:k,,,1,1
8306,24,head,ʔotak,"Malay loan",L,30,
72543,25,neck,tukʰo:,,,,
72544,25,neck,bulo:ŋ,,,70,
9020,26,hair,buloy,,,,
72687,27,nose,cahu:ŋ,MBL,,,1
