id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
914,Tomadino,"Mead, D. (1999)",tdi,toma1248,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.ɸ = voiceless bilabial fricativeβ = voiced bilabial fricative",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Western, Interior","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-2.56490000000000000000,121.94400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
240274,1,hand,kae,,,36,
240277,4,leg/foot,kare,,,49,
240388,5,"to walk",lumolako,,,,
240332,6,road/path,ansala,,,,
240394,7,"to come",haɸe,,,,
240383,9,"to swim",lumeo,,,,
240278,12,skin,kuli,,,1,
240276,14,belly,kompo,,,,
240281,15,bone,ɸuku,,,,
240283,17,liver,ate,,,1,
240275,18,breast,uo,,,,
240370,20,"to know, be knowledgeable",toʔori,,,,
240282,23,blood,rea,,,1,
240265,24,head,ulu,,,1,
240273,25,neck,buroko,,,,
240266,26,hair,ɸuu,,,,
240268,27,nose,eŋe,,,,
240269,30,mouth,ŋaŋa,,,,
240271,31,tooth,ŋisi,,,24,
240270,32,tongue,elo,,,4,
240373,33,"to laugh",mogele,,,,
240372,34,"to cry",meʔiɸi,,,,
240387,35,"to vomit",meʔueʔue,,,,
240386,36,"to spit",meʔili,,,,
240376,37,"to eat",moŋgaa,,,1,
240377,40,"to drink",moʔinu,,,,
240378,41,"to bite",moŋkara,,,,
240272,43,ear,biri,,,26,
240374,44,"to hear",moroŋoi,,,,
240267,45,eye,mata,,,1,
240375,46,"to see",moŋgito,,,76,
240392,48,"to sleep",moturi,,,1,
240391,49,"to lie down",meledo,,,,
240393,50,"to dream",moʔipi,,,,
240390,51,"to sit",metunda,,,,
240389,52,"to stand",metade,,,,
240284,53,"person/human being",mia,,,,
240285,54,man/male,tuama,,,,
240286,55,woman/female,beine,,,"1,107",
240291,56,child,ana,,,,
240287,57,husband,inalo,,,,
240288,58,wife,inalo,,,,
240290,59,mother,ine,,,,
240289,60,father,uma,,,,
240395,63,name,ŋee,,,,
240371,64,"to say",metulura,,,,
240331,65,rope,ula,,,,
240330,65,rope,koloro,small,,,
240385,74,"to kill",mompepate,,,,
240382,75,"to die, be dead",mate,,,,
240310,79,stick/wood,kau,,,,
240381,93,"to pound, beat",moʔuse,,,,
240379,95,"to fall",tedonta,,,,
240307,96,dog,dahu,,,,
240299,97,bird,manumanu,,,,
240300,98,egg,toli,,,,
240301,99,feather,ɸulu,,,,
240384,101,"to fly",menee,,,,
240306,102,rat,tehu,,,,
240279,103,meat/flesh,bau,,,,
240280,104,fat/grease,taba,,,,
240298,105,tail,okui,,,,
240304,106,snake,ule,,,,
240302,108,louse,kusu,,,,
240303,109,mosquito,nini,,,,
240305,111,fish,ika,,,,
240308,114,leaf,leɸe,,,,
240309,115,root,haka,,,,
240312,116,flower,buŋa,,,,
240311,117,fruit,ɸua,,,,
240321,119,earth/soil,ɸute,,,,
240329,120,stone,ɸasu,,,,
240320,121,sand,buraŋa,,,,
240323,122,water,uɸoi,,,,
240319,124,sea,tahi,,,,
240322,125,salt,ohio,,,,
240325,126,lake,rano,,,,
240324,127,woods/forest,laroŋkau,,,,
240315,128,sky,lahumoa,,,,
240313,129,moon,ɸula,,,,
240314,130,star,anambula,,,,
240316,131,cloud,seru,,,,
240317,133,rain,use,,,,
240318,136,wind,pue,,,,
240341,138,warm,mokula,"hot (water)",,,
240342,139,cold,morini,,,,
240336,140,dry,mosuʔi,,,,
240326,143,fire,apui,,,,
240380,144,"to burn",monsoru,,,,
240327,145,smoke,ahu,,,,
240328,146,ash,aɸu,,,,
240347,147,black,moʔeto,,,,
240346,148,white,mopute,,,,
240349,149,red,momea,,,,
240348,150,yellow,moŋguni,,,,
240350,151,green,iŋo,,,,
240334,152,small,mohiɸu,,,,
240333,153,big,laŋkai,,,,
240343,154,short,oŋkuda,,,,
240344,155,long,mentaa,,,,
240340,162,old,insani,,,,
240339,163,new,baru,,,,
240335,164,good,moiko,,,,
240369,167,night,ɸoŋi,,,,
240368,175,above,"i ɸaɸo",,,,
240367,176,below,"i pada",under,,,
240352,177,this,numa,,,,
240353,178,that,roma,,,,
240338,179,near,orambi,,,,
240337,180,far,olai,,,,
240398,181,where?,isua,,,,
240292,182,I,iaku,,,,
240293,183,thou,iko,"you (fam.)",,,
240294,184,he/she,iɸono,,,,
240296,185,we,ikito,"we (incl.)",,,
240295,185,we,ikami,"we (excl.)",,,
240297,187,they,iɸoro,,,,
240396,188,what?,pio,,,,
240397,189,who?,inai,,,,
