id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
284,Sundanese,"Mas Sutikjana Oekon",sun,sund1252,,,"Austronesian, Malayo-Polynesian, Sundanese","Simon Greenhill","Simon Greenhill","@misc{Oekon-284-2005,  author = \"Mas Sutikjana Oekon\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-6.98486149438615377960,106.91584983927519658664
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
284,1,hand,leuŋeun,,,19,
641,2,left,kenca,"SA: nc (< *w) is regular (Nothofer 1975)",,27,
998,3,right,katuhu,,,"5,40",1
1355,4,leg/foot,kaki,"Malay loan?",,"1,32",
246263,4,leg/foot,suku,,,,
1712,5,"to walk",leumpang,,,43,1
2069,6,road/path,jalan,,,1,1
2426,7,"to come",datang,,,14,
2783,8,"to turn",méngkol,,,30,
3140,9,"to swim",ngojay,,,1,
3497,10,dirty,kotor,,,31,
3854,11,dust,pelédug,"Javanese loan",L,,
4211,12,skin,kulit,,,1,1
4568,13,back,tonggong,,,,
4925,14,belly,beuteung,,,29,
5282,15,bone,tulang,,,1,1
5639,16,intestines,peujit,,,23?,
5996,17,liver,hate,,,1,
6353,18,breast,susu,,,1,
6710,19,shoulder,taktak,,,,
7067,20,"to know, be knowledgeable",nyaho,"initial C is irregular (SA)",,1,
7424,21,"to think",mikir,"loan of 22? Arabic loan",L,22,
7781,22,"to fear",sieun,,,,
8138,23,blood,getih,"Javanese loan",L,18,
8495,24,head,sirah,"Javanese loan; SA: ult. < Sanskrit",L,31,
8852,25,neck,beuheung,,,,
88635,26,hair,rambut,"SA: probably < Malay or Javanese",L(?),20,1
88636,26,hair,buuk,,,1,
9566,27,nose,irung,,,1,1
9923,28,"to breathe",nyeunghap,,,,
10280,29,"to sniff, smell",nyium,,,20,
10637,30,mouth,sungut,,,,?
10994,31,tooth,huntu,"Javanese loan",L,18,
11351,32,tongue,letah,,,"4,31",
73042,33,"to laugh",seuri,,,,
73043,33,"to laugh",sÖri,X,,,
12065,34,"to cry",nangis,,,1,1
181229,34,"to cry",ceurik,,,,
12422,35,"to vomit",utah,,,1,1
12779,36,"to spit",nyiduh,"SA: L removed because not clear why is should be a Javanese loan",,32,
13136,37,"to eat",dahar,"Javanese loan",L,11,
13493,38,"to chew",ngagayem,,,,
13850,39,"to cook",masak,,,19,?
14207,40,"to drink",nginum,,,1,1
14564,41,"to bite",ngegel,,,,
14921,42,"to suck",nyeuseup,,,1,1
15278,43,ear,ceuli,,,12,
15635,44,"to hear",ngadenge,,,1,1
15992,45,eye,panon,,,,
16349,46,"to see",nenjo,,,36,
16706,47,"to yawn",heuay,,,,
17063,48,"to sleep",sáre,"SA: < Javanese",,26,
17420,49,"to lie down",ngagoler,,,"54,108",
17777,50,"to dream",ngimpi,,,"1,37",1
18134,51,"to sit",diuk,,,35,
18491,52,"to stand",nangtung,,,,
18848,53,"person/human being",jelema,"SA: < Sanskrit",L,16,
19205,54,man/male,lalaki,,,2,1
19562,55,woman/female,awewe,,,"1,105",
19919,56,child,budak,"SA: = 'any child, slave'",,16?,
345025,56,child,anak,"SA: 'offspring'",,1,
20276,57,husband,salaki,,,28,
20633,58,wife,pamajikan,,,,
20990,59,mother,indung,,,10,
