id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1186,"Malagasy (Tandroy)","Rajaonarimanana & Fee (1996)",tdx,tand1256,"Rajaonarimanana, N. & Fee, S. 1996. Dictionnaire Malgache Dialectal - Francais: Dialecte Tandroy. Paris, Langues et Mondes/L'Asiathèque","'marked' stands for respectful register, scornful register, and register of the 'doany' medium37. to eat: default forms are mi-hìna, h<om>a","Austronesian, Malayo-Polynesian, Greater Barito, East, Malagasy","Kirsty Maurits","Sander Adelaar","@book{319701,  address    = {Paris},  publisher  = {Langues et Mondes, L'Asiathèque},  title      = {Dictionnaire malgache dialectal-français: Dialecte tandroy},  year       = {1996},  bibtexkey  = {fee-rajaonarimanana_malgache-tandroy1996},  hhtype     = {dictionary},  inlg       = {French [fra]},  macro_area = {Africa},  src        = {hh},  srctrickle = {hh#d:RajaonarimananaFee:Tandroy},  author     = {Rajaonarimanana, Narivelo and Fee, Sarah}}"
latitude,longitude
-24.80150000000000000000,45.90000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
286037,1,hand,fandràe,"X marked",,,
286038,1,hand,fità(ñe),marked,,,
286039,1,hand,tàña,,,18,
285866,2,left,havìa,,,"1,42",
286040,3,right,havàna,,,"1,62",
286041,3,right,vànta(ñe),"X = 'straight'",,,
286042,4,leg/foot,fandìa,"= marked",,,
286043,4,leg/foot,lìa,"= marked",,,
343364,5,"to walk",man-dèha,,,61,
285869,6,road/path,làla(ñe),,,1,
343359,6,road/path,man-dèha,X,,,
286044,7,"to come",tòly,"X = 'come back'",,,
286045,7,"to come",tonjòhy,"X = 'come after, follow'",,,
343365,7,"to come",àvy,"ultimately < S. Sulawesi loan",,70,
343366,8,"to turn",mi-hòdiŋe,,,96,
285871,9,"to swim",làño,,,1,
285872,10,dirty,màvo,"'dirty; grey'",,137,
343367,10,dirty,ma-lòto,"< S. Sulawesi",L,108,
286046,11,dust,bò,"X   < French?",L?,,
286047,11,dust,dèboke,,,,
286048,11,dust,lèmboke,,,,
285874,12,skin,hòlitse,,,1,
285875,13,back,lambòsi(ñe),,L,47,
286049,14,belly,fisafòa(ñe),marked,,,
286050,14,belly,tròke,,,31,
285877,15,bone,taòla,,,1,
286051,16,intestines,alokòla,"(only of animals)",,,
286052,16,intestines,tsinài(ñe),,,1,
285879,17,liver,àte,,,1,
286053,18,breast,aràña(ñe),marked,,,
286054,18,breast,fitahèrañe,marked,,,
286055,18,breast,nòno,"female breast",,3,
286056,18,breast,tràtra,"< Malay; = 'chest'",L,12,
285881,19,shoulder,sòroke,"metaphor and borrowed",L,50,
343368,20,"to know, be knowledgeable",ma-hày,,,141,
344913,20,"to know, be knowledgeable",ma-hilàla,,,18,
343369,21,"to think",mi-erets-èretse,,,102,
343370,22,"to fear",ma-tàhotse,,,1,
285882,23,blood,lìo,"defining term for SW Malagasy dialects",,49,
286057,24,head,ambòne,marked,,,
286058,24,head,latèty,"marked and < French",Fr,,
286059,24,head,lòha,,,84,
285884,25,neck,vòzo(ñe),,,131,
285885,26,hair,maròy,"marked, lit. 'to be many'",,,
343371,26,hair,vòlo,,,31,
286060,27,nose,fiantsònañe,marked,,,
286061,27,nose,òro(ñe),,,1,
343372,28,"to breathe",m-iài(ŋĕ),,,23,
343373,29,"to sniff, smell",maŋ-àntsoŋĕ,,,,
344970,29,"to sniff, smell",maŋ-òroke,"sniff, smell, kiss",,120,
344971,29,"to sniff, smell",maŋ-òroka,X,,,
286062,30,mouth,tàmpina,"X wrong",,,
286063,30,mouth,vàva,,,1,
286064,31,tooth,fihìtsike,marked,,,
286065,31,tooth,nìfe,,,1,
286066,31,tooth,vàza(ñe),"X = molar",,,
286067,32,tongue,famèleke,marked,,,
286068,32,tongue,lèla,,,4,
285890,33,"to laugh",hèhy,"h<om>èhy, mi-hèhy 'to laugh'",,107,
286069,34,"to cry",t<om>àny,"cry, weep",,1,
286070,34,"to cry",korake,"cry, shout",,,
285892,35,"to vomit",mandoa,,,8,
343374,36,"to spit",man-drèhoke,,,112,
286071,37,"to eat",kàma,marked,,,
286072,37,"to eat",mikàma,marked,,,
286073,37,"to eat",lìntseñe,marked,,,
286074,37,"to eat",militseñe,marked,,,
286075,37,"to eat",miaòly,marked,,,
286076,37,"to eat",mifanjòtse,marked,,,
286077,37,"to eat",tamboakòro,marked,,,
286078,37,"to eat",tamboavòkake,marked,,,
286079,37,"to eat",tòzi(ñe),marked,,,
286080,37,"to eat",mitozy,marked,,,
343360,37,"to eat",mi-hìna,"< *k<in>an",,1,
343361,37,"to eat",h<ùm>a,,,1,
343362,37,"to eat",mi-hìna,X,,,
343363,37,"to eat",h<ùm>a,X,,,
343375,38,"to chew",mi-tsàko,,,72,
285894,39,"to cook",mahandro,,,102,
285895,40,"to drink",m-ìno,,,1,
343376,41,"to bite",mi-tìfatse,,,,
285896,42,"to suck",mi-sìke,,,,
343377,42,"to suck",mi-nòno,,,76,
286081,43,ear,ravembìa,marked,,,
286082,43,ear,sòfi(ñe),,,"15,51",
343378,44,"to hear",mi-jàno,,,82,
343379,44,"to hear",mi-tsànoŋe,,,,
286083,45,eye,fañènte,marked,,,
286084,45,eye,fihàino,marked,,,
286085,45,eye,fijère,marked,,,
286086,45,eye,màso,"< Bantu",L,36,
286087,46,"to see",vazòho,marked,,,
286088,46,"to see",mahavazoho,marked,,,
286089,46,"to see",mivazoho,marked,,,
343380,46,"to see",maha-trèa,"see, find",,,
343381,46,"to see",maŋ-ènte,"look at",,,
286090,47,"to yawn",òake,,,19,
286091,47,"to yawn",mañoake,,,19,
286092,48,"to sleep",dorimý,"< Fr",L,,
286093,48,"to sleep",miròtse,,,,
286094,48,"to sleep",ròtse,X,,,
286095,48,"to sleep",mirotse,X,,,
343382,48,"to sleep",mi-ròro,,,107,
286096,49,"to lie down",àndre,,,110,
286097,49,"to lie down",mandre,,,110,
285903,50,"to dream",nòfy,,,1,
343383,50,"to dream",maŋ-inòfy,,,1,
286098,51,"to sit",fìtake,,,164,
286099,51,"to sit",miambèsatse,,,,
286100,51,"to sit",toròvoke,,,,
286101,51,"to sit",tsòtake,,,,
286102,52,"to stand",mihàre,,,,
286103,52,"to stand",mivàñoñe,,,,
286104,53,"person/human being",làhy,"X = male",,,
286105,53,"person/human being",lahi-lahy,"X = male",,,
286106,53,"person/human being",òlo,,,17,
285907,54,man/male,làhy,,,2,
286107,55,woman/female,ampèla,,,127,
286108,55,woman/female,vàve,,,"1,105",
286109,56,child,ajàja,"< *aja-aja",,101,
286110,56,child,àja,,,101,
286111,56,child,kibìty,,,,
345492,56,child,ànake,,,1,
286112,57,husband,kiràmpy,,,,
286113,57,husband,tañanjòmba,,,,
286114,57,husband,vàly,"< S. Sulawesi",L,88,
286115,58,wife,kiràmpy,,,,
286116,58,wife,tañanjòmba,marked,,,
345493,58,wife,vàli,,,107,
286117,59,mother,mamà,"nurse word (< FR?)",,,
286118,59,mother,rène,,,"1,93",
286119,60,father,àba,,,51,
286120,60,father,père,"< Fr",L,,
286121,61,house,anjòmba,"< Swahili",L,,
286122,61,house,lakàze,"< French",L,,
286123,61,house,tràño,"< Borneo Malay",L,18,
285915,62,thatch/roof,tàfo,"t- unexpected but poss. due to homonymic clash with 'fire'",,"15,76",
286124,63,name,añàra,,,1,
286125,63,name,tahìna,marked,,,
343384,64,"to say",mi-làza,,,53,
286126,65,rope,ròhy,"= rope",,79,
286127,65,rope,tàly,"= plait, rope",,1,
285918,66,"to tie up, fasten",mamehe,,,139,
343385,67,"to sew",man-jàitse,,,2,
285919,68,needle,"finjàitse. fitrèbeke",,,45,
286128,69,"to hunt",hòro,,,,
286129,69,"to hunt",mangòro,,,,
343386,70,"to shoot",mi-pìritse,,,52,
285921,71,"to stab, pierce",mandoake,,,99,
286130,72,"to hit",mijera,,,,
286131,72,"to hit",pàoke,,,,
286132,72,"to hit",mipaoke,,,,
343387,73,"to steal",maŋgàlatse,,,57,
343388,73,"to steal",hàlatse,,,57,
285923,74,"to kill",mamono,,,1,
285924,75,"to die, be dead",mate,,,1,
285925,76,"to live, be alive",miai(ñe),"= breathe, be alive",,83,
344914,76,"to live, be alive",velo(ŋe),"live, be alive",,11,
343389,77,"to scratch",mi-kìhy,,,32,
286133,78,"to cut, hack",mañonotse,,,,
286134,78,"to cut, hack",manampake,,,25,
286135,79,stick/wood,angìra,,,52,
286136,79,stick/wood,kibày,,,53,
286137,79,stick/wood,kobay,,,51,
285928,80,"to split",mamaky,"maN- + vàky",,95,
343390,81,sharp,ma-tsìo,,,,
343391,81,sharp,ma-sìo(ŋe),,,,
286138,82,"dull, blunt",lòmo,,,"3, 29",
286139,82,"dull, blunt",malomo,,,"3, 29",
286140,82,"dull, blunt",mòdo,,,"3, 29",
286141,82,"dull, blunt",ròña,,,,
286142,83,"to work",kàtroke,,,,
286143,83,"to work",tòroñe,,,,
344915,83,"to work",mi-àsa,"< Malay < Sanskrit",,94,
285931,84,"to plant",mambole,,,1,
