id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
185,Sasak,"Peter Austin",sas,sasa1249,"Accents indicate an open-close contrast for mid vowels:é = close eè = open eó = close oò = close oWord-final schwa is stressed and more tense, similar to central [3], though itdoesn't contrast with schwa (which is found elsewhere). Some dialects preservefinal [a] while most raise and centralis to [E], and others lower and back it toopen-o (like Javanese). Also, in some dialects there is harmony of earlier [a]with the final vowel. So 'eye' is variably: mata ~ matE ~ mEtE ~ mEt'o ~ m'ot'o.This level of variation is not included, but only the majority form.There is also dialect variation between final l and final n, so some speakershave 'to sit' as t'ok'on, but most have t'ok'ol.",,"Austronesian, Malayo-Polynesian, Bali-Sasak-Sumbawa, Sasak-Sumbawa","Peter Austin",,"@misc{Austin-185-2005,  author = \"Peter Austin\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.66791800236312148797,116.27929687500000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
185,1,hand,imə,,,"1,65",1
542,2,left,kiri,,,"1,42",1
181161,3,right,kawan,"dialect variation",,"1,62",1
181162,3,right,kanan,"dialect variation",,"1,73",1
1256,4,leg/foot,naé,,,1?,1?
1613,5,"to walk",lampaq,,,42,1
1970,6,road/path,laŋan,,,1,
2327,7,"to come",datəŋ,,,14,
2684,8,"to turn",nikuŋ,,,24,
3041,9,"to swim",ŋònòŋ,,,1,
181164,10,dirty,rèmòŋ,"dialect variation",,,
181163,10,dirty,garut,"dialect variation",,,
181165,10,dirty,gemi,"dialect variation",,,
181166,10,dirty,lətaq,"dialect variation",,,
3755,11,dust,kələpuq,,,,
159847,11,dust,kərəpuq,,,,
4112,12,skin,léndóŋ,,,,
4469,13,back,bòŋkòr,,,,
4826,14,belly,tian,,,1,1
5183,15,bone,tòlaŋ,,,1,1
5540,16,intestines,baduk,,,,
5897,17,liver,até,,,1,1
6254,18,breast,susu,,,1,1
6611,19,shoulder,taòk,,,,
6968,20,"to know, be knowledgeable",taóq,,,1,1
7325,21,"to think",pikir,"loan of 22?",L?,22,
7682,22,"to fear",takut,,,1,1
8039,23,blood,daraq,,,1,1
8396,24,head,òtak,,,30,
8753,25,neck,belòŋ,,,70,
9110,26,hair,bulu,,,31,
181167,27,nose,iduŋ,"dialect variation",,1,1
181168,27,nose,iruŋ,"dialect variation",,1,
9824,28,"to breathe",bərəmbòk,,,,
10181,29,"to sniff, smell",ambuq,,,1?,
