id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
678,Itawis,"Tharp & Natividad (1976)",itv,itaw1240,"ISO 639-3: itv Spoken in Cagayan Valley, Luzon.Tharp, James A. and Mateo C. Natividad. Itawis-English wordlist with English-Itawis finderlist New Haven, CT: Human Relations Area Files, 1976.",,"Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Northern Cordilleran, Cagayan Valley, Ibanagic","Andrew C. Hsiu",,"@book{151187,  address    = {New Haven, Connecticut},  publisher  = {Human Relations Area Files, Inc},  title      = {Itawis-English Wordlist with English-Itawis Finderlist},  year       = {1976},  bibtexkey  = {natividad-tharp_itawis-finderlist1976},  hhtype     = {wordlist},  macro_area = {Papua},  src        = {wals},  srctrickle = {wals#5952},  author     = {Tharp, James A. and Natividad, Mateo C.}}"
latitude,longitude
17.73285999999999873467,121.57959999999999922693
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
176253,1,hand,íma,,,"1,65",
176254,2,left,himigí,,,35,
176255,3,right,hiwanán,,,"1,75",
176256,4,leg/foot,táka,,,70/103,
176257,5,"to walk",manálan,,,21,
176258,6,road/path,dálan,,,1,
176259,7,"to come",umáng,,,,
176260,8,"to turn",malléku,,,21,
176261,9,"to swim",mattafúg,,,,
176262,10,dirty,hinapíng,,,,
176263,11,dust,gahúk,,,"1,57",
176264,12,skin,gaddáng,,,66,
176265,13,back,likúd,,,1,
176266,14,belly,futún,,,52,
176267,15,bone,tuláng,,,1,
176268,16,intestines,bitúka,,,21,
176269,17,liver,agál,,,16,
176451,18,breast,súsu,,,1,
176452,18,breast,gátat,,,54,
176271,19,shoulder,abáha,,,1,
176455,20,"to know, be knowledgeable",ámmu,,,"25,28",
176456,20,"to know, be knowledgeable",ammwán,,,"25,28",
199164,21,"to think",mappanónot,,,70,
176273,22,"to fear",tálaw,noun,,34,
176274,23,blood,dahá,,,1,
176275,24,head,úlu,,,1,
176276,25,neck,tangngád,,,72,
176277,26,hair,ahúk,,,"1,65",
176278,27,nose,íyung,,,1,
176279,28,"to breathe",mangá:ngat,,,"23,24",
176280,29,"to sniff, smell",maddágu,,,,
176281,30,mouth,simúk,,,33,
176282,31,tooth,ngípan,,,"1,48",
176469,32,tongue,híla,,,4,
176470,32,tongue,zíla,,,4,
176284,33,"to laugh",maggalák,,,,
176465,34,"to cry",mattángit,,,"1,74",
176466,34,"to cry",malluá,,,,
176286,35,"to vomit",utá,,,1,
176287,36,"to spit",mallúsab,,,"29,72",
