id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1407,"Avok (Shiaf)","Aviva Shimelman",,avok1244,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1407-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
latitude,longitude
-16.48380000000000000000,167.70700000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
321830,1,hand,a-vɛa-ŋ,,,"16,72",
321857,2,left,timʷair,,,"1,59",
321883,3,right,tiɣawi,,,57,
321910,4,leg/foot,riɛ-ŋk,,,37,
321936,5,"to walk",koᵐbʷi-væn,,,2,
321962,6,road/path,mɪrise,,,49,
321985,7,"to come",koᵐbʷina-mi,,,1,
322033,9,"to swim",no--ᵑgoᵑgarⁿde,,,5?,
322055,10,dirty,ᵑga-ʧoŋaʧaŋ,,,26,
322077,11,dust,mʷaʧiav,,,"1,102",
322100,12,skin,ururə,,,"1, 80",
322124,13,back,ɣaʧəmaⁿdʳɪ-ŋk,,,"35, 103",
322174,15,bone,a-ᵐbuleᵐbul,,,52,
322200,16,intestines,a-ʧɪnɪ-n,,,1,
322221,17,liver,na-mambɔ,,,7,
322243,18,breast,a-susu-k,,,1,
322267,19,shoulder,ᵐbʷarvoso-ŋk,,,"65, 71",
322290,22,"to fear",-mɪraχ,,,1,
322316,23,blood,na-ⁿdʳe,,,1,
322341,24,head,ᵐbʷarə-ŋk,,,9,
322366,25,neck,xaluə-ŋə,,,"18,102",
322390,26,hair,"zɪvur (ᵐbʷarɪ-ŋk)",,,"31, 33",
322414,27,nose,na-ɣonsu-ŋ,,,"1,58, 89",
322438,28,"to breathe",-seŋav,,,69,
322463,29,"to sniff, smell",a-munʧi,,,65,
322487,30,mouth,ᵐbaŋo-ŋk,,,41,
322513,31,tooth,na-ruvʷo-ŋk,,,"1,35",
322539,32,tongue,mɛluwu-ŋk,,,"7, 42",
322564,33,"to laugh",nə-mɛn,,,51,
