id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
20,Javanese,"Pujiati Suyata",jav,java1254,,,"Austronesian, Malayo-Polynesian, Javanese","Simon Greenhill","Simon Greenhill","@misc{Suyata-20-2005,  author = \"Pujiati Suyata\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-7.40604771707625797461,110.96191406250000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
20,1,hand,taŋan,,,18,
377,2,left,kiwa,,,27,
734,3,right,təŋən,,,"1,83",
1091,4,leg/foot,sikil,,,"24,60",
1448,5,"to walk",mlaku,,,1,1?
1805,6,road/path,dalan,,,1,1
2162,7,"to come",təka,,,17,
2519,8,"to turn",menggok,,,97,
2876,9,"to swim",ŋlaŋi,,,1,
3233,10,dirty,rəgət,,,34,
3590,11,dust,blədug,,,,
3947,12,skin,kulit,,,1,1
4304,13,back,gəgər,,,26,
4661,14,belly,wətəŋ,,,29,
5018,15,bone,baluŋ,,,17,
5375,16,intestines,usus,,,24,
5732,17,liver,ati,,,1,1
6089,18,breast,susu,,,1,1
6446,19,shoulder,pundak,,,67,
345022,19,shoulder,pundak,,,67,
6803,20,"to know, be knowledgeable",ŋərti,"< Sanskrit",L,140,
7160,21,"to think",mikir,"loan of 22?; SA: < ult. < Arabic",L,22,
7517,22,"to fear",wədi,,,,
7874,23,blood,gətih,,,18,
8231,24,head,sirah,"< Sanskrit",L,31,
8588,25,neck,gulu,,,39,
8945,26,hair,rambut,,,20,
9302,27,nose,iruŋ,,,1,1
9659,28,"to breathe",ambegan,,,27,
10016,29,"to sniff, smell",ŋambu,,,25,
10373,30,mouth,caŋkəm,"X (= rude, SA)",,101,
345023,30,mouth,tutuk,,,26,
10730,31,tooth,untu,,,18,
11087,32,tongue,ilat,,,"4,25",
11444,33,"to laugh",ŋguyu,,,29,
11801,34,"to cry",naŋis,,,1,1
12158,35,"to vomit",mutah,,,1,1
12515,36,"to spit",idu,,,32,
12872,37,"to eat",maŋan,,,"1,14",1
13229,38,"to chew",mamah,,,1,1
73359,39,"to cook",masak,,,19,
73360,39,"to cook",olah-olah,,,,
13943,40,"to drink",ŋombe,,,,
14300,41,"to bite",ñokot,,,,
14657,42,"to suck",ñərot,,,16,
15014,43,ear,kupiŋ,,,"15,51",
15371,44,"to hear",kruŋu,,,1,1
15728,45,eye,mata,,,1,1
16085,46,"to see",ndələŋ,,,,
16442,47,"to yawn",aŋop,,,19,
16799,48,"to sleep",turu,,,1,1
17156,49,"to lie down",turon,,,,
17513,50,"to dream",ŋimpi,,,1,1
17870,51,"to sit",loŋguh,,,38,
18227,52,"to stand",ŋadek,,,22,
18584,53,"person/human being",uwoŋ,,,20,
18941,54,man/male,lanaŋ,,,124,
74266,55,woman/female,wadon,,,18,
74267,55,woman/female,wedok,,,18,
19655,56,child,anak,,,1,1
20012,57,husband,bojo,,,,
20369,58,wife,bojo,,,,
20726,59,mother,ibu,,,12,
21083,60,father,bapak,,,5,1
21440,61,house,omah,,,1,1
21797,62,thatch/roof,atəp,,,1,1
22154,63,name,jənəŋ,,,,
22511,64,"to say",kanda,,,,
22868,65,rope,tali,,,1,1
23225,66,"to tie up, fasten",naleni,,,,
23582,67,"to sew",dondom,,,,
23939,68,needle,dom,,,1,1
24296,69,"to hunt",mbəbəḍag,,,,
24653,70,"to shoot",mbəḍil,"SA: < Tamil",L,9,
25010,71,"to stab, pierce",nujəs,,,22,
25367,72,"to hit",nutuk,,,8,
25724,73,"to steal",ñoloŋ,,,,
26081,74,"to kill",mateni,,,2,
26438,75,"to die, be dead",mati,,,1,1
26795,76,"to live, be alive",urip,,,1,1
27152,77,"to scratch",ŋukur,,,21,
27509,78,"to cut, hack",nugəl,,,36,
27866,79,stick/wood,kayu,,,1,1
28223,80,"to split",ñyigar,,,94,
28580,81,sharp,lanḍəp,,,34,
28937,82,"dull, blunt",keṭul,,,"80,59",
29294,83,"to work","ñambut gawe",,,"25,21",
29651,84,"to plant",nandur,,,,
30008,85,"to choose",milih,,,1,1
30365,86,"to grow",ṭukul,,,,
30722,87,"to swell",aboh,,,1,1
31079,88,"to squeeze",mərəs,,,42,1
31436,89,"to hold",ñəkəl,,,31,
31793,90,"to dig",nḍuḍuk,,,16,
32150,91,"to buy",tuku,,,71,
32507,92,"to open, uncover",mbukak,,,1,1?
32864,93,"to pound, beat",nutu,,,20,
33221,94,"to throw",ŋguwaŋ,,,,
33578,95,"to fall",tiba,,,36,
33935,96,dog,asu,,,1,1
34292,97,bird,manuk,,,1,1
34649,98,egg,ənḍog,,,20,
35006,99,feather,wulu,,,1,1
35363,100,wing,swiwi,,,,
35720,101,"to fly",mabur,,,"34,52",
36077,102,rat,tikus,,,22,
36434,103,meat/flesh,ḍagiŋ,"X SA: = Malay",L,26,
345021,103,meat/flesh,iwak,,,,
36791,104,fat/grease,gajih,,,25,
37148,105,tail,buntut,,,16,
37505,106,snake,ula,,,2,1
37862,107,"worm (earthworm)",caciŋ,,,23,
38219,108,louse,tuma,,,3?,
38576,109,mosquito,lemut,,,1,
38933,110,spider,kemaŋga,,,,
39290,111,fish,iwak,,,25,
39647,112,rotten,mambu,,,"52,107",
40004,113,branch,paŋ,,,"20,62",
40361,114,leaf,godoŋ,,,20,
40718,115,root,oyot,,,1,
41075,116,flower,kəmbaŋ,,,21,
41432,117,fruit,woh-wohan,,,1,1
