id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
288,Ilokano,Blust,ilo,ilok1237,,,"Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Ilocano","Simon Greenhill","Simon Greenhill","@misc{Blust-288-2005,  author = \"Blust\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
17.64402202787272244677,121.11328125000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
288,1,hand,ima,,,"1,65",1
645,2,left,kannigid,,L,,
1002,3,right,kannawan,,,"1,67",1
1359,4,leg/foot,saka,,,"24,107",
1716,5,"to walk",magna,,,,
2073,6,road/path,dalan,,,1,1
2430,7,"to come",umay,,,"1,",1
2787,8,"to turn",ag-likko,,,21,1
3144,9,"to swim",ag-langoy,,,1,1
3501,10,dirty,na-rugit,"PMP (Reid) *rujit \"dirty\"",,27,
3858,11,dust,tapok,,,47,1
4215,12,skin,kudil,,,"1,86",
4572,13,back,likod,,,1,1
4929,14,belly,tian,,,1,1
5286,15,bone,tulang,,,1,1
5643,16,intestines,bagis,,,70,
6000,17,liver,dalem,,L,,
6357,18,breast,suso,,,1,1
6714,19,shoulder,abaga,,L,,1
7071,20,"to know, be knowledgeable",ammo,,,"25,28",
7428,21,"to think",ag-panunot,,,70,
7785,22,"to fear",ag-buteng,,,,
8142,23,blood,dara,,,1,1
8499,24,head,ulo,,,1,1
8856,25,neck,tengnged,,,72,
9213,26,hair,buok,,,"1,65",1
9570,27,nose,agong,,,"1,83",1
9927,28,"to breathe",ag-anges,,,"23,24",
10284,29,"to sniff, smell",ag-angot,,,"4, 22",
10641,30,mouth,bibig,"from Tagalog",L,,
10998,31,tooth,ngipen,,,"1,48",1
11355,32,tongue,dila,,,4,1
11712,33,"to laugh",ag-katawa,,,1,1
12069,34,"to cry",ag-sangit,,,"1,74",1
12426,35,"to vomit",ag-uta,,,1,1
171955,35,"to vomit",ag-sarwa,,,,
12783,36,"to spit",ag-tupra,,,44,
13140,37,"to eat",mangan,,,"1,14",1
13497,38,"to chew",ag-ngalngal,,,53,
13854,39,"to cook",aglu:to,,,20,
14211,40,"to drink",um-inom,,,1,1
14568,41,"to bite",ag-kagat,,,1,1
14925,42,"to suck",supsop,,,"1,73",1
15282,43,ear,lapayag,,,17,
15639,44,"to hear",ag-dengngeg,,,1,1
15996,45,eye,mata,,,1,1
16353,46,"to see",k-um-ita,,,1,1
16710,47,"to yawn",ag-suyyaab,?,,,
17067,48,"to sleep",ma-turog,,,1,1
17424,49,"to lie down",ag-idda,,,"19,39",
17781,50,"to dream",ag-tagainep,,,30,
18138,51,"to sit",ag-tugaw,,,"50,141",
