id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
786,"Kim Mun (Hainan)","Shintani Tadahiko, Yang Chao",mji,kimm1245,"新谷忠彦, 楊昭 / Shintani Tadahiko, Yang Chao. 海南島門語: 分類詞滙集 [The Mun language of Hainan Island: its classified lexicon]. Asian & African lexicon, v. 20. Tokyo: Institute for the Study of Languages and Cultures of Asia and Africa (ILCAA), 1990.In Hainan, China, the Kim Mun (\"mun33 va53\") language is spoken by about 23,000 people. It is fairly homogeneous in Hainan and is not further divided into any dialects. Kim Mun is also spoken in Guangxi and Yunnan in China as well as Vietnam and Laos.Tones:1 = /13/2 = /11/3 = /33/4 = /354/5 = /31/6 = /44/ (/45/ in closed long syllables)7 = /53/Note: Apostrophes <'> signify aspiration, not glottal stops.",,"Hmong-Mien, Mienic, Mian-Jin","Andrew C. Hsiu",,"@book{5515,  title            = {The Mun Language of Hainan Island},  publisher        = {Tokyo: Institute for the Study of Languages and Cultures of Asia and Africa},  address          = {Tokyo},  series           = {Asian & African Lexicon},  volume           = {20},  year             = {1990},  glottolog_ref_id = {14993},  lgcode           = {Kim Mun [mji]},  author           = {Shintani, Tadahiko L.A. and Yang, Zhao}}"
latitude,longitude
19.00000000000000000000,110.00000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
200014,1,hand,ʔbuu31,,,,
200015,2,left,"ʔdaŋ44 min11",,,,
200016,3,right,"saŋ33 liep13",,,,
200017,4,leg/foot,tao44,,,,
200018,5,"to walk",zjaŋ33,,,,
200019,6,road/path,kjao354,,,,
200020,7,"to come",ʔdaai33,,,,
200021,8,"to turn","vin11 kwai44 ʔdaai33","to turn around",,,
200022,9,"to swim","kjeo33 vam13",,,,
200023,10,dirty,"ka33 loo33",,,,
200024,11,dust,buui13,,,,
200025,12,skin,dop44,,,,
200026,13,back,"ka33 ʔdan31",,,,
200027,14,belly,njou354,,,,
200028,15,bone,toŋ354,,,,
200029,16,intestines,klaaŋ33,,,,
200030,17,liver,gjan11,Chinese,L,,
200031,18,breast,nɔɔ31,,,,
200032,19,shoulder,"bin33 ʔdao33",,,,
200033,20,"to know, be knowledgeable",ʔbei13,,,,
200034,21,"to think",saŋ44,Chinese,L,,
200035,22,"to fear","kum33 djaa13",,,,
200036,23,blood,saam354,,,,
200037,24,head,"pjei354 k'uu11",,,,
200038,25,neck,klaaŋ13,,,,
200039,26,hair,pjei13,,,,
200040,27,nose,"ba33 tjooŋ13",,,,
200041,28,"to breathe","luup31 sii31",,,,
200042,29,"to sniff, smell",hɔm31,,,,
200043,30,mouth,djat44,,,,
200044,31,tooth,njaa33,,,,
