id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
599,"Lampung Api (Daya)","Karl Anderback",ljp,lamp1243,"Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.",,"Austronesian, Malayo-Polynesian, Lampung","Simon Greenhill",,"@incollection{anderback2006,  date      = {2006-01-17},  title     = {An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary},  booktitle = {Tenth International Conference on Austronesian Linguistics},  url       = {http://www.sil.org/asia/philippines/ical/papers.html},  source    = {Puerto Princesa City},  type      = {Paper presented},  address   = {Palawan, Philippines},  author    = {Anderback, Karl}}"
latitude,longitude
-5.00000000000000000000,105.00000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
155220,1,hand,culuʔ,,,46,
155221,4,leg/foot,cukʊt̚,,,29,
155222,5,"to walk",lɑpɑh,,,42,
155223,6,road/path,ŋəʁɑyɑ,,,1,
155224,7,"to come",ʁɑtoŋ,,,14,
155225,8,"to turn",biluk̚,,,24,
155430,8,"to turn",ləgoʔ,,,52,
155226,9,"to swim",lɑŋuy,,,1,
155227,10,dirty,kɑmɑʔ,,,35,
155228,11,dust,ʁɑhbuʔ,,,1,
155229,12,skin,bɑwɑʔ,,,18,
155230,13,back,tundud̯n,,,55,
155231,15,bone,tuhlɑn,,,1,
155232,16,intestines,isɑw,,,44,
155233,17,liver,hɑti,,,1,
155234,19,shoulder,piŋpiŋ,,,16,
155235,22,"to fear",ʁɑbɑy,,,14,
155236,23,blood,ʁɑh,,,1,
155237,24,head,hulu,,,1,
155238,24,head,ulu,,,1,
155239,25,neck,gɑlɑh,,,33,
155240,26,hair,buwɔʔ,,,1,
155241,27,nose,hiʁuŋ,,,1,
155242,28,"to breathe",məhə̃ŋɑs,,,50,
155243,29,"to sniff, smell",undug̯ŋ,,,34,
155244,30,mouth,mbɑŋuʔ,,,16,
155245,31,tooth,ipon,,,1,
155246,32,tongue,əmɑ,,,1,
155247,32,tongue,m:ɑ,,,1,
155248,33,"to laugh",lɑlɑŋ,,,70,
155249,34,"to cry",miwɑŋ,,,9,
155250,35,"to vomit",mutɑh,,,1,
155251,36,"to spit",ʁɑhtoʔ,,,41,
155252,37,"to eat",məŋɑn,,,"1,14",
155253,38,"to chew",ŋɑlŋɑl,,,13,
155254,39,"to cook",nɑsɑʔ,,,"45,19",
155255,40,"to drink",ŋinum,,,1,
155256,41,"to bite",kəʁoh,,,1,
155257,42,"to suck",hisoʔ,,,1,
155258,43,ear,cupiŋ,,,"15,51",
155259,44,"to hear",təŋis,,,1,
155260,45,eye,mɑtɑ,,,1,
155261,46,"to see",liɑʔ,,,"19,23",
155262,47,"to yawn",wɑʔwɑpɑn,,,19,
155263,48,"to sleep",pədoum,,,16,
155264,49,"to lie down",duleʁduleʁ,,,53,
155265,49,"to lie down",ndulɪk̚,,,53,
155266,50,"to dream",nipi,,,1,
155267,51,"to sit",mə̃joŋ,,,28,
155268,52,"to stand",coʔcoʔ,,,30,
155269,52,"to stand",miɲjɑʔ,,,38,
155270,54,man/male,bɑkɑs,,,37,
155271,55,woman/female,bɑi,,,1,
155272,55,woman/female,bɑibɑi,,,1,
155273,56,child,sɑnɑʔ,,,1,
155274,57,husband,kɑhjoŋ,,,24,
155275,57,husband,bɑkɑs,,,,
155276,57,husband,kɑhjoŋ,,,24,
155277,57,husband,bɑi,,,,
155278,58,wife,kɑhjoŋ,,,40,
155279,58,wife,bɑi,,,41,
155280,59,mother,ndoʔ,,,10,
155281,59,mother,umɑʔ,,,36,
155282,60,father,m̯bɑʔ,,,13,
155283,61,house,mbɑhɑn,,,33,
155284,62,thatch/roof,hɑtoʔ,,,1,
155285,63,name,gəlɑʁ,,,10,
155286,64,"to say",cɑwɑ,,,21,
155287,65,rope,tɑli,,,1,
155288,66,"to tie up, fasten",kɑʁuʔ,,,44,
155289,67,"to sew",ɲəʁuʔ,,,45,
155290,68,needle,səʁoʔ,,,13,
155291,70,"to shoot",timbɑʔ,,,49,
155292,71,"to stab, pierce",pɑgɑs,,,3,
155293,72,"to hit",tostos,,,28,
155294,73,"to steal",mɑliŋ,,,16,
155295,74,"to kill",pɑtiko,,,15,
155296,75,"to die, be dead",mɑti,,,1,
155297,76,"to live, be alive",huʁiʔ,,,1,
155298,77,"to scratch",kuykuy,,,19,
155299,78,"to cut, hack",pɘloʔ,,,72,
155300,79,stick/wood,kɑyu,,,1,
155301,80,"to split",bəlɑh,,,1,
155302,81,sharp,tɑjom,,,1,
155303,82,"dull, blunt",kudul,,,80,
155304,83,"to work",bɘgɑwi,,,21,
155305,84,"to plant",tɑnom,,,2,
155306,85,"to choose",milih,,,1,
155307,86,"to grow",tuwoh,,,"1,25",
155308,87,"to swell",məgɑk̚,,,51,
155309,88,"to squeeze",kɘciŋ,,,,
155310,89,"to hold",bəkom,,,66,
155311,90,"to dig",kɑli,,,1,
155312,91,"to buy",mbeli,,,1,
155313,92,"to open, uncover",bukɑʔ,,,1,
155314,93,"to pound, beat",nũtu,,,20,
155315,94,"to throw",cɑmpɑʔ,,,57,
155316,94,"to throw",umbɑd̯n,,,60,
155317,95,"to fall",tiɑʔ,,,66,
155318,96,dog,kɑci,,,59,
155319,97,bird,mɑnuʔ,,,1,
155320,98,egg,tɑhloy,,,1,
155321,99,feather,bulu,,,1,
155322,100,wing,kəpi,,,52,
155323,101,"to fly",hɑmboʁ,,,52,
155324,102,rat,tikus,,,22,
155325,103,meat/flesh,dɑgiŋ,,,26,
155326,104,fat/grease,bohtɑboh,,,23,
155327,105,tail,gundɑŋ,,,48,
155328,106,snake,ulɑi,,,2,
155329,107,"worm (earthworm)",gəloŋ,,,15,
155330,108,louse,kutu,,,1,
155331,109,mosquito,ɑgɑs,,,56,
155332,110,spider,lɑwɑh,,,1,
155333,111,fish,iwɑh,,,25,
155334,112,rotten,busuʔ,,,56,
155335,113,branch,pɑŋpɑŋ,,,"20,62",
155336,114,leaf,buluŋ,,,18,
155337,115,root,bɑkɑʔ,,,2,
155338,116,flower,buŋɑ,,,1,
155339,117,fruit,buɑh,,,1,
155340,118,grass,jukuʔ,,,2,
155341,119,earth/soil,tɑnoh,,,1,
155342,120,stone,bɑtu,,,1,
155343,121,sand,hɨn:i,,,1,
155344,122,water,uɑy,,,2,
155345,123,"to flow",məhili,,,56,
155346,125,salt,siɑ,,,1,
155347,126,lake,dɑnɑw,,,1,
155348,127,woods/forest,polɑn,,,71,
