id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1511,ᵐBoewe,"Leenhardt (1946)",bpk,orow1242,"Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie","Transcription converteⁿd to IPA based on author's phonetic descriptions.Except: some vowels;    [r̃] = \"dental nasalised liquid\"; and    [’], which I assume to be glottal stop but the author does not explicitly discuss.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Southern, South, Wailic","Mary Walworth",,"@book{303461,  address    = {Paris},  author     = {Leenhardt, Maurice},  pages      = {697},  publisher  = {Institut d'Ethnologie},  series     = {Travaux et Mémoires de l'Institut d'Ethnologie},  title      = {Langues et dialectes de l'Austro-Mélanésie},  volume     = {XLVI},  year       = {1946},  besttxt    = {ptxt2papualeenhardt_austro-melanesie1946_o.txt},  fn         = {papualeenhardt_austro-melanesie1946.pdf, papualeenhardt_austro-melanesie1946pages.pdf, papualeenhardt_austro-melanesie1946_o.pdf},  hhtype     = {overview;comparative;wordlist;specific_feature},  inlg       = {French [fra]},  lgcode     = {Ajië [aji], Arha = Arhâ [aqr], Aro = Arhö [aok], Boewe = Orowe [bpk], Sirhe = Sîshëë [sih], Neku [nek], Ciri = Tiri [cir], Anesu = Xârâcùù [ane], Aragure = Xârâgurè [axx], Dubea = Drubea [duf], Kapone = Numèè [kdk], Pati = Paicî [pri], Camuki = Cemuhî [cam], Pinje = Pije [piz], Poai = Fwâi [fwa], Nemi = Nemi [nem], Wamoang = Waamwang [wmn], Jawe [jaz], Moenebeng = Caac [msq], Yalasu = Balade [NOCODE_Balade], Belep = Belep Nyelâyu [yly], Nenema = Nêlêmwa-Nixumwak [nee], Koumac = Nêlêmwa-Nixumwak [nee], Nua/Bonde = Yuanga [nua], Poapoa = Pwapwâ [pop], Poamei = Pwaamei [pme], Moaveke = Hmwaveke [mrk], Moaeke = Vamale [mkt], Aveke = Haveke [hvk], Aeke = Haeke [aek], Nengone [nen], Iwatenu = Nengone [nen], De'u = Dehu [dhv], Miñ = Dehu [dhv], Iai = Iaai [iai]},  macro_area = {Papunesia},  oclc       = {870114007},  src        = {hh}}"
latitude,longitude
-21.62690000000000000000,165.47300000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
337841,1,hand,"gawi ɛ",,,28,
337842,1,hand,"neã ɛ",,,x,
337878,2,left,"o ⁿdara",,,29,
337910,3,right,"e gamë",,,60,
337951,4,leg/foot,"keurujuã ɛ",,,56,
337952,4,leg/foot,"moaneã e",,,56,
337987,5,"to walk",var̃a,,,2,
338022,6,road/path,wei,,,30,
338054,7,"to come",mi,,,1,
338086,8,"to turn",t̪okami,,,73,
338087,8,"to turn",t̪okoe,,,73,
338118,9,"to swim",u,,,5,
338152,11,dust,"puru jëri",,,"20,6",
338186,13,back,"negoa ɛ",,,15,
338220,14,belly,"poe ɛ",,,36,
338254,16,intestines,"kona ɛ",,,82,
338288,17,liver,"puio: ɛ",,,63,
338323,18,breast,"mɛsã e",,,"8, 60",
338357,19,shoulder,"ᵐboeo ɛ",,,64,
338389,20,"to know, be knowledgeable",ewai,,,1,
338423,21,"to think",ᵐbara,,,101,
338457,23,blood,"werʃø xiɛ",,,"65,1",
338492,24,head,"ᵐboe e",,,9,
338526,25,neck,"koeo ɛ",,,23,
338560,26,hair,"pʷar̃aᵐboe ɛ",,,31,
338594,27,nose,"omoa ɛ",,,14,
338629,29,"to sniff, smell",t̪apɛ,,,113,
338662,30,mouth,"newe ɛ",,,36,
338695,31,tooth,"pewa ɛ",,,21,
338729,32,tongue,"meoromea ɛ",,,7,
338767,35,"to vomit",go:wi,,,39?,
338801,37,"to eat",ara,,,39,
338845,40,"to drink",weʝo,,,66,
338881,42,"to suck",ji,,,25,
338882,42,"to suck",jui,,,25,
338915,43,ear,"ᵐboaⁿdeã e",,,16,
338947,44,"to hear","t̪o poer̃e",,,7,
338980,45,eye,"pimɛ ɛ",,,"31,1",
339021,46,"to see",t̪onamoa,,,129,
339055,48,"to sleep","ona: rei",,,,
339086,49,"to lie down",ona:,,,106,
339118,50,"to dream",axë,,,64,
339152,53,"person/human being","o xiɛ",,,94,
339212,54,man/male,oɛ,,,4,
339213,54,man/male,"ẽ xiɛ",,,4,
339276,55,woman/female,osawe,,,1,
339277,55,woman/female,"o sawe xiɛ",,,1,
339315,56,child,"urʃaxi xiɛ",,,98,
339348,57,husband,"koe ɛ",,,2,
339384,58,wife,"koe ɛ",,,"1,53",
339418,59,mother,"ɲaɲa xiɛ",,,"1,83",
339453,60,father,"pøva xiɛ",,,37,
339487,61,house,moa,,,1,
339522,62,thatch/roof,sirʃu:,,,73,
339554,64,"to say",er̃e,,,165,
339588,65,rope,ju,,,,
339589,65,rope,aru,,,2,
339624,68,needle,uᵐbe,,,40,
339657,72,"to hit","rʃexɛ verʃakɛ",,,11,
339697,75,"to die, be dead",mat̪e,,,1,
339736,78,"to cut, hack",socia,,,131,
339776,79,stick/wood,ùrù,,,7,
339809,84,"to plant",nã,,,44,
339841,85,"to choose",pamir̃i,,,42,
339872,92,"to open, uncover",sɛrɛ,,,78,
339906,93,"to pound, beat","sa na",,,67,
339944,95,"to fall",t̪ùa,,,133,
339980,96,dog,t̪aiki,,,92,
340015,97,bird,"poe kãĩ",,,52,
340048,101,"to fly",sia,,,93,
340098,102,rat,"ørø sipù",,,3,
340139,107,"worm (earthworm)",ᵐbe,,,11,
340173,109,mosquito,nao,,,1,
340207,110,spider,navo,,,91,
340241,111,fish,no:,,,9,
340275,113,branch,jiø,,,15,
340309,114,leaf,"mã e",,,30,
340344,115,root,"koɛ ɛ",,,"2,41,42",
340378,117,fruit,"poẽ ɛ",,,1,
340412,119,earth/soil,jëri,,,1,
340447,120,stone,ane,,,,
340481,121,sand,ⁿdea:,,,15,
340515,122,water,rʃë,,,1,
340550,124,sea,neⁿdi,,,23,
340584,128,sky,nero,,,35,
340619,129,moon,ᵐbevarʃù,,,21,
340653,130,star,"poea kuia",,,88,
340687,131,cloud,o:,,,12,
340720,133,rain,wi,,,27?,
340753,134,thunder,oro,,,2,
340786,135,lightning,kasø,,,1,
340819,136,wind,koa:,,,"93,18?",
340857,138,warm,pekẽ,,,37,
340890,139,cold,mae,,,51,
340923,140,dry,møø,,,1,
340957,141,wet,awø,,,112,
340992,143,fire,nɛne,,,46,
341026,145,smoke,puro,,,89,
341060,146,ash,rʃɛxeu,,,20,
341094,147,black,werɛ,,,90,
341130,148,white,oamɛ,,,"22,121",
341162,149,red,mi:,,,"1,55",
341199,150,yellow,mi:,,,x,
341200,150,yellow,opeⁿdøxaru,,,"97,95",
341231,151,green,jia,,,,
341263,152,small,ira,,,,
341296,153,big,au,,,101?,
341297,153,big,"au nu",,,101?,
341331,156,thin,aranavi,,,60,
341363,157,thick,rʃãva,,,70,
341401,160,"painful, sick","pei ma",,,"51, 1",
341446,162,old,"o peani",,,16,
341447,162,old,joe,,,29,
341482,163,new,ⁿdovo,,,18,
341516,164,good,wesa,,,1,
341550,165,"bad, evil",mu,,,36,
341584,166,"correct, true",amar̃i,,,1?,
341618,167,night,ᵐboet̪e,,,1,
341652,168,day,moara,,,"1,54",
341686,170,when?,ani,,,1,
341726,174,"in, inside","t̪o aᵐbexemi",,,,
341758,179,near,"t̪o ve ovo",,,109,
341794,180,far,"t̪o ve noro",,,35,
341829,181,where?,"t̪o we",,,3,
341864,182,I,o,,,1,
341897,183,thou,i,,,1,
341931,184,he/she,e,,,1,
341985,185,we,ⁿde,,,,
341986,185,we,ᵐbe,,,,
342020,186,you,gø,,,1,
342051,187,they,ⁿde,,,"1,70",
342091,188,what?,jiɛ,,,1,
342123,192,and,me,,,2,
342155,193,if,ŋe,,,12,
342189,195,"no, not",ae,,,10,
342221,196,"to count",sivar̃a,,,1,
342260,197,One,rʃake,,,14,
342294,198,Two,keuru,,,1,
342328,199,Three,kerere,,,1,
342362,200,Four,keve,,,"1,65",
342396,201,Five,keni:,,,"1,15",
342430,202,Six,"keni a rʃake",,,,
342463,203,Seven,"keni me keuru",,,,
342497,204,Eight,"keni me kerere",,,,
342530,205,Nine,"keni me keve",,,,
342565,206,Ten,pauru,,,12,
342596,207,Twenty,"rʃake o:",,,,
342626,209,"One Hundred","keni o:",,,,
