id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
266,"Pazih F69","Ferrell (1969)",uun,kulo1237,"Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.Andreea: replaced /đ/ with /ð/ (cf. book).","Austronesian, Northwest Formosan","Simon Greenhill","Simon Greenhill","@book{Ferrell69,  address   = {Taiwan},  publisher = {Academica Sinica},  title     = {Taiwan Aboriginal Groups: Problems in cultural and linguistic classification},  series    = {Monograph 17: Institute of Ethnology},  year      = {1969},  author    = {Ferrell, Raleigh}}"
latitude,longitude
23.26520361929584979066,121.91382626702210245639
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
71433,1,hand,imá,,,"1,65",
71434,1,hand,rima,,,"1,64",
163967,1,hand,rimáʔ,,,"1,64",
623,2,left,ixiʔ,,,1,
163978,2,left,ixíʔ,,,1,
980,3,right,ʔannán,,,1,
164001,3,right,anán,,,1,
71522,4,leg/foot,karáu,,,64,
71523,4,leg/foot,karao,,,64,
163979,4,leg/foot,karáw,,,64,
71573,5,"to walk",muża:kái,,,3,
71574,5,"to walk",dzadzakai,,,3,
164045,5,"to walk",muzakáy,,,3,
2051,6,road/path,darán,,,1,
71671,7,"to come",mupu:żáh,,,3,
71672,7,"to come",ʔalu,,,46,
71673,7,"to come",mopuzan,"delete this entry?`probably a typo for mopuzah. LS",,3,
164025,7,"to come",mupuzáh,,,3,
2765,8,"to turn",ma:sədə́:',,,,
3122,9,"to swim",lalaŋuíʔ,,,1,
3479,10,dirty,kalialiakán,,,,
163950,10,dirty,dakiʔə́n,"or 1?",,1,
163951,10,dirty,tudakíʔ,,,1,
3836,11,dust,b̂urab̂ú',"the form is from Lin 2000:151",,14,
4193,12,skin,rapái,"isolated in AN",,24,
164009,12,skin,repáy,,,24,
4550,13,back,bukún,"cf. Atayal, cf Yakan???",,2,
72087,14,belly,ti'án,,,1,
72088,14,belly,tyal,,,1,
163942,14,belly,tíal,,,1,
5264,15,bone,bun,,,44,
163975,16,intestines,heherút,,,62,
111879,17,liver,asay,,,1,
163981,17,liver,ʔasáy,,,1,
