id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1263,"Ayta Ambala","Stone (2008)",abc,amba1267,"Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.",,"Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic","Andrew Hsiu",,"@article{150458,  journal    = {Studies in Philippine languages and cultures},  pages      = {158-183},  title      = {The Sambalic languages of Central Luzon},  volume     = {19},  year       = {2008},  bibtexkey  = {stone_sambalic-luzon2008},  country    = {Philippines [PH]},  fn         = {papua\stone_sambalic2008.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {51521},  src        = {hh, sil16},  srctrickle = {hh#hvw:Stone:Sambalic, sil16#51521},  subject    = {Language classification [LCL], Grammatical descriptions [GRD]},  author     = {Stone, Roger}}"
latitude,longitude
14.81560000000000000000,120.28300000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
299940,1,hand,gamɨt,,,21,
299941,2,left,kaliwaʔ,,L,67,
299942,5,"to walk",alyakoʔ,,,1,
299943,9,"to swim",laŋɨy,,,1,
299944,10,dirty,yaŋat,,,115,
299945,11,dust,gabot,,,,
299946,12,skin,balat,,,21,
299947,13,back,bokot,,,86,
299948,14,belly,bitokaʔ,,,85,
299949,15,bone,botʔo,,,39,
299950,17,liver,agtay,,L,,
299951,18,breast,sosoʔ,,,1,
299952,19,shoulder,bantaw,,,101,
299953,23,blood,dayaʔ,,,1,
299954,24,head,olo,,,1,
299955,25,neck,bɨŋ,,,114,
299956,26,hair,labok,,,67,
299957,27,nose,baloŋoh,,,"1,86",
299958,29,"to sniff, smell",daʔɨp,,,79,
299959,30,mouth,bɨbɨy,,,"32,92",
299960,31,tooth,ŋɨpɨn,,,"1,48",
299961,32,tongue,dila,,,4,
299962,33,"to laugh",kayliʔ,,,99,
299963,34,"to cry",taŋih,,,1,
299964,35,"to vomit",hoka,,,9,
299965,37,"to eat",kan,,,"1,14",
299966,40,"to drink",inɨm,,,"1,56",
299967,41,"to bite",kayat,,,1,
299968,42,"to suck",sɨpsɨp,,,1,
299969,43,ear,tɨk,,,45,
299970,44,"to hear",lɨŋɨʔ,,,"1,17",
299971,45,eye,mata,,,1,
299972,46,"to see",akit,,,"1,109",
299973,48,"to sleep",toloy,,,1,
299974,50,"to dream",taynɨp,,,30,
299975,51,"to sit",iknoʔ,,,59,
299976,52,"to stand",idɨŋ,,,83,
299977,54,man/male,liyakiʔ,,,"2,99",
299978,55,woman/female,babayi,,,"1,105",
299979,56,child,anak,,,1,
299980,57,husband,ahawa,,,2,
299981,58,wife,ahawa,,,1,
299982,59,mother,indoʔ,,,16,
299983,60,father,bapa,,,5,
299984,61,house,bali,,,14,
299985,62,thatch/roof,atɨp,,,1,
299986,63,name,ŋalan,,,1,
299987,65,rope,yobil,,,"22,23",
299988,67,"to sew",tayi,,,1,
299989,68,needle,kadayɨm,,,"1,34",
299990,73,"to steal",takaw,,,1,
299991,74,"to kill",pati,,,2,
299992,81,sharp,tadɨm,,,1,
299993,83,"to work",trabaho,,,,
299994,84,"to plant",tanɨm,,,2,
299995,85,"to choose",piliʔ,,,1,
299996,88,"to squeeze",pɨspɨs,,,29,
299997,90,"to dig",kalih,,,1,
299998,91,"to buy",haliw,,,20,
299999,94,"to throw",haloʔ,,,,
300000,96,dog,aho,,,1,
300001,97,bird,manokmanok,,,"1,49",
300002,98,egg,okoy,,,16,
300003,99,feather,baŋibaŋ,,,,
300004,100,wing,palakpak,,,33,
300005,101,"to fly",lompad,,,21,
300006,105,tail,ikoy,,,1,
300007,106,snake,otan,,,67,
300008,107,"worm (earthworm)",bolati,,,"1,34",
300009,109,mosquito,yamok,,,1,
300010,110,spider,pidaʔ,,,,
300011,111,fish,kɨnaʔ,,,46,
300012,115,root,yamot,,,3,
300013,117,fruit,tagɨy,,,43,
300014,120,stone,bato,,,1,
300015,121,sand,bohaŋin,,,89,
300016,122,water,lanom,,,"1,56",
300017,125,salt,ahin,,,3,
300018,128,sky,laŋit,,,1,
300019,129,moon,boyan,,,1,
300020,130,star,bɨtɨwɨn,,,1,
300021,131,cloud,olap,,,57,
300022,133,rain,abagat,,,,
300023,134,thunder,kimat,,,,
300024,135,lightning,kimat,,,"1,81",
300025,138,warm,ʔumot,hot,,105,
300026,139,cold,layɨp,,,102,
300027,141,wet,bahaʔ,,,1,
300028,142,heavy,biyat,,,1,
300029,143,fire,apoy,,,1,
300030,145,smoke,ahok,,,"2,53",
300031,146,ash,abo,,,1,
300032,147,black,wliŋ,,,84,
300033,148,white,potiʔ,,,1,
300034,149,red,odit,,,101,
300035,150,yellow,dilaw,"from Tagalog",L,,
300036,152,small,kayɨk,,,,
300037,153,big,hmak,,,,
300038,155,long,kadaŋ,,,90,
300039,156,thin,nipis,,,1,
300040,157,thick,kodpa,,,"1,11",
300041,158,narrow,kayɨk,,,,
300042,159,wide,lawag,,,"1,64",
300043,163,new,bayo,,,"1,54",
300044,164,good,hampat,,,114,
300045,167,night,yabi,,,21,
300046,168,day,allo,,,1,
300047,169,year,taʔon,,,1,
300048,170,when?,makano,,,"10,19",
300049,171,"to hide",tagoʔ,,L,,
300050,172,"to climb",dakɨy,,,34,
300051,180,far,dayoʔ,,,1,
300052,181,where?,haʔantoʔ,,,"1,77",
300053,182,I,aku,,,"1,5",
300054,183,thou,ka,,,"1,29",
300055,184,he/she,ya,,,1,
301784,185,we,kami,,,"2,52",
301785,185,we,tamu,,,"1,10",
300057,186,you,kawu,,,"1,38",
300058,187,they,hila,,,1,
300059,188,what?,hitaʔ,,,,
300060,189,who?,hitaʔ,,,"14,47",
300061,191,all,laʔat,,,37,
300062,192,and,boy,,,,
300063,193,if,nu,,,"2,70",
300064,194,how?,pakapakun,,,,
300065,196,"to count",bilaŋ,,,1,
