id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
559,Bellona,"Tryon & Hackman (1983)",mnv,renn1242,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-11.61666699999999963211,160.25000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
146618,1,hand,ŋima,arm,,1,
146619,2,left,sema,left,,11,
146620,3,right,maui,right,,32,
146621,4,leg/foot,baʔe,leg,,"1, 100",
146622,5,"to walk",sehu,walk,,4?,
146623,5,"to walk",iho,"go down",,x,
146624,5,"to walk",hano,go,,2,
146625,5,"to walk",ake,"go up",,x,
146626,6,road/path,aŋa,road,,1,
146627,7,"to come",aʔu,come,,44,
146628,8,"to turn",takahuŋi,turn,,15,
146629,9,"to swim",kaukau,bathe,,5,
146630,9,"to swim",kaukau,swim,,5,
146631,10,dirty,uŋi,dirty,,114,
146632,11,dust,gebu,dust,,"1, 68",
146633,12,skin,kiŋi,skin,,1,
146634,13,back,tuʔa,back,,11,
146635,14,belly,tinaʔe,belly,,"19, 34",
146636,15,bone,ibi,bone,,"52,5",
146637,16,intestines,ŋoguŋogu,guts,,35,
146638,17,liver,ʔate,liver,,1,
146639,18,breast,baiu,breast,,,
146640,20,"to know, be knowledgeable",naʔa,know,,,
146641,21,"to think",teŋeuʔa,think,,,
146642,22,"to fear",mataku,fear,,1,
146643,23,blood,toto,blood,,4,
146644,24,head,ʔuŋu,head,,1,
146645,25,neck,uʔa,neck,,18,
146646,26,hair,huŋu,"hair (body)",,31,
146647,27,nose,isu,nose,,1,
146648,28,"to breathe",manaba,breathe,,1,
146649,29,"to sniff, smell",soŋisoŋi,smell,,9,
146650,30,mouth,ŋutu,mouth,,2,
146651,31,tooth,niho,tooth,,1,
146652,32,tongue,aŋeŋo,tongue,,15,
146653,33,"to laugh",kata,laugh,,7,
146654,34,"to cry",tāŋi,cry,,1,
146655,35,"to vomit",ŋua,vomit,,8,
