id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
249,Itbayat,"Tsuchida et al. (1987)",ivv,ivat1242,"Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo",,"Austronesian, Malayo-Polynesian, Philippine, Bashiic, Ivatan","Simon Greenhill","Simon Greenhill","@book{46500,  address               = {Tokyo},  pages                 = {v+227},  publisher             = {University of Tokyo},  title                 = {List of selected words of Batanic languages},  year                  = {1989},  bibtexkey             = {moriguchi-tsuchida-yamada_selected-batanic1989},  class_loc             = {PL5571.Z5},  document_type         = {B},  hhtype                = {overview;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5571 BAT 1989},  src                   = {hh},  srctrickle            = {hh#hw:Tsuchidaetal:Batanic:Worsds},  subject_headings      = {Batan language–Glossaries, vocabularies, etc, Batan language–Glossaries, vocabularies, etc},  author                = {Tsuchida, Shigeru and Yamada, Yukihiro and Moriguchi, Tsunekazu}}"
latitude,longitude
20.75097714407783300317,121.83837890625000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
249,1,hand,lima,,,"1,64",
606,2,left,gori,,,26,
963,3,right,wanan,,,1,
1320,4,leg/foot,ayi,,,1,
85158,5,"to walk",hayam,"to walk",,17,
85159,5,"to walk",homayam,"to walk (affixed)",,,
87215,6,road/path,raxan,"road or path",,"1,54",
87216,6,road/path,raraxan,"road or path (affixed)",,"1,54",
87850,7,"to come",ayi,"to come",,1,
87851,7,"to come",mayi,"to come (affixed)",,,
87852,7,"to come",ayan,"to come",,,
87864,8,"to turn",tico,"to change one's direction",,23,
87865,8,"to turn",omtico,"to change one's direction (affixed)",,,
87909,9,"to swim",awat,"to swim",,,
87910,9,"to swim",miawat,"to swim (affixed)",,,
87955,10,dirty,rapos,,,28,
87956,10,dirty,xotek,,,,
87957,10,dirty,saypet,,,29,
3819,11,dust,axbek,,,"1,49",
4176,12,skin,kolit,,,1,
4533,13,back,licod,,,1,
4890,14,belly,volek,,,27,
5247,15,bone,to'xang,,,1,
5604,16,intestines,tinayi,,,1,
5961,17,liver,atay,,,1,
6318,18,breast,soso,,,1,
88365,19,shoulder,psagatan,,,20,
88366,19,shoulder,pakox,,,21,
88413,20,"to know, be knowledgeable",panmo,"to know",,25,
