id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
376,Mwotlap,"Alex Francois (fieldnotes 1997-2006)",mlv,motl1237,,"I chose a strictly IPA transcription, except that prenasalised consonants are not spelled out, and yod is /y/ rather than /j/.The cognacy column:  I temporarily added the etyma themselves (either POc or PNCVanuatu, or even my own north Vanuatu reconstructions, with 2 stars) for the cognacy expert to make informed judgments -- knowing that Mwotlap can be extreme  in its evolution -- e.g. /ɣɛy/ 'swim' < *kaRu.  (I'm afraid my comments in that column were sometimes chopped out by the programme)","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Dr Alexandre François",,"@misc{Francois-376-2009,  author = \"Alex François\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
-13.45566897441982945338,167.90717657930551354184
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
92696,1,hand,na-mnɪ-k,"my hand(s) (*banic)",,14,
92697,2,left,na-ɣla,(*ɣalawa),,14,
92698,3,right,na-mtʊ,(*matuqa),,"5, 37",
92699,4,leg/foot,na-yŋɪ-k,(**raŋo),,17,
92700,5,"to walk",ßanßan,(*pano),,2,
92701,6,road/path,na-mtɛhal,(*jalan),,1,
92702,7,"to come","ßan mɛ","(*pano + *m)",,"23,1",
122541,8,"to turn",ßɪy,"reverse direction (**ßir)",,24,
122540,8,"to turn",hɪsɪm,"change paths at crossroads;",,126,
92704,9,"to swim",ɣɛy,(*kaʀu),,5,
92705,10,dirty,nɛ-lɛm,(**leba),,9,
92706,11,dust,nʊ-wʊwʊ,,,"1, 50",
92707,12,skin,ni-pni-k,"my skin (**ßiniti)",,28,
92708,13,back,nɪ-klɛ-k,"my back (*gula-)",,10,
92709,14,belly,na-tkpʷɛ-k,"my belly (*tobwa)",,36,
92710,15,bone,ni-hiy,(*suʀi),,52,
92711,16,intestines,nɪ-tna,(*tinaqe),,1,
92712,17,liver,na-ßay,(**ßara),,17,
92713,18,breast,ni-sis,(*susu),,1,
92714,19,shoulder,"na-kpʷtɪɣ bɪnɪ-k","start of my arm/hand (*bwatu (?))",,"65,36?",
122542,20,"to know, be knowledgeable",ɪɣlal,"know (*kilal)",,18,
122543,20,"to know, be knowledgeable",nɔ-lɔlmɛyɛn,"be knowledgeable",,86,
92716,21,"to think",dɪm,(*domi),,13,
92717,22,"to fear",mɪtɪɣtɛɣ,(*matakut),,1,
92718,23,blood,na-day,(*draʀaq),,1,
92719,24,head,ni-kpʷti-k,"my head (*bwatu)",,9,
92720,25,neck,nɪ-nlɪ-k,"my neck (**daleqo)",,42,
92721,26,hair,n-ili-k,"my hair (*pulu)",,31,
92722,27,nose,ni-mdi-k,"my nose (**madu-)",,14,
92723,28,"to breathe",ŋmʷʊkhɛɣ,(**mabus-ak),,14,
92724,29,"to sniff, smell",hɪmɛn,"(?? + **mad)",,15,
122545,30,mouth,na-ŋyɛ-k,"my external mouth/lips",,7,
122544,30,mouth,na-plɛ-k,"my internal mouth (**βal)",,42,
92726,31,tooth,nɪ-lwɪ-k,"my teeth (*lipon)",,"1,35",
92727,32,tongue,na-ɣaymɛ-k,"my tongue (*kaʀamaya)",,"7, 14",
92728,33,"to laugh",yɪyɪ,(<**riwa),,90,
92729,34,"to cry",tɛŋ,(*taŋis),,1,
122546,35,"to vomit","lʊlʊ +",*luaq,,8,
122547,35,"to vomit",kpʷɔap,,,,
92731,36,"to spit",ninih,(*(q)anusi),,"14, 84",
92732,37,"to eat",ɣɛn,(*kani),,1,
93386,38,"to chew",ŋɛ,"general term",,12,
93387,38,"to chew",kamkam,"chew betel",,,
92734,39,"to cook",kpʷaŋyis,"cook in earth oven (**bwaraŋi)",,42,
92735,40,"to drink",in,(*inum),,1,
92736,41,"to bite",ŋit,,,58,
92737,42,"to suck",saŋmʷ,"suck/chew sugarcane ((*jamu))",,21,
92738,43,ear,nɪ-dɪlŋɛ-k,"my ear(s) (*taliŋa)",,"1, 40",
92739,44,"to hear",yɔŋtɛɣ,"hear, feel (*roŋoʀ)",,"1, 55",
92740,45,eye,na-mtɛ-k,"my eyes (*mata)",,1,
92741,46,"to see",ɛt,(?),,"1, 89",
92742,47,"to yawn",ɣayŋmʷa,"(**kaʀat +)",,19,
92743,48,"to sleep",mitiy,(*maturuR),,1,
92744,49,"to lie down",ɛn,(*qenop),,1,
92745,50,"to dream",kpʷɔykpʷɔy,(*boʀe),,10,
92746,51,"to sit",haɣ,(**sake),,72,
92747,52,"to stand",tiɣ,"((NOT *tuqu)",,68,
92748,53,"person/human being",n-ɛt,"(*qata  (?))",,4,
92749,54,man/male,na-tŋmʷan,"(*qata + *mʷaqane)",,"1,14",
92750,55,woman/female,na-lkpʷʊßɪn,"(?? + *pine)",,"1,72",
122548,56,child,nɪtŋmʷɛy,"a child (*natu)",,"5, 8",
122549,56,child,inti-k,"my child",,5,
92752,57,husband,iɣni-k,"my spouse (**ɣunu-)",,65,
92753,58,wife,iɣni-k,"my spouse (**ɣunu-)",,51,
92754,59,mother,ißɪ-k,"my mother (**ßeße)",,20,
92755,60,father,itmɛ-k,"my father (*tama)",,1,
92756,61,house,n-ɪŋmʷ,(*ʀumaq),,1,
92757,62,thatch/roof,nɔ-yɔt,"sago palm, thatch (*raun + *q)",,"1, 61",
92758,63,name,na-hɛ-k,"(**sasa- <?)",,"1, 34",
92759,64,"to say",ßap,"(**ßaßa <)",,13,
92760,65,rope,na-ɣayɣa,"liana, rope, string (? **kaʀo)",,"25, 56",
122550,66,"to tie up, fasten",lɪɣ,*likot,,"1,39",
122551,66,"to tie up, fasten",yɪt,,,"77, 78",
92762,67,"to sew",susuy,(*susuʀi),,"15, 59",
92765,70,"to shoot",kay,(**gara),,33,
122553,71,"to stab, pierce",ɛs,"stab with knife",,34,
122552,71,"to stab, pierce",hiɣ,"prick (*sukit)",,"1, 8",
92767,72,"to hit",laŋmʷ,(**lamʷas),,,
92768,73,"to steal",bɛl,(**balu),,23,
92769,74,"to kill","wuh mat","hit dead (**ßusi +)",,"26, 2",
92770,75,"to die, be dead",mat,(*mate),,1,
92771,76,"to live, be alive",n-ɪh,(**esu),,24,
92772,77,"to scratch",ɣayɣay,(**karo),,1,
92773,78,"to cut, hack",tɔt,(*totok),,3,
92774,79,stick/wood,nɪ-kpʷɪtɪnɣɛ,"(*bwatu 'he)",,1,
92775,80,"to split","Vb1 + wɔy","(only as Vb2 in serialisation) (**ßora)",,1,
92776,81,sharp,nɛ-hɛy,"(**sar[i,u])",,19,
92777,82,"dull, blunt",nɛ-ŋmʷɛs,,,34,
92778,83,"to work",muwumwu,(**makui),,29,
122554,84,"to plant",ßah,**vaso,,6,
122555,84,"to plant",yuw,"for yams",,9,
92780,85,"to choose","ɛt yak","lit. look + take away",,30,
92781,86,"to grow",mɔtɔw,,,1,
92782,87,"to swell",yɪɣ,(**riɣa),,23,
