id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
452,"Tausug, Jolo Dialect","S. Ashley in Reid (1971)",tsg,taus1251,"Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.With additions Richard Parker and Vicente de Jesus from Tausug-English Dictionary: Kabtangan Iban Maana by Irene U. Hassan, Seymour A. Ashley, and Mary L. Ashley published by the Summer Institute of Linguistics, 1994.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bisayan, South, Butuan-Tausug","Janet Moody, Vicente de Jesus, Richard Parker",,"@book{136553,  address               = {[Honolulu]},  note                  = {Bibliography: p. [241]},  pages                 = {xii+239},  publisher             = {Univ. of Hawaii Press},  series                = {Oceanic linguistics special publication},  title                 = {Philippine minor languages: word lists and phonologies},  volume                = {8},  year                  = {1971},  bibtexkey             = {reid_minor-phonologies1971},  class_loc             = {PL5525},  document_type         = {B},  fn                    = {papua\reid_philippine-minor1971.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  internetarchive_id    = {rosettaproject_syb_phon-1},  isbn                  = {9780870226915},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5525 PHI 1971},  src                   = {hh, mpieva, wals},  srctrickle            = {hh#hvw:Reid:Philippine-Minor, mpieva#1971Philippi, wals#4987},  subject_headings      = {Philippine languages–Glossaries, vocabularies, etc., Philippine languages–Phonology, Philippine languages–Glossaries, vocabularies, etc. – Philippine languages–Phonology},  author                = {Reid, Lawrence Andrew},  editor                = {Reid, Lawrence Andrew}}"
latitude,longitude
5.70411960668088191539,121.26840129437179882643
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
118004,1,hand,limah,,,"1,64",
118005,2,left,"ha lawah",,,25,
118006,3,right,"ha tuʔuh",,,"5,25",
118007,4,leg/foot,sikih,,,24,
118008,5,"to walk",magpanaw,,,2,
127807,6,road/path,dan,,,1,
127806,7,"to come",kari,,,83,
118009,8,"to turn",giling,,,"4,70",
118010,9,"to swim",maglanguy,,,1,
118011,10,dirty,malummiʔ,,,51,
118012,11,dust,bagunbun,,,71,
118013,12,skin,paʔis,,,38,
118014,13,back,taikud,,,1,
118015,14,belly,tian,,,1,
118016,15,bone,bukug,,,16,
118017,16,intestines,luungunluungun,,,,
118018,17,liver,ʔatay,,,1,
118019,18,breast,duruʔ,,,15,
118020,18,breast,daghal,,,,
118021,19,shoulder,ʔagabah,,,1,
118022,20,"to know, be knowledgeable",tuhud,"know (a person)",,,
127805,21,"to think",magpikil,,,22,
118023,22,"to fear",bugaʔ,,,,
118024,23,blood,duguʔ,,,16,
118025,24,head,ʔuuh,,,1,
118026,25,neck,liʔug,,,1,
118027,26,hair,buhuk,,,"1,65",
118028,27,nose,ʔilung,,,1,
127804,28,"to breathe",napas,,,29,
118029,29,"to sniff, smell",hamutun,,,31,
118030,30,mouth,simud,,,33,
118031,31,tooth,ʔipun,teeth,,"1,50",
118032,32,tongue,dilaʔ,,,4,
118033,33,"to laugh",magkatawah,,,1,
118034,34,"to cry",magtangis,,,1,
118035,35,"to vomit",suka,,,9,
118036,36,"to spit",magluraʔ,,,1,
118037,37,"to eat",magkaʔun,,,1,
118038,38,"to chew",ʔapil,"*betel chew",,,
118039,39,"to cook",bukadkad,"30. *to boil",,,
118040,39,"to cook",maglutuʔ,,,20,
118041,40,"to drink",magʔinum,,,1,
118042,41,"to bite",magkutkut,,,21,
118043,42,"to suck",supsup,,,1,
118044,43,ear,taingah,,,1,
118045,44,"to hear",magdungug,,,1,
118046,45,eye,matah,,,1,
118047,46,"to see",kimitaʔ,,,1,
127803,47,"to yawn",iyaban,,,"19,11",
118048,48,"to sleep",magtuug,,,1,
165169,49,"to lie down",kulang,,,,
118049,50,"to dream",magtagaʔinup,,,30,
118050,51,"to sit",maglingkud,,,45,
118051,52,"to stand",timindug,,,20,
118052,53,"person/human being",taʔuh,,,1,
118053,54,man/male,ʔusug,,,41,
118054,55,woman/female,babaʔih,,,"1,105",
118055,56,child,bataʔbataʔ,,,16,
118056,57,husband,banah,,,1,
118057,58,wife,ʔasawah,,,1,
118058,59,mother,ʔinaʔ,,,"1,76",
118059,60,father,ʔamaʔ,,,"1,17",
118060,61,house,baay,,,14,
118061,62,thatch/roof,ʔatup,,,1,
118062,63,name,ngan,,,1,
118063,64,"to say",ʔian,,,,
118064,65,rope,lubid,,,21,
118065,66,"to tie up, fasten",hukut,,,1,
118066,67,"to sew",magtahiʔ,,,1,
118067,68,needle,jawm,,,1,
118068,69,"to hunt",maglawag,,,33,
127802,70,"to shoot",magtimbak,,,,
118069,71,"to stab, pierce",dugsuʔan,,,36,
127801,72,"to hit",dukduk,,,5,
118070,73,"to steal",magtakaw,,,1,
118071,74,"to kill",bunuʔ,,,1,
118072,75,"to die, be dead",patay,dead,,"1,35",
127800,76,"to live, be alive",buhi,,,"14,74",
118073,77,"to scratch",ʔugud,itch,,,
118074,77,"to scratch",magkamas,,,39,
118075,78,"to cut, hack",huyaʔ,,,,
118076,79,stick/wood,kahuy,,,1,
127799,80,"to split",sipak,,,9,
118077,81,sharp,mahaʔit,,,38,
118078,82,"dull, blunt",dumpul,,,3,
118079,83,"to work",maghinang,,,,
118080,84,"to plant",magtanum,,,2,
118081,85,"to choose",piiʔ,,,1,
127798,86,"to grow",tungbu,,,1,
127797,87,"to swell",maghubag,,,8,
118082,88,"to squeeze",pugaʔun,,,"1,37",
118083,89,"to hold",kumkumun,,,"1,45",
118084,90,"to dig",magkaliʔ,,,1,
118085,91,"to buy",biih,,,1,
127795,92,"to open, uncover",bulat,,,,
127796,92,"to open, uncover",ukab,,,28,
118086,93,"to pound, beat","magbayu pay",,,1,
118087,94,"to throw",hitiluʔ,,,,
118088,95,"to fall",mahulug,,,29,
118089,96,dog,ʔiruʔ,,,21,
118090,97,bird,manukmanuk,,,"1,49",
118091,98,egg,ʔiklug,,,1,
118092,99,feather,bulbul,,,"1,68",
118093,100,wing,pikpik,,,55,
118094,101,"to fly",maglupad,,,21,
118095,102,rat,ʔambaw,,,38,
127794,103,meat/flesh,siyumbay,,,,
118096,104,fat/grease,lanah,"104. fat (n.)",,81,
118097,105,tail,ʔikug,,,1,
118098,106,snake,haas,,,26,
118099,107,"worm (earthworm)","kalug lupaʔ",,,,
118100,108,louse,kutuh,"lice (head)",,1,
118101,109,mosquito,hilam,,,32,
118102,110,spider,lawaʔ,,,1,
118103,111,fish,ʔistaʔ,,,18,
118104,112,rotten,haluʔ,,,,
127793,113,branch,sanga,,,2,
118105,114,leaf,dahun,,,1,
118106,115,root,gamut,,,3,
118107,116,flower,sumping,,,29,
118108,117,fruit,bungah,,,9,
127792,118,grass,dagnut,,,,
118109,119,earth/soil,lupaʔ,,,25,
118110,120,stone,batu,,,1,
118111,121,sand,buhangin,,,34,
118112,122,water,tubig,,,14,
127791,123,"to flow",sug,,,"2,75",
118113,124,sea,dagat,,,25,
118114,125,salt,ʔasin,,,3,
118115,126,lake,lanaw,,,1,
118116,127,woods/forest,gulangan,,,58,
118117,128,sky,langit,,,1,
118118,129,moon,bulan,,,1,
118119,130,star,bituʔun,,,1,
118120,131,cloud,gabun,,,1,
118121,133,rain,ʔulan,,,1,
118122,134,thunder,daugdug,,,"2,48",
118123,135,lightning,kilat,,,1,
118124,136,wind,hangin,,,1,
118125,137,"to blow",huyup,,,"1,44",
118126,138,warm,mapasuʔ,"hot (as in water)",,26,
118127,139,cold,mahagpay,,,"119,121",
118128,140,dry,tahay,"dry (not wet)",,44,
118129,140,dry,patahayun,"to dry",,44,
118130,141,wet,basaʔ,,,1,
118131,142,heavy,mabuʔgat,,,"1,63",
118132,143,fire,kaayuy,,,10,
118133,144,"to burn",sunug,,,21,
118134,145,smoke,ʔasuh,,,2,
118135,146,ash,ʔabuh,,,1,
118136,147,black,ʔitum,,,1,
