id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
710,"Bikol (Buhinon)","Kenneth S. Olson, et. al.",ubl,buhi1243,"ISO 639–3: bhk Spoken in Buhi, Camarines Sur Province, Philippines. Source: Olson, Kenneth S., Emy T. Ballenas, and Nilo M. Borromeo. \"Buhi’non (Bikol) Digital Wordlist: Presentation Form.\" In Language Documentation & Conservation, Vol. 3, No. 2, pp. 213-225. University of Hawai'i, 2009.Recorded in 2006 at the SIL Center in Bagabag, Nueva Vizcaya Province, Philippines. IPA is used. Apostrophes signify stress, not glottal stops.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bikol, Inland","Andrew C. Hsiu",,"@article{olson2009,  title   = {Buhi’non (Bikol) Digital Wordlist: Presentation Form},  journal = {Language Documentation & Conservation},  volume  = {3},  pages   = {213–225},  year    = {2009},  number  = {2},  author  = {Olson, Kenneth S. and Ballenas, Emy T. and  and Borromeo, Nilo M.}}"
latitude,longitude
13.19890999999999969816,123.48978999999999928150
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
182754,1,hand,kaˈmət,,,"21,68",
182755,2,left,waˈla,,,"25,68",
182756,3,right,toˈʔo,,,"5,25",
182757,4,leg/foot,paˈʔa,,,105,
182758,5,"to walk",ʔaˈɡi,,,108,
182759,6,road/path,tinamˈpo,,,,
3227169,7,"to come",pumunta,,,,
182760,8,"to turn",biˈrik,,,"4,75",
182761,9,"to swim",laˈŋoj,,,1,
182762,10,dirty,maʔaˈtiʔ,,,118,
182763,11,dust,ʔalˈpoɡ,,,"1,51",
182764,12,skin,koˈlit,,,1,
182765,13,back,taɣodˈtod,,,93,
182766,14,belly,təˈjan,"semantic shift from intestines to belly ?",,,
182767,15,bone,toʔˈwaŋ,,,1,
182768,16,intestines,bitoˈka,,,21,
182769,17,liver,ʔaˈtaj,,,1,
182770,18,breast,soˈso,,,1,
182771,20,"to know, be knowledgeable",ʔiˈsi,,,106,
182772,21,"to think",ʔiˈsip,,,23,
182773,22,"to fear",taˈkot,,,1,
182774,23,blood,roˈɡoʔ,,,16,
182775,24,head,paˈjo,,,46,
182776,25,neck,liˈʔəɡ,,,1,
182777,26,hair,boˈwok,,,"1,65",
182778,27,nose,ʔoˈroŋ,,,"1,84",
182779,28,"to breathe",niʔiˈŋa,,,,
182780,29,"to sniff, smell",paˈroŋ,,,79,
182781,30,mouth,ŋoˈsoʔ,,,2,
182782,31,tooth,ŋiˈpən,,,"1,48",
182783,32,tongue,riˈraʔ,,,4,
182784,33,"to laugh",ŋakˈŋak,,,,
182785,35,"to vomit",soˈka,,,9,
182786,36,"to spit",loˈdaʔ,,,1,
182787,37,"to eat",kaˈʔən,,,1,
182788,40,"to drink",ʔiˈnom,,,1,
182789,41,"to bite",ʔəbˈʔəb,,,,
182790,42,"to suck",səpˈsəp,,,1,
182791,43,ear,taliˈŋa,,,1,
182792,44,"to hear",rəˈŋəɡ,,,1,
182793,45,eye,maˈta,,,1,
182794,46,"to see",səˈɣəŋ,"to look or watch",,,
182795,48,"to sleep",toˈroɡ,,,1,
182796,49,"to lie down",saŋˈdəj,"literally 'to lie down with feet on top of someone else who is also lying down'",,,
182797,51,"to sit",ʔəˈɣaʔ,,,,
182798,52,"to stand",tinˈdəɡ,,,20,
182799,53,"person/human being",taˈwo,,,1,
182800,54,man/male,laɣaˈki,,,"2,99",
182801,55,woman/female,babaˈji,,,"1,105",
182802,56,child,ʔaˈɡin,,,,
182803,57,husband,"sәˈɣәd na laɣaˈki",,,,
182804,58,wife,"sәˈɣәd na babaˈji",,,,
182805,59,mother,ʔiˈnaʔ,,,"1,76",
182806,60,father,ʔaˈmaʔ,,,"1,18",
182807,63,name,ŋaˈran,,,1,
182808,64,"to say",sabˈjən,,,33,
182809,65,rope,loˈbid,,,21,
182810,66,"to tie up, fasten",ɡəʔˈran,,,,
182811,67,"to sew",taˈjiʔ,,,1,
182812,69,"to hunt",raʔˈkəp,,,,
182813,71,"to stab, pierce",boˈnoʔ,,,26,
182814,72,"to hit",soˈɡat,"as in target; e.g. rifle or boxing",,,
182815,74,"to kill",ɡəraʔˈnən,,,,
182816,75,"to die, be dead",ɡəraˈʔan,,,,
182817,76,"to live, be alive",bwaj,,,14,
182818,77,"to scratch",kaˈɡaw,,,,
182923,78,"to cut, hack",potˈlon,"root: poˈtol",,103,
182924,78,"to cut, hack",taˈras,,,,
182820,79,stick/wood,ɡiˈriw,,,,
182821,80,"to split",baˈʔak,,,,
182822,81,sharp,mataˈrəm,,,1,
182823,82,"dull, blunt",maŋəˈrəw,,,,
182824,87,"to swell",ɡəˈtək,,,,
182825,88,"to squeeze",pəˈɡaʔ,,,"1,37",
182826,89,"to hold",kapˈtan,,,25,
182827,90,"to dig",nikaˈwot,,,,
182828,94,"to throw",ʔəˈmət,,,,
182829,95,"to fall",ʔoˈloɡ,,,,
182830,96,dog,ʔaˈjam,,,23,
182831,97,bird,baˈjoŋ,,,46,
182832,98,egg,ʔoˈmon,,,,
182833,99,feather,ɡaˈbi,"larger feathers rather than down",,,
182834,100,wing,pakˈpak,,,33,
182835,101,"to fly",laˈjoɡ,,,43,
182836,103,meat/flesh,laˈman,,,46,
182837,104,fat/grease,taˈbaʔ,,,23,
182838,105,tail,ʔiˈkoɡ,,,1,
182839,106,snake,ʔaˈɣas,,,31,
182840,107,"worm (earthworm)",ʔoˈɣod,,,21,
182841,108,louse,koˈto,,,1,
3227174,110,spider,kulalagbaw,,,,
3227175,110,spider,gagamba,,,,
182842,111,fish,ʔisˈraʔ,,,18,
182843,112,rotten,ləˈpaʔ,,,"26,103",
182844,114,leaf,daˈwon,,,1,
182845,115,root,ɡaˈmot,,,3,
182846,116,flower,boˈrak,,,22,
182847,117,fruit,proˈtas,Spanish,L,,
182848,118,grass,ʔaˈwot,,,87,
182849,119,earth/soil,raˈɡaʔ,,,24,
182850,120,stone,baˈto,,,1,
182851,121,sand,bajˈbaj,,,52,
182852,122,water,toˈbiɡ,,,14,
182853,123,"to flow",boˈlos,,,77,
182854,124,sea,daˈɡat,,,25,
182855,125,salt,ʔaˈsin,,,3,
182856,126,lake,laˈwəd,,,,
182857,128,sky,laˈŋit,,,1,
182858,129,moon,boˈlan,,,1,
182859,130,star,bitoˈʔon,,,1,
182860,131,cloud,paŋanoˈron,,,27,
182861,132,fog,ʔamˈbon,,,"27,35",
182862,133,rain,ʔoˈran,,,1,
182863,136,wind,paˈrəs,,,48,
182864,137,"to blow",paˈrəs,"= wind",,,
182865,138,warm,laʔiˈnit,"very hot (water or weather)",,23,
182866,139,cold,maliˈpət,,,,
182867,140,dry,maˈra,,,26,
182868,141,wet,səˈməɡ,,,41,
182869,142,heavy,mabәʔˈɡat,,,"1,63",
182870,143,fire,kalaˈjo,,,10,
182871,144,"to burn",soˈloʔ,,,"100,101",
182872,145,smoke,ʔaˈso,,,2,
182873,146,ash,ʔaˈbo,,,1,
182874,147,black,ʔiˈtəm,,,1,
182875,148,white,poˈtiʔ,,,1,
182876,149,red,poˈla,,,28,
182877,150,yellow,jiˈlo,English,L,,
182878,151,green,birˈdi,Spanish,L,,
182879,152,small,saˈdaj,,,,
182880,153,big,dakəˈɣəʔ,,,"22,23",
182881,154,short,ʔaliʔˈpot,,,44,
182882,155,long,ʔalaˈbaʔ,,,"27,44",
182883,156,thin,maniˈpis,,,1,
182884,157,thick,maiʔˈbәɡ,,,60,
182885,158,narrow,piɡiˈpit,,,,
182886,159,wide,maʔiˈwas,,,69,
3227171,160,"painful, sick",makələg,,,,
3227172,160,"painful, sick",lakələg,,,,
3227173,160,"painful, sick",ilang,,,,
3227168,161,"shy, ashamed",sə'pəg,,,,
182887,162,old,ɡoˈraŋ,,,21,
182888,163,new,baˈɡo,,,"1,54",
182889,164,good,maˈraj,,,"46,120",
182890,165,"bad, evil",maraˈʔət,,,"1,91",
182925,166,"correct, true",taɣˈma,,,,
182926,166,"correct, true",taˈma,,,3,
182892,167,night,ɡaʔˈbi,,,21,
182893,168,day,ʔalˈdaw,,,1,
182894,169,year,taˈʔon,,,1,
182895,170,when?,kinaoˈno,,,"10,19",
182896,173,at,"ʔadto ˈsa",,,14,
182897,174,"in, inside",sa,,,x,
3227167,175,above,ta'as,,,,
182898,177,this,ʔaˈdi,,,39,
182899,178,that,ʔaˈʔan,,,,
182900,179,near,ʔaraˈni,,,"1,35",
182901,180,far,ʔaraˈjoʔ,,,"1,76",
182902,181,where?,saʔˈri,,,,
182903,182,I,ʔaˈko,,,"1,5",
182904,183,thou,ʔiˈka,,,1,
182905,184,he/she,ʔiˈja,,,1,
182906,185,we,kiˈta,,,"1,50",
182907,186,you,kaˈmo,,,"1,38",
182908,187,they,siˈra,,,1,
182909,188,what?,ʔoˈno,,,"2,65",
182910,189,who?,siʔiˈsaj,,,"1,50",
182911,190,other,ʔiˈba,,,12,
182912,191,all,ŋaʔˈmin,,,1,
182913,192,and,saɡˈkəd,,,,
182914,193,if,kin,,,"1,71",
182915,194,how?,paoˈno,,,"29,77",
182916,195,"no, not",ʔinˈdiʔ,,,27,
182917,196,"to count",biˈlaŋ,,,1,
182918,197,One,ʔәˈsad,,,"1,63",
182919,198,Two,doˈwa,,,1,
182920,199,Three,toˈlo,,,1,
182921,200,Four,ʔәˈpat,,,1,
182922,201,Five,liˈma,,,1,
