id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
931,"Gelao (Yueliangwan)","Li Jinfang",giw,whit1267,"Li Jinfang [李锦芳]. 2006. Studies on endangered languages in the Southwest China [西南地区濒危语言调查研究]. Beijing: Minzu University.This White Gelao (Duoluo) dialect is spoken in Yueliangwan 月亮弯, Malipo County, Yunnan, China.",,"Tai-Kadai, Kra, Western Kra","Andrew C. Hsiu",,"@book{323915,  address       = {Beijing},  pages         = {793},  publisher     = {Minzu Chubanshe},  title         = {Xīnán Dìqū Bīnwēi Yŭyán Diàochá Yánjiū},  year          = {2006},  bibtexkey     = {li_diqu-binwei2006},  hhtype        = {overview;comparative;grammar_sketch},  inlg          = {Chinese Mandarin [cmn]},  langnote      = {Also characteristics of Buyang varieties of Funing county Ecun, Lagjia, Ma Guan},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#hvs:Li:Southwest-China},  title_english = {Studies on endangered languages in the Southwest China},  author        = {Li, Jinfang}}"
latitude,longitude
23.01960000000000000000,105.07000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
243308,1,hand,"pa33 mi35",,,1,
243309,2,left,"mi35 ʂəu35",,,46,
243310,3,right,"mi35 ʑu35",,,46,
243311,4,leg/foot,"pa33 kə31",,,42,
243312,5,"to walk",pi35,,,,
243313,6,road/path,"mi33 ɕuŋ35",,,,
243314,7,"to come",m55,,,,
243315,8,"to turn","qo31 qo31",,,,
243316,9,"to swim","kəu31 m33",,,,
243317,10,dirty,"ma33 m55 dʑa55 tʂau31",,,,
243318,12,skin,"bu35 qo31",,,,
243319,13,back,kaŋ33,,,,
243320,15,bone,"qu33 dai31",,,,
243321,17,liver,tai31,,,,
243322,20,"to know, be knowledgeable",su35,,,,
243323,21,"to think","di35 di35",,,,
243324,22,"to fear","qa31 ləu35",,,,
243325,23,blood,pla31,,,,
243326,24,head,"du35 ɚ31",,,,
243327,25,neck,"ʔjaŋ33 luŋ55",,,,
243328,26,hair,"la31 su35",,,,
243329,27,nose,"bu35 mai31",,,,
243330,28,"to breathe",ȥaŋ33,,,,
243331,29,"to sniff, smell",m31,,,,
243332,30,mouth,"bu35 tʂi31",,,,
243333,31,tooth,"di31 pi35",,,,
243334,32,tongue,mlɯ35,,,,
243335,33,"to laugh","qa31 su35",,,,
243336,35,"to vomit",ta31,,,,
243337,36,"to spit",thu31,,,,
243338,37,"to eat",ka55,,,,
243339,40,"to drink",ȥaŋ33,,,,
243340,41,"to bite",tsu33,,,,
243341,43,ear,"pa31 la31 ʑi55",,,,
243342,44,"to hear","jəu31 hu35 ləu31",,,,
243343,45,eye,"bu35 ti35",,,,
243344,46,"to see","haŋ31 qai55",,,,
243345,48,"to sleep","ŋɯ31 qaɯ31",,,,
243346,51,"to sit",qau33,,,,
243347,52,"to stand","ləu31 dzɯ35",,,,
243348,53,"person/human being",tshəɯ31,,,,
243349,54,man/male,"pau55 ba35",,,,
243350,55,woman/female,"di55 mi33",,,,
243351,56,child,"la31 ʔli55",,,,
243352,57,husband,"po33 ba35",,,,
243353,58,wife,mi33,,,,
243354,59,mother,"a33 mei33",,,,
243355,60,father,"a33 ba35",,,,
243356,63,name,mluŋ35,,,,
243357,64,"to say",dȥi35,,,,
243358,65,rope,"di31 tu35",,,,
243359,67,"to sew","qu33 qu33",,,,
243360,69,"to hunt","tʂə31 pi55",,,,
243361,72,"to hit",ʔləɯ31,,,,
243362,74,"to kill",zun35,,,,
243363,75,"to die, be dead",plən35,,,,
243364,76,"to live, be alive",pu33,,,,
243365,81,sharp,tɕhi55,,,,
243366,90,"to dig",ɕi55,,,,
243367,95,"to fall",ti31,,,,
243368,96,dog,"la33 m̥ 55",,,,
243369,97,bird,"la33 ni21",,,,
243370,98,egg,du35,,,,
243371,100,wing,"pa31 ȥəɯ35",,,,
243372,101,"to fly","phu31 phu31",,,,
243373,103,meat/flesh,a33,,,,
243374,105,tail,"di31 tʂai31",,,,
243375,106,snake,"dai31 ŋɯ35",,,,
243376,111,fish,ləu35,,,,
243377,112,rotten,ȥuŋ31,,,,
243378,114,leaf,"dʑi55 ti35",,,,
243379,115,root,"dai31 dʑu555",,,,
243380,116,flower,"la33 bi55 bi55",,,,
243381,117,fruit,ma31,,,,
243382,122,water,m55,,,,
243383,123,"to flow","lu33 lu33",,,,
243384,125,salt,ȵiu55,,,,
243385,128,sky,"du35 ȥu55",,,,
243386,130,star,"duŋ35 dai33",,,,
243387,131,cloud,"mi31 sai55 tai31",,,,
243388,132,fog,"mi31 sai55 tai31",,,,
243389,133,rain,mən35,"nasalized vowel",,,
243390,136,wind,fai31,,,,
243391,137,"to blow",fai31,,,,
243392,139,cold,"qa31 ȥai31",,,,
243393,140,dry,kɯ31,,,,
243394,142,heavy,ku35,,,,
243395,143,fire,pi55,,,,
243396,144,"to burn",pi33,intransitive,,,
243397,145,smoke,ʑi33,,,,
243398,146,ash,"pai31 təɯ31",,,,
243399,147,black,"tsai31 lu35","dark (of face)",,,
243400,148,white,"pei31 au31",,,,
243401,149,red,"plaŋ31 dai31",,,,
243402,150,yellow,"tɕi31 ȵi33",,,,
243608,151,green,"ɕi55 ŋu33",,,,
243609,151,green,"si55 ŋu33",,,,
243404,152,small,dai33,,,,
243405,153,big,ʂaŋ33,,,,
243406,154,short,ȵ̥aŋ33,,,,
243407,155,long,dȥəɯ33,,,,
243408,156,thin,"və33 və33",,,,
243409,157,thick,ni35,,,,
243410,158,narrow,vuŋ35,,,,
243411,159,wide,dȥi31,,,,
243412,162,old,"ŋu55 i33",,,,
243413,163,new,mi55,,,,
243414,164,good,bi33,,,,
243415,167,night,"ȥi35 duŋ35",,,,
243602,168,day,"du35 vu33",sun,,,
243603,168,day,"vu35 duŋ35",day,,,
243417,169,year,plɚ55,,,,
243418,173,at,ni31,,,,
243419,177,this,ni31,,,,
243420,178,that,bu31,,,,
243421,179,near,"ta31 lɯ33",,,,
243422,180,far,"a55 li35",,,,
243423,181,where?,"ma55 naŋ33",,,,
243424,182,I,i33,,,,
243425,183,thou,mu35,,,,
243426,184,he/she,bə31,,,,
243427,185,we,"qa55 i33",,,,
243428,187,they,"qa55 bə31",,,,
243429,188,what?,"a33 tɕi55",,,,
243430,189,who?,"qaŋ33 naŋ33",,,,
243431,192,and,ti35,,,,
243432,194,how?,"sa55 na33",,,,
243433,195,"no, not","ma33 ... tʂau31",,,,
243434,196,"to count",dəu33,,,,
243435,197,One,"tʂi33 (du35)",,,1,
243436,198,Two,"sɯn35 (du35)",,,1?,
243437,199,Three,"tau55 (du35)",,,1,
243438,200,Four,"pu55 (du35)",,,11,
243439,201,Five,"mlən35 (du35)",,,1,
