id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
672,"Kalinga, Limos","Summer Institute of Linguistics (1981)",kmk,limo1248,"ISO 639-3: kmk Spoken in northern Kalinga Province, Luzon.A classified vocabulary: English, Pilipino and Limos Kalinga. 1981. Summer Institute of Linguistics.",,"Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Central Cordilleran, North Central Cordilleran, Kalinga-Itneg, Kalinga","Andrew C. Hsiu",,"@book{83052,  pages      = {xi+444},  publisher  = {Summer Institute of Linguistics},  title      = {A classified vocabulary: English, Pilipino and Limos Kalinga},  year       = {1981},  bibtexkey  = {anonymous_limos-kalinga1981},  country    = {Philippines [PH]},  fn         = {papua\anonymous_vocabulary-limos-kalinga1981.pdf},  hhtype     = {dictionary},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {18084},  src        = {hh},  srctrickle = {hh#d:Anonymous:Limos-Kalinga},  subject    = {Vocabulary [Zvoc]},  author     = {Anonymous}}"
latitude,longitude
17.60812999999999917122,121.38057000000000584805
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
174016,1,hand,íma,,,"1,65",
174221,2,left,kawigí,"*R > Kalinga /l/",L,"1,42",
174222,2,left,kattigíd,,,36,
174018,3,right,diwanán,,,"1,75",
174019,4,leg/foot,ikí,,,24,
174020,5,"to walk",kumiyang,,,,
174021,6,road/path,dálan,,,1,
174213,7,"to come",dumatóng,,,14,
174214,7,"to come",sumáal,"go home",,,
174210,8,"to turn",manlíwos,,,76,
174211,8,"to turn",manlitón,,,,
174212,8,"to turn",manligús,,,128,
174024,9,"to swim",kiyát,,,37,
174025,10,dirty,naísaw,,,56,
174026,11,dust,appúk,"dust in air",,1,
174223,12,skin,kupsít,,,,
174224,12,skin,geddáng,,,66,
174225,13,back,odóg,,,21,
174226,13,back,awíd,,,,
174227,13,back,bonóg,,,45,
174029,14,belly,buwáng,,,51,
174030,15,bone,dúli,,,2,
174031,16,intestines,bágis,,,70,
174032,17,liver,agtóy,,L,,
174033,18,breast,súsu,,,1,
174034,19,shoulder,abála,,,1,
174035,20,"to know, be knowledgeable",tigammu,,,"25,28",
174228,21,"to think",mandomdom,,,13,
174229,21,"to think",mansomsomok,,,44,
174230,22,"to fear",umogyát,,,30,
174231,22,"to fear",kimút,,,,
174038,23,blood,dála,,,1,
174039,24,head,úlu,,,1,
174040,25,neck,bagáng,,,73,
174041,26,hair,buúk,,,"1,65",
174042,27,nose,ongól,,,85,
174043,28,"to breathe",umángos,,,"23,24",
174044,29,"to sniff, smell",sungsúng,noun/root,,9,
174045,30,mouth,sángi,,,91,
174046,31,tooth,ngípon,,,"1,48",
174047,32,tongue,díla,,,4,
174232,33,"to laugh",umémeng,,,,
174233,33,"to laugh",umulkiyós,,,,
174234,34,"to cry",man-íbil,,,22,
174235,34,"to cry",manlúwa,,,,
174050,35,"to vomit",úta,noun/root,,1,
174051,36,"to spit",mallugpá,,,44,
174052,37,"to eat",mangán,,,"1,14",
174053,38,"to chew",mangkotkót,,,51,
174236,39,"to cook",man-útu,,,20,
174237,39,"to cook",man-asúg,,,103,
174055,40,"to drink",uminúm,,,1,
174056,41,"to bite",mangkunít,,,,
174057,42,"to suck",susúpon,,,"1,24",
174058,43,ear,ínga,,,"1,38",
174059,44,"to hear",magngól,,,1,
174060,45,eye,atá,,,"1,9",
174061,46,"to see",umíla,,,26,
174062,47,"to yawn",uwáb,noun/root,,19,
174063,48,"to sleep",súyop,noun/root,,31,
174064,49,"to lie down",umbog,"lie down on a sleeping board",,85,
174065,50,"to dream",inóp,noun/root,,"30,57",
174066,51,"to sit",mantúpak,,,,
174067,52,"to stand",sumíkad,,,28,
174068,53,"person/human being",tágu,,,"1,75",
174069,54,man/male,laláki,,,"2,99",
174070,55,woman/female,babái,,,"1,105",
174238,56,child,anák,,,1,
174239,56,child,abéng,,,21,
174072,57,husband,asáwa,,,2,
174073,58,wife,asáwa,,,1,
174074,59,mother,iná,,,1,
174075,60,father,amá,,,1,
174076,61,house,bolóy,,,14,
174077,62,thatch/roof,otóp,,,1,
174078,63,name,ngádan,,,"1,47",
174079,64,"to say",ibagá,,,22,
174240,65,rope,talí,,,1,
174241,65,rope,lúbid,,,21,
174242,65,rope,sílu,,,1,
174081,66,"to tie up, fasten",postón,"root: posót",,,
174082,67,"to sew",mandáit,,,2,
174083,68,needle,tánud,,,15,
174084,69,"to hunt",manganup,,,1,
174085,70,"to shoot",mamaltug,"to shoot a gun",,,
174243,71,"to stab, pierce",iduy-úk,,,,
174244,71,"to stab, pierce",iduspák,,,,
174087,72,"to hit",gongat,root,,,
174088,73,"to steal",akáwon,,,"1,54",
174089,75,"to die, be dead",matóy,adjective,,1,
174219,76,"to live, be alive",matágu,adjective,,75,
174220,76,"to live, be alive",matattagúwan,,,75,
174091,77,"to scratch",kudkúd,root,,42,
174092,78,"to cut, hack",pokpokón,,,,
174093,79,stick/wood,luttíng,,,,
174217,80,"to split",biíkon,,,,
174218,80,"to split",bisakon,,,,
174095,81,sharp,tadóm,,,1,
174096,83,"to work",mangkokwa,,,,
174097,84,"to plant",mammúla,,,1,
174098,85,"to choose",mampíli,,,1,
174099,86,"to grow",túbu,root,,1,
174245,88,"to squeeze",pokolón,,,,
174246,88,"to squeeze",posposón,,,18,
174101,89,"to hold",aggomán,,,"43,98",
174102,90,"to dig",kulúban,,,,
174247,91,"to buy",gátang,root,,"21,52",
174248,91,"to buy",ngína,,,28,
174104,92,"to open, uncover",bukatán,,,"1,65",
174105,93,"to pound, beat",mambáyu,,,1,
174106,94,"to throw",batuwón,,,45,
174107,95,"to fall",pognás,,,,
174108,96,dog,ásu,,,1,
174109,97,bird,sissíwit,,,43,
174110,98,egg,iplóg,,,"1,24",
174111,99,feather,dutdút,,,15,
174112,100,wing,payák,,,"33,40",
174113,101,"to fly",tumáud,,,85,
174249,102,rat,útut,,,25,
174250,102,rat,kuwíl,,,,
174115,103,meat/flesh,bogás,,,28,
174116,104,fat/grease,tabá,,,23,
174117,105,tail,ípus,,,30,
174118,106,snake,úlog,"also means \"worm\"",,"2,33",
174119,107,"worm (earthworm)",koláng,"intestinal worm",,18,
174120,108,louse,kútu,,,1,
174121,109,mosquito,ílok,,,,
174122,110,spider,kawá,,,"1,71",
174251,111,fish,ikán,,,1,
174252,111,fish,lamós,,,,
174124,113,branch,sangá,,,2,
174125,114,leaf,túbu,,,23,
174126,115,root,lamút,,,3,
174127,116,flower,tabbák,,,60,
174128,117,fruit,búnga,,,9,
174129,118,grass,bollát,,,,
174130,119,earth/soil,píta,,,"23,37",
174131,120,stone,batú,,,1,
174132,121,sand,lagán,,,38,
174133,122,water,danúm,,,1,
174134,123,"to flow",man-áyus,,,"2,74",
174135,124,sea,báybay,"from Ilokano",L,,
174136,125,salt,asín,,,3,
174137,126,lake,banánaw,,,,
174253,127,woods/forest,ginúbat,,,50,
174254,127,woods/forest,tattalún,,,30,
174139,128,sky,lángit,,,1,
174140,129,moon,búlan,,,1,
174141,130,star,bitúwon,,,1,
174142,131,cloud,búnot,,,,
174143,132,fog,appápuk,mist,,,
174144,133,rain,udán,,,1,
174145,134,thunder,kidúl,,,"2,92",
174146,135,lightning,kilát,,,1,
174147,136,wind,bayogbóg,,,"27,84",
174148,137,"to blow",sap-uyan,,,,
174149,138,warm,naínit,,,23,
174150,139,cold,natunglín,"damp, cold weather",,"32,116",
174151,140,dry,namagá,,,26,
174152,141,wet,nabasá,,,1,
174153,142,heavy,nadagsón,,,23,
174154,143,fire,apúy,,,1,
174155,144,"to burn",gumílab,"-um- verb",,,
174156,145,smoke,asúk,,,"2,53",
174157,146,ash,gabú,,,1,
174158,147,black,nangísit,"from Ilokano",L,,
174255,148,white,napúkaw,,,"3,110",
174256,148,white,napolkás,,,,
174160,149,red,nadokót,,,106,
174161,150,yellow,nadúlaw,,,24,
174162,151,green,naáta,,,1,
174257,152,small,bang-óg,,,33,
174258,152,small,bang-ít,,,33,
174259,153,big,dakól,,,"22,102",
174260,153,big,ab-abúy,,,99,
174165,154,short,abobá,,,54,
174166,156,thin,nayápit,,,"1,2",
174167,158,narrow,nanáwag,'wide',,,
174168,159,wide,nasúpit,'narrow',,,
174169,160,"painful, sick",masakít,,,1,
174170,161,"shy, ashamed",mabaín,,,25,
174171,162,old,dadáan,,,x,
174172,163,new,bagú,,,"1,54",
174215,164,good,nabalú,,,,
174216,164,good,napiyá,,,1,
174261,165,"bad, evil",lawéng,,,"34,85",
174262,165,"bad, evil",nadadág,,,,
174175,166,"correct, true",tuttúwa,,,"6,81",
174176,167,night,labí,,,21,
174177,168,day,álgaw,,,1,
174263,169,year,tawón,,,"1,71",
174264,169,year,dagún,,,"43,73",
174940,170,when?,kapigá,,,"1,26",
174179,171,"to hide",isulúk,,,,
174265,172,"to climb",tagadá,root,,,
174266,172,"to climb",sakáy,,,2,
174181,174,"in, inside",dálom,,,1,
174182,175,above,nangátu,,,"21,16",
174183,176,below,nadobá,,,,
174184,177,this,tu,,,10,
174267,178,that,nat,,,1,
174268,178,that,di,,,56,
174186,179,near,adaní,,,"1,35",
174187,180,far,adayú,,,"1,76",
174188,181,where?,kapigá,,,,
174189,182,I,-ak,,,"1,30",
174190,183,thou,ka,,,"1,29",
174191,184,he/she,na,"passive, since active form does not exist: equiv. to Tagalog \"niya\"",,"1,34",
174269,185,we,takú,,,"1,58",
174270,185,we,kamí,,,"2,51",
174193,186,you,ka,,,s,
174194,187,they,da,,,"1,52",
174941,188,what?,allá,,,,
174271,191,all,losán,,,,
174272,191,all,amín,,,1,
174273,192,and,ot,,,1,
174274,192,and,kan,,,1,
174197,193,if,nu,,,"2,70",
174942,196,"to count",bílang,,,1,
174943,196,"to count",iyáp,,,2,
174198,197,One,osá,,,1,
174199,198,Two,duwá,,,1,
174200,199,Three,tulú,,,1,
174201,200,Four,opát,,,1,
174202,201,Five,limá,,,1,
174203,202,Six,onóm,,,1,
174204,203,Seven,pitú,,,1,
174205,204,Eight,walú,,,3,
174206,205,Nine,siyám,,,9,
174207,206,Ten,simpúlu,,,5,
174208,209,"One Hundred",singgasút,,,"4,50",
174209,210,"One Thousand",sillíbu,,,5,
