id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
925,"Gelao (Wantao)","Ming Yue & Li Jinfang",giw,whit1267,"Two sources consulted:Ming Yue [明悦]. 2010. Comparison of Fengyan Gelao with other related Gelao dialects [峰岩仡佬语及方言内部比较]. M.A. dissertation. Beijing: Minzu University.Li Jinfang [李锦芳]. 2006. Studies on endangered languages in the Southwest China [西南地区濒危语言调查研究]. Beijing: Minzu University.This White Gelao (Duoluo) dialect is spoken in Wantao (弯桃), Longlin County, Guangxi, China.",,"Tai-Kadai, Kra, Western Kra","Andrew C. Hsiu",,"@book{323915,  address       = {Beijing},  pages         = {793},  publisher     = {Minzu Chubanshe},  title         = {Xīnán Dìqū Bīnwēi Yŭyán Diàochá Yánjiū},  year          = {2006},  bibtexkey     = {li_diqu-binwei2006},  hhtype        = {overview;comparative;grammar_sketch},  inlg          = {Chinese Mandarin [cmn]},  langnote      = {Also characteristics of Buyang varieties of Funing county Ecun, Lagjia, Ma Guan},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#hvs:Li:Southwest-China},  title_english = {Studies on endangered languages in the Southwest China},  author        = {Li, Jinfang}}@book{ming2010a,  date          = {2010},  title_english = {Comparison of Fengyan Gelao with other related Gelao dialects},  title         = {峰岩仡佬语及方言内部比较},  note          = {M.A. dissertation},  publisher     = {Minzu University},  language      = {en},  address       = {Beijing},  author        = {Ming, Yue [明悦]}}"
latitude,longitude
23.01960000000000000000,105.07000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
242427,1,hand,"pa35 mi31",,,1,
242428,2,left,tsuo53,Chinese,L,,
242429,3,right,jiou35,Chinese,L,,
242586,4,leg/foot,"pa35 ko35",,,42,
242587,4,leg/foot,"pa55 thui44",foot,,,
242431,5,"to walk",pi31,,,,
242588,6,road/path,"ka0 ʔlan31",,,,
242589,6,road/path,"ka0 ʔla31",,,,
242433,7,"to come",do31,,,,
242434,8,"to turn","lə0 we55",,,,
242435,10,dirty,"ka0 le35",,,,
242436,11,dust,"pe55 tu35",,,,
242437,12,skin,"pa0 qu35",,,,
242438,13,back,"ta55 qaŋ55",,,,
242439,14,belly,"pə33 ɬaŋ31",stomach,,,
242440,15,bone,"ka0 dei35",,,,
242441,17,liver,te35,,,,
242442,20,"to know, be knowledgeable",sou31,,,,
242443,21,"to think",dou31,,,,
242444,22,"to fear","pə0 lau31",,,,
242445,23,blood,pja35,,,,
242446,24,head,"ta0 ei55",,,,
242447,25,neck,"ta0 laŋ31",,,,
242590,26,hair,"ka0 suŋ53",,,,
242591,26,hair,"qa0 au35",,,,
242449,27,nose,"tə0 ŋe35",,,,
242450,28,"to breathe","da33 hei31",,,,
242451,29,"to sniff, smell",mu35,,,,
242452,30,mouth,"pə0 tso35",,,,
242453,31,tooth,pjaŋ31,,,,
242454,32,tongue,mau31,,,,
242455,33,"to laugh","ka0 sou31",,,,
242456,35,"to vomit","ka0 ʑau35",,,,
242457,36,"to spit","qa0 thu35",,,,
242458,37,"to eat",ka31,,,,
242459,40,"to drink",ʑan55,,,,
242460,41,"to bite",tsaŋ53,,,,
242461,43,ear,"pa35 wi31",,,,
242462,44,"to hear","ȵə33 hoŋ31",,,,
242463,45,eye,"pə0 tau31",,,1,
242464,46,"to see","qa0 ɬau35 qa35",,,,
242465,48,"to sleep",ŋu35,,,,
242466,51,"to sit",kau55,,,,
242467,52,"to stand","lo35 dȥi31",,,,
242468,53,"person/human being","ka0 tshu35",,,1,
242469,54,man/male,"pau55 ʔlo55",,,,
242470,55,woman/female,"ma55 ʔlo55",,,,
242471,56,child,"la35 ʔle55",,,,
242472,57,husband,"pau55 ba31",,,,
242473,58,wife,"ma55 ʔlo55",,,,
242474,59,mother,mi55,,,,
242475,60,father,ba55,,,,
242476,61,house,"pei55 ei31",,,,
242477,63,name,"ka0 nən31",,,,
242478,64,"to say",ɕi31,,,,
242592,65,rope,"de35 ɬa35",,,,
242593,65,rope,ɬa35,,,,
242480,67,"to sew",kaŋ55,,,,
242481,69,"to hunt","lou35 ka0 dȥɔ31",,,,
242482,72,"to hit",lou35,,,,
242584,74,"to kill",wan31,"to kill (a person)",,,
242585,74,"to kill","bə0 daŋ55","to kill (a person)",,,
242577,75,"to die, be dead",plan31,,,,
242578,75,"to die, be dead",plai31,,,,
242579,75,"to die, be dead",pjai31,,,,
242580,76,"to live, be alive",huŋ35,ripe,,,
242581,76,"to live, be alive","pəu53 ɣe35",,,,
242486,78,"to cut, hack",taiʔ55,,,,
242487,79,stick/wood,ti31,tree,,,
242488,81,sharp,"qə0 qəɯ31",,,,
242489,90,"to dig",sei55,,,,
242490,91,"to buy",tsən31,,,,
242491,94,"to throw","sei55 iau31",,,,
242492,95,"to fall",to35,,,,
242493,96,dog,maɯ31,,,,
242494,97,bird,"mə0 no35",,,1,
