id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
879,"Bungku (Torete)","Mead, D. (1999)",bkz,bung1269,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.β = voiced bilabial fricative",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Eastern, East Coast","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-3.22200000000000000000,122.21200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
234679,1,hand,lima,,,"1,64",
234682,4,leg/foot,karu,,,49,
234833,5,"to walk",metalela,,,,
234832,5,"to walk",lumako,,,,
234750,6,road/path,sala,,,1,
234842,7,"to come",leu,,,,
234824,9,"to swim",lumaŋi,,,1,
234823,9,"to swim",numaŋi,,,1,
234683,12,skin,kuli,,,1,
234681,14,belly,tia,,,,
234686,15,bone,βuku,,,,
234688,17,liver,ate,,,1,
234680,18,breast,susu,,,,
234803,20,"to know, be knowledgeable",toʔori,,,,
234802,20,"to know, be knowledgeable",toʔorio,,,,
234687,23,blood,rea,,,1,
234670,24,head,ulu,,,1,
234678,25,neck,boroŋko,,,,
234671,26,hair,βuu,,,,
234673,27,nose,eŋe,,,,
234674,30,mouth,ŋaŋa,,,,
234676,31,tooth,ŋisi,,,24,
234675,32,tongue,elo,,,4,
234808,33,"to laugh",mototaa,,,,
234807,34,"to cry",menere,,,,
234806,34,"to cry",mepaŋkai,,,,
234831,35,"to vomit",memelu,,,,
234830,35,"to vomit",komelumelu,,,,
234829,36,"to spit",meʔinihu,,,,
234828,36,"to spit",meʔiniu,,,,
234812,37,"to eat",moŋkaa,,,1,
234814,40,"to drink",moenu,,,,
234813,40,"to drink",moʔenu,,,,
234817,41,"to bite",mekiki,,,,
234816,41,"to bite",mobakati,,,,
234815,41,"to bite",moŋkiki,,,,
234677,43,ear,biri,,,26,
234809,44,"to hear",mompodea,,,,
234672,45,eye,mata,,,1,
234811,46,"to see",moŋkita,,,76,
234810,46,"to see",moʔunto,,,78,
234839,48,"to sleep",moturi,,,1,
234838,49,"to lie down",moturituri,,,,
234837,49,"to lie down",motuturi,,,,
234841,50,"to dream",moipi,,,,
234840,50,"to dream",moʔipi,,,,
234836,51,"to sit",tumotoro,,,,
234835,51,"to sit",totoro,,,,
234834,52,"to stand",tumade,,,,
234689,53,"person/human being",mia,,,,
234690,54,man/male,tama,,,,
234691,55,woman/female,tina,,,20,
234696,56,child,ana,,,,
234692,57,husband,βali,,,,
234693,58,wife,βali,,,,
234695,59,mother,bae,,,,
234694,60,father,tama,,,,
234843,63,name,ŋee,,,,
234805,64,"to say",montulura,,,,
234804,64,"to say",bitara,,,19,
234749,65,rope,ula,,,,
234748,65,rope,koloro,,,,
234827,74,"to kill",mompopate,,,,
234826,74,"to kill",mompepate,,,,
234822,75,"to die, be dead",mate,,,,
234722,79,stick/wood,keu,,,,
234821,93,"to pound, beat",mombeu,,,,
234819,95,"to fall",tedonta,,,,
234818,95,"to fall",medonta,,,,
234719,96,dog,dahu,,,,
234711,97,bird,manumanu,,,,
234712,98,egg,toli,,,,
234713,99,feather,βulu,,,,
234825,101,"to fly",lumaa,,,,
234718,102,rat,βola,,,,
234684,103,meat/flesh,ihi,,,,
234685,104,fat/grease,taba,,,,
234710,105,tail,iku,,,,
234709,105,tail,iki,,,,
234716,106,snake,saa,,,,
234714,108,louse,kutu,,,,
234715,109,mosquito,buroto,,,,
234717,111,fish,ika,,,,
234720,114,leaf,leβe,,,,
234721,115,root,haka,,,,
234726,116,flower,buŋa,,,,
234725,116,flower,βulele,,,,
234724,116,flower,buŋabuŋa,,,,
234723,117,fruit,βua,,,,
234736,119,earth/soil,βita,,,,
234747,120,stone,βatu,,,,
234735,121,sand,one,,,,
234739,122,water,baho,,,,
234734,124,sea,tahi,,,,
234738,125,salt,hia,,,,
234737,125,salt,ohia,,,,
234743,126,lake,leŋko,,,,
234742,126,lake,laroʔepe,,,,
234741,126,lake,rano,,,,
234740,127,woods/forest,laroŋkeu,,,,
234730,128,sky,lahumoa,,,,
234729,128,sky,lahuene,,,,
234727,129,moon,βula,,,1,
234728,130,star,anaβula,,,,
234731,131,cloud,gaβu,,,,
234732,133,rain,usa,,,,
234733,136,wind,pue,,,,
234763,138,warm,mokulakula,"(luke)warm (water)",,,
234762,138,warm,moβolo,"(luke)warm (water)",,,
234760,138,warm,mokula,"hot (water)",,,
234761,139,cold,momapu,,,,
234755,140,dry,motui,,,,
234754,140,dry,motuʔi,,,,
234744,143,fire,api,,,,
234820,144,"to burn",montunu,,,,
234745,145,smoke,ahu,,,,
234746,146,ash,aβu,,,,
234769,147,black,moito,,,,
234768,147,black,moʔito,,,,
234767,148,white,mopute,,,,
234771,149,red,momea,,,,
234770,150,yellow,mokuni,,,,
234773,151,green,mololo,,,,
234772,151,green,moʔuso,,,,
234752,152,small,moheβu,,,,
234751,153,big,oβose,,,,
234764,154,short,ompudu,,,,
234765,155,long,orota,,,,
234759,162,old,motuʔa,,,,
234758,163,new,sarai,,,,
234753,164,good,moiko,,,,
234801,167,night,malo,,,,
234800,175,above,"i βaβo",,,,
234799,176,below,"i pada",under,,,
234798,176,below,"i tonto",under,,,
234777,177,this,hoai,,,,
234776,177,this,koai,,,,
234775,177,this,hoʔai,,,,
234781,178,that,hoiko,,,,
234780,178,that,hoiso,,,,
234779,178,that,hoʔisoane,far,,,
234778,178,that,hoʔiso,,,,
234757,179,near,oβoa,,,,
234756,180,far,olai,,,,
234847,181,where?,isua,,,,
