id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
882,Kodeoha,"Mead, D. (1999)",bkz,bung1269,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.ɸ = voiceless bilabial fricativeβ = voiced bilabial fricative",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Eastern, East Coast","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-3.22200000000000000000,122.21200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
235186,1,hand,kai,,,36,
235189,4,leg/foot,kare,,,49,
235329,5,"to walk",numolako,,,,
235328,5,"to walk",lumolako,,,,
235254,6,road/path,sala,,,1,
235341,7,"to come",hake,,,,
235340,7,"to come",hakeromai,,,,
235320,9,"to swim",numonaŋo,,,1,
235319,9,"to swim",numaŋo,,,1,
235190,12,skin,kuli,,,1,
235188,14,belly,tia,,,,
235194,15,bone,toʔola,,,,
235193,15,bone,toola,,,,
235196,17,liver,ate,,,1,
235187,18,breast,uhu,,,,
235302,20,"to know, be knowledgeable",torikee,,,,
235195,23,blood,beli,,,,
235177,24,head,ulu,,,1,
235185,25,neck,βoroko,,,,
235178,26,hair,βuu,,,,
235180,27,nose,ŋusu,,,,
235181,30,mouth,podu,,,,
235183,31,tooth,ŋisi,,,24,
235182,32,tongue,elo,,,4,
235306,33,"to laugh",melama,,,,
235305,34,"to cry",miʔia,,,,
235304,34,"to cry",miia,,,,
235327,35,"to vomit",teʔua,,,,
235326,35,"to vomit",peua,,,,
235325,36,"to spit",meʔini,,,,
235324,36,"to spit",meini,,,,
235310,37,"to eat",mogaa,,,1,
235312,40,"to drink",moinu,,,,
235311,40,"to drink",moʔinu,,,,
235314,41,"to bite",mogara,,,,
235313,41,"to bite",mekara,,,,
235184,43,ear,toliŋa,,,1,
235307,44,"to hear",mobodea,,,,
235309,45,eye,mekikii,,,,
235179,45,eye,mata,,,1,
235308,46,"to see",mogii,,,76,
235337,48,"to sleep",moʔiso,,,,
235336,48,"to sleep",moiso,,,,
235335,49,"to lie down",meguleloako,,,,
235334,49,"to lie down",moisoiso,,,,
235333,49,"to lie down",megulegulelo,,,,
235339,50,"to dream",moʔipi,,,,
235338,50,"to dream",moipi,,,,
235332,51,"to sit",medotoro,,,,
235331,51,"to sit",medōtoro,,,,
235330,52,"to stand",mepotusa,,,,
235198,53,"person/human being",toʔono,,,,
235197,53,"person/human being",toono,,,,
235199,54,man/male,kinalohi,,,,
235200,55,woman/female,pinihupi,,,,
235205,56,child,ana,,,,
235201,57,husband,sagina,,,,
235202,58,wife,sagina,,,,
235204,59,mother,ina,,,,
235203,60,father,ama,,,,
235342,63,name,tamo,,,,
235303,64,"to say",mobitara,,,19,
235253,65,rope,kororo,small,,,
235252,65,rope,loʔoha,large,,,
235251,65,rope,oloo,,,,
235323,74,"to kill",mobepate,,,,
235318,75,"to die, be dead",mate,,,,
235225,79,stick/wood,kasu,,,,
235317,93,"to pound, beat",mobido,,,,
235315,95,"to fall",mosia,,,,
235222,96,dog,dahu,,,,
235214,97,bird,suisui,,,,
235215,98,egg,gorau,,,,
235216,99,feather,βulu,,,,
235322,101,"to fly",melumuhako,,,,
235321,101,"to fly",lumaa,,,,
235221,102,rat,tagelobu,,,,
235191,103,meat/flesh,ramo,,,,
235192,104,fat/grease,seli,,,,
235213,105,tail,pale,,,,
235219,106,snake,sao,,,,
235217,108,louse,kutu,,,,
235218,109,mosquito,nini,,,,
235220,111,fish,βete,,,,
235223,114,leaf,taβa,,,,
235224,115,root,haka,,,,
235228,116,flower,buŋa,,,,
235227,116,flower,buŋabuŋa,,,,
235226,117,fruit,βua,,,,
235239,119,earth/soil,βuta,,,,
235250,120,stone,βatu,,,,
235238,121,sand,tabohahi,,,,
235237,121,sand,one,,,,
235242,122,water,iβoi,,,,
235236,124,sea,tahi,,,,
235241,125,salt,hio,,,,
235240,125,salt,ohio,,,,
235245,126,lake,tahimoteβe,,,,
235244,126,lake,βoiteobo,,,,
235243,127,woods/forest,lalogasu,,,,
235232,128,sky,lāhuene,,,,
235231,128,sky,lahueni,,,,
235229,129,moon,βula,,,1,
235230,130,star,βotiti,,,,
235233,131,cloud,seru,,,,
235234,133,rain,usa,,,,
235235,136,wind,aŋi,,,,
235267,138,warm,moβolo,"(luke)warm (water)",,,
235266,138,warm,mokulakula,"(luke)warm (water)",,,
235264,138,warm,mokula,"hot (water)",,,
235265,139,cold,monapa,,,,
235259,140,dry,moβatu,,,,
235246,143,fire,api,,,,
235316,144,"to burn",modunu,,,,
235248,145,smoke,ahu,,,,
235247,145,smoke,ahuapi,,,,
235249,146,ash,aβu,,,,
235273,147,black,meʔeto,,,,
235272,147,black,meeto,,,,
235271,148,white,mopute,,,,
235275,149,red,motaha,,,,
235274,150,yellow,mouso,,,,
235276,151,green,maido,,,,
235256,152,small,moheβu,,,,
235255,153,big,mohola,,,,
235268,154,short,pudere,,,,
235269,155,long,medaa,,,,
235263,162,old,motuo,,,,
235262,163,new,βuohu,,,,
235258,164,good,meabo,,,,
235257,164,good,meaβo,,,,
235301,167,night,βiŋi,,,,
235300,175,above,"i βaβo",,,,
235299,176,below,"i todo",under,,,
235298,176,below,"i tōdo",under,,,
