id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
677,"Dong, Southern","Long Yaohong & Zheng Guoqiao",kmc,sout2741,"ISO 639-3: kmc. Rongjiang-Zhanglu dialect. For comparative purposes regarding the Austric hypothesis. (Dong is a Kam-Sui language, which is distantly related to Thai.)	Source: Long Yaohong and Zheng Guoqiao. The Dong Language in Guizhou Province, China. Dallas, TX: Summer Institute of Linguistics: [Arlington]: University of Texas at Arlington, 1998. ISBN 1556710518.The \"j\" letters palatalize their preceding consonants. Tones are marked by numbers.",,"Tai-Kadai, Kam-Tai, Kam-Sui","Andrew C. Hsiu",,"@book{101317,  address    = {Dallas},  publisher  = {Summer Institute of Linguistics and the University of Texas at Arlington},  series     = {Translated from Chinese by D. Norman Geary. Publications in Linguistics},  title      = {The Dong Language in Guizhou Province, China},  volume     = {126},  year       = {1998},  bibtexkey  = {guoqiao-long_dong-guizhou1998},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Eurasia},  src        = {wals},  srctrickle = {wals#3676},  author     = {Long, Yaohong and Guoqiao, Zheng}}"
latitude,longitude
25.88739999999999952252,109.22190999999999405645
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
175992,1,hand,mja212,,,1,
175993,2,left,ȶe323,,,46,
175994,3,right,wa35,,,1,
175995,4,leg/foot,tin55,,,12,
175996,5,"to walk",ȶham13,,,,
175997,6,road/path,khwən35,,,,
176191,7,"to come",ma35,,,,
176192,7,"to come",tɐŋ55,,,,
202661,8,"to turn",ɕon55,Chinese,Loan,,
176193,10,dirty,wa53,,,,
176194,10,dirty,wok21,,,,
176195,11,dust,puŋ53,,,,
176196,11,dust,phən35,,,,
176001,12,skin,pi212,Chinese,L,,
176002,13,back,lai212,,,,
176003,14,belly,loŋ212,,,,
176004,15,bone,lak323,,,,
176005,16,intestines,sai323,,,,
176006,17,liver,tɐp55,,,,
176179,18,breast,mi212,,,,
176180,18,breast,ȵo31,,,,
176008,19,shoulder,sa35,,,,
176009,20,"to know, be knowledgeable",wo31,,,,
176010,21,"to think",mje33,,,,
176011,22,"to fear",jau13,,,,
176012,23,blood,phat13,,,,
176013,24,head,kau323,,,1,
176014,25,neck,ȵən33,,,,
176015,26,hair,pjɐm55,,,,
176016,27,nose,mɐŋ55,,,,
176017,30,mouth,ʔəp55,,,,
176018,31,tooth,pjɐn55,,,,
176019,32,tongue,ma212,,,1,
176020,33,"to laugh",ko55,,,,
176021,34,"to cry",ne323,,,,
176187,35,"to vomit",wen35,,,,
176188,35,"to vomit",ȵe55,,,,
176023,36,"to spit",phju453,,,,
176183,37,"to eat",ȶan55,,,1,
176184,37,"to eat",ȶi55,,,,
176025,38,"to chew",ŋɐm31,gnaw,,,
176026,39,"to cook",tuŋ55,"to boil",,,
176027,40,"to drink",wum31,,,,
176028,41,"to bite",ʔit31,,,,
176029,43,ear,kha35,,,,
176185,44,"to hear","ɕoŋ55 kha35",,,,
176186,44,"to hear","ȶhiŋ 453",,,,
176031,45,eye,ta55,,,1,
176197,46,"to see",nu53,,,,
176198,46,"to see",nɐŋ212,,,,
176199,48,"to sleep",nun212,,,,
176200,48,"to sleep",nɐk35,,,,
176034,50,"to dream",pjɐn55,noun,,,
176035,51,"to sit",sui53,,,,
176036,52,"to stand",jun55,,,,
176037,53,"person/human being",ȵən212,Chinese,L,,
176181,54,man/male,pan55,,,,
176182,54,man/male,"lak31 pan55",,,,
176201,55,woman/female,mjek323,,,,
176202,55,woman/female,"tu212 sa31",,,,
176040,56,child,"lak31 ʔun323",,,1,
176041,57,husband,sau31,,,,
176042,58,wife,mai31,,,,
176043,59,mother,nɐi31,,,,
176044,60,father,pu31,,,,
176045,61,house,jan212,,,,
176046,63,name,kwan55,,,,
176047,64,"to say",wa33,,,,
176048,65,rope,lam33,,,,
176049,66,"to tie up, fasten",suk31,,,,
176203,67,"to sew",paŋ55,,,,
176204,67,"to sew",ȶip323,,,,
176051,70,"to shoot",peŋ531,,,1,
176205,72,"to hit",heu35,,,,
176206,72,"to hit",ʔui53,,,,
176053,73,"to steal",ljɐk21,,,,
176054,74,"to kill",sa13,,,,
176055,75,"to die, be dead",tɐi55,,,1,
176056,76,"to live, be alive",ȵau33,"to reside at a location",,,
176207,78,"to cut, hack",tɐt55,"to chop a tree",,,
176208,78,"to cut, hack",pɐm323,"to chop a tree",,,
176058,79,stick/wood,mɐi31,"wood, stick, log, tree",,,
176209,80,"to split",ȵe53,,,,
176210,80,"to split",ɕek13,,,,
176060,81,sharp,jai33,,,,
176061,82,"dull, blunt",təp21,,,,
176171,84,"to plant",mja212,,,1,
176172,84,"to plant",to323,,,,
176211,85,"to choose",lai33,,,,
176212,85,"to choose",ʔen323,,,,
202662,87,"to swell",pu55,,,,
176252,89,"to hold",um323,,,,
176214,90,"to dig",te53,,,,
176215,90,"to dig",lɐu55,,,,
176216,90,"to dig",ʔon55,,,,
176066,91,"to buy",ȶɐi323,,,,
176067,92,"to open, uncover",ʔɐi35,Chinese,L,,
176217,93,"to pound, beat",ɕok55,"PMP *tuktuk?",,,
176218,93,"to pound, beat",mo33,,,,
176069,95,"to fall",tok55,,,,
176070,96,dog,ŋwa35,,,,
176071,97,bird,mok21,"Chicken: 'ai53. Nothern dialect: no'13",,1,
176072,98,egg,kɐi53,,,,
176073,99,feather,pjən55,,,,
176074,100,wing,pa53,,,,
176075,101,"to fly",pən323,,,,
176076,102,rat,no13,,,,
176077,103,meat/flesh,nan31,,,,
176078,104,fat/grease,ju22,oil,,,
176079,105,tail,sət55,,,,
176080,106,snake,sui212,,,,
176081,107,"worm (earthworm)",sɐn31,,,,
176219,108,louse,tau55,,,,
176220,108,louse,nɐn55,,,,
176083,110,spider,ŋo212,,,,
176084,111,fish,pa55,,,,
202663,112,rotten,lui212,,,,
202664,112,rotten,lan33,Chinese,L,,
176085,114,leaf,pa53,,,,
176086,115,root,saŋ35,,,33,
176177,116,flower,nuk323,,,,
176178,116,flower,wa35,,,,
176221,117,fruit,tui55,,,,
176222,117,fruit,təm33,,,,
176089,118,grass,ȵaŋ13,,,,
176223,119,earth/soil,nam33,soil/mud,,,
176224,119,earth/soil,mak31,soil/mud,,,
176175,120,stone,pja55,,,,
176176,120,stone,ȶin55,,,,
176092,121,sand,ɕe35,,,,
176093,122,water,nɐm31,,,1,
176094,123,"to flow",ʔui35,,,,
176095,124,sea,hɐi13,Chinese,L,,
176096,125,salt,jim212,,,,
197364,125,salt,ko55,,,,
176097,128,sky,mən55,,,,
176098,129,moon,"kwaŋ55 ȵan55",,,,
176099,130,star,ɕət55,,,,
176100,131,cloud,ma323,,,,
176101,132,fog,mun212,,,,
176102,133,rain,pjən55,,,,
176103,134,thunder,pja323,,,,
176104,135,lightning,lap323,,,,
176105,136,wind,ləm212,,,,
176225,137,"to blow",wet13,,,,
176226,137,"to blow",səp21,,,,
176107,138,warm,sau323,,,,
202665,138,warm,tun55,hot,,,
202666,138,warm,ljoŋ31,hot,,,
176189,139,cold,ljɐk35,,,,
176190,139,cold,jim453,cool,,,
176109,140,dry,so323,,,,
176110,141,wet,jɐk55,,,,
176111,142,heavy,ȶhɐn35,,,,
176112,143,fire,pui55,,,1,
176113,145,smoke,kwɐn212,,,,
176114,146,ash,phuk13,,,,
176115,147,black,nɐm55,,,1,
176116,148,white,pak31,Chinese,L,,
176117,149,red,ja453,,,,
176118,150,yellow,man13,,,,
176119,151,green,su35,,,,
176227,152,small,ʔun323,,,,
176228,152,small,ni53,,,,
176229,153,big,mak323,,,,
176230,153,big,lau31,,,,
176122,154,short,thən13,,,,
176123,155,long,jai323,,,,
176124,156,thin,maŋ55,,,,
176125,157,thick,na55,,,,
176126,158,narrow,sok35,,,,
176127,159,wide,khwaŋ13,,,,
176128,160,"painful, sick",ʔit323,"Northern dialect: kit31",,1,
176129,162,old,lau31,Chinese,L,,
176130,163,new,mɐi453,,,1,
176131,164,good,lai55,,,,
176231,165,"bad, evil",ja31,,,,
176232,165,"bad, evil",wai33,,,,
176133,166,"correct, true",ȵɐŋ212,,,,
176233,167,night,ȶan55,,,,
176234,167,night,ȵɐm53,,,,
176135,168,day,mɐn55,,,,
176136,169,year,ȵin212,Chinese,L,,
176137,173,at,ȵau33,,,,
176138,174,"in, inside",ʔɐu31,,,,
176139,175,above,ʔu55,,,,
176140,176,below,te323,,,,
176141,177,this,nai33,,,1,
176173,178,that,ȶa33,medial,,,
176174,178,that,ȶa53,distal,,,
176143,179,near,ȶɐn31,,,,
176144,180,far,kai55,,,,
176235,181,where?,"ki55 nu35",,,,
176236,181,where?,"ʔau31 nu35",,,,
176146,182,I,jau212,,,,
176147,183,thou,ȵa212,,,,
176148,184,he/she,mau33,,,,
176237,185,we,tau55,,,,
176238,185,we,ȶiu55,,,,
176150,186,you,ɕau35,,,1,
176151,187,they,"ȶa33 mau33",,,,
176152,188,what?,maŋ212,,,,
176153,189,who?,nɐu212,,,,
176239,191,all,lə35,,,,
176240,191,all,ɕet13,,,,
176241,193,if,"nu53 pau53",,,,
176242,193,if,jaŋ33,,,,
176156,194,how?,"nu35 jaŋ33",,,,
176243,195,"no, not",ʔɐi323,,,,
176244,195,"no, not",kwe212,,,,
176245,195,"no, not",mi31,,,,
