id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
971,Caijia,"Bo Wenze",,caij1234,"Bo Wenze [薄文泽]. 2004. \"A Brief Introduction of Caijia Speech [蔡家话概况]\". Minzu Yuwen.Caijia is spoken by about 1,000 people in Hezhang and Weining Counties of western Guizhou province, China. Their autonym is men31 ni33. According to Chinese sources, this aberrant Tibeto-Burman language is likely related to the poorly attested Longjia (龙家) and Luren (卢人) languages of western Guizhou, and possibly also Bai of Yunnan. Caijia is not listed in Ethnologue.",,"Sino-Tibetan, Tibeto-Burman, Burmic, Ngwi, Northern","Andrew C. Hsiu",,"@book{bo2004a,  date          = {2004},  title_english = {A Brief Introduction of Caijia Speech},  title         = {蔡家话概况},  publisher     = {Minzu},  address       = {Yuwen},  author        = {Bo, Wenze 薄文泽}}"
latitude,longitude
29.15650000000000000000,115.43430000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
250058,1,hand,suo55,,,,
250059,2,left,pa33,,,,
250060,3,right,tsɿ31,,,,
250061,4,leg/foot,ku55,,,,
250062,5,"to walk",ɣa31,,,,
250063,6,road/path,ho55,,,,
250064,7,"to come",ɣɯ31,,,,
250065,12,skin,pəu31,,,,
250066,13,back,"səu33 kui55",,,,
250067,15,bone,"kui55 tuo31",,,,
250068,16,intestines,vu31,,,,
250069,17,liver,"san33 ka33",,,,
250070,18,breast,mi55,,,,
250071,19,shoulder,"ta33 pu31",,,,
250072,20,"to know, be knowledgeable",tiu33,,,,
250073,21,"to think",dɯ31,,,,
250074,22,"to fear",tshɿ33,,,,
250075,23,blood,"tshɿ33 tshɿ33",,,,
250076,24,head,"to33 to55",,,,
250077,25,neck,"suŋ33 kuŋ33",,,,
250078,26,hair,pei55,,,,
250079,27,nose,"bi31 kei33",,,,
250080,29,"to sniff, smell",khu55,,,,
250081,30,mouth,pi31,,,,
250082,31,tooth,"tshei55 pei55",,,,
250083,32,tongue,"dzɿ33 ta31",,,,
250084,33,"to laugh",so31,,,,
250085,34,"to cry",xəu33,,,,
250086,35,"to vomit",lo33,,,,
250087,37,"to eat",zu31,,,,
250088,38,"to chew",tsu31,,,,
250089,39,"to cook",tsu33,,,,
250090,40,"to drink",an31,,,,
250091,41,"to bite",tɕhin33,,,,
250092,43,ear,"ȵi33 kha33",,,,
250093,44,"to hear",thi55,,,,
250094,45,eye,"ȵi33 dzɿ33",,,,
250201,46,"to see",kien33,"to see",,,
250202,46,"to see",tsan33,"to look",,,
250096,48,"to sleep",dzɿ33,,,,
250097,51,"to sit",ku31,,,,
250098,52,"to stand",dan33,,,,
250099,53,"person/human being","ɣuo33 tshuo33",,,,
250100,56,child,ŋa55,,,,
250101,57,husband,muo33,,,,
250102,58,wife,"suo55 puo33",,,,
250103,59,mother,ji33,,,,
250104,60,father,pa55,,,,
250105,61,house,o55,,,,
250106,63,name,mi31,,,,
250107,64,"to say",xa33,,,,
250108,65,rope,su55,,,,
250109,68,needle,tsan33,,,,
250110,70,"to shoot",dza33,,,,
250111,72,"to hit",na31,,,,
250112,73,"to steal",dau31,,,,
250113,74,"to kill",ɕi33,,,,
250114,75,"to die, be dead",sɿ55,,,,
250115,78,"to cut, hack",tau33,,,,
250116,79,stick/wood,so55,tree,,,
250117,81,sharp,ȵan33,,,,
250118,85,"to choose",lɯ31,,,,
250119,87,"to swell",uŋ33,,,,
250215,89,"to hold",ma31,,,,
250216,89,"to hold",a33,,,,
250203,90,"to dig",li55,,,,
250204,90,"to dig",mei55,,,,
250122,91,"to buy",man31,,,,
250123,94,"to throw",pie55,,,,
250124,95,"to fall",ɣa33,,,,
250125,96,dog,khui55,,,,
250126,97,bird,"tsɿ31 tsɿ24",,,,
250127,101,"to fly",bu33,,,,
250128,102,rat,su55,,,,
250129,103,meat/flesh,tsa31,,,,
250130,104,fat/grease,tsɿ33,,,,
250131,106,snake,fei55,,,,
250132,107,"worm (earthworm)",jin24,,,,
250133,108,louse,sei55,,,,
250134,109,mosquito,"tu31 pi24",,,,
250135,110,spider,"ta33 tu55",,,,
250136,111,fish,ɣoŋ24,,,,
250137,115,root,tsu33,,,,
250138,116,flower,je31,,,,
250139,118,grass,tsho55,,,,
250217,120,stone,dza31,,,,
250140,121,sand,sa33,,,,
250141,122,water,sɿ55,,,,
250142,125,salt,san33,,,,
250143,128,sky,khen33,,,,
250209,129,moon,"ko55 pei55 ja33",moon,,,
250210,129,moon,ŋun33,month,,,
250145,130,star,"ɕi55 su31",,,,
250146,133,rain,zɿ33,,,,
250147,134,thunder,tʅ33,,,,
250148,136,wind,pan33,,,,
250149,138,warm,pei31,hot,,,
250150,139,cold,ka31,,,,
250151,140,dry,ɣuŋ31,,,,
250152,141,wet,dzɿ33,,,,
250153,142,heavy,doŋ33,,,,
250154,143,fire,fai55,,,,
250155,147,black,khɯ55,,,,
250156,148,white,bia33,,,,
250157,149,red,tshɿ55,,,,
250158,150,yellow,ɣuŋ31,,,,
250159,151,green,lo33,,,,
250160,152,small,ɕie31,,,,
250161,153,big,la31,,,,
