id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
880,"Bungku (Tulambatu)","Mead, D. (1999)",bkz,bung1269,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.č = voiceless palatal stop/affricateβ = voiced bilabial fricative",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Eastern, East Coast","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-3.22200000000000000000,122.21200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
234860,1,hand,lima,,,"1,64",
234863,4,leg/foot,karu,,,49,
235020,5,"to walk",lumela,,,,
234931,6,road/path,sala,,,1,
235029,7,"to come",leu,,,,
235028,7,"to come","lee ~ leu",,,,
235012,9,"to swim",numaŋi,,,1,
234865,12,skin,kuli,,,1,
234864,12,skin,balula,,,64,
234862,14,belly,čia,,,,
234868,15,bone,βuku,,,,
234870,17,liver,ate,,,1,
234861,18,breast,susu,,,,
234992,20,"to know, be knowledgeable",tōrio,,,,
234991,20,"to know, be knowledgeable",toʔorio,,,,
234869,23,blood,rea,,,1,
234851,24,head,ulu,,,1,
234859,25,neck,boroŋko,,,,
234852,26,hair,βuu,,,,
234854,27,nose,eŋe,,,,
234855,30,mouth,ŋaŋa,,,,
234857,31,tooth,ŋisi,,,24,
234856,32,tongue,elo,,,4,
234997,33,"to laugh",meŋira,,,,
234996,34,"to cry",meŋere,,,,
235019,35,"to vomit",memelu,,,,
235018,35,"to vomit",kolualua,,,,
235017,36,"to spit",meʔinihi,,,,
235016,36,"to spit",meʔeni,,,,
235015,36,"to spit",meʔinii,,,,
235000,37,"to eat",moŋkaa,,,1,
235002,40,"to drink",moʔenu,,,,
235001,40,"to drink",moʔinu,,,,
235004,41,"to bite",mekea,,,,
235003,41,"to bite",moŋkea,,,,
234858,43,ear,biri,,,26,
234998,44,"to hear",mompodea,,,,
234853,45,eye,mata,,,1,
234999,46,"to see",moʔunto,,,78,
235026,48,"to sleep",močuri,,,1,
235025,49,"to lie down",kolelolelo,,,,
235024,49,"to lie down",kolēlelo,,,,
235027,50,"to dream",moʔipi,,,,
235023,51,"to sit",čumotoro,,,,
235022,51,"to sit",tumotoro,,,,
235021,52,"to stand",čumade,,,,
234871,53,"person/human being",mia,,,,
234872,54,man/male,tama,,,,
234873,55,woman/female,čina,,,20,
234881,56,child,ana,,,,
234874,57,husband,čiβa,,,,
234876,58,wife,čiβa,,,,
234875,58,wife,samučua,,,,
234880,59,mother,bai,,,,
234879,59,mother,bae,,,,
234878,60,father,ama,,,,
234877,60,father,tama,,,,
235030,63,name,ŋee,,,,
234995,64,"to say",koloeloe,,,,
234994,64,"to say",bitara,,,19,
234993,64,"to say",mebitara,,,19,
