id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
840,Lianshan,"Zhang et al (1999)",zch,cent2009,"Zhang Junru [张均如], et. al (1999). A Study of Zhuang dialects [壮语方言研究, Zhuàngyǔ Fāngyán Yánjiù]. Chengdu: Sichuan min zu chu ban she [四川民族出版社].Data collected from: Xiaosanjiang 小三江, Lianshan 连山, Guangdong, ChinaClassification: Subgroup N (Pittayaporn 2009)Tones:1 = /42/2 = /132/3 = /55/4 = /214/5 = /35/6 = /13/7 = /55/8 = /13/9 = /35/",,"Tai-Kadai, Kam-Tai, Tai, Northern","Andrew C. Hsiu",,"@book{65414,  address       = {Chéngdū},  pages         = {938},  publisher     = {Sichuan Nationalities Press},  title         = {Zhuàngyŭ fāngyán yánjiū},  year          = {1999},  bibtexkey     = {li-liang-ouyang-xie-zhang-zheng_zhuangyu-fangyan1999},  fn            = {eurasia\zhang_zhuang1999_o.pdf, eurasia\zhang_zhuang1999.pdf},  hhtype        = {overview;comparative;wordlist;phonology},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#hvwphon_Zhangetal_Zhuang},  title_english = {Zhuang dialect research},  author        = {Zhang, Junru and Liang, Min and Ouyang, Jueya and Zheng, Yiqing and Li, Xulian and Xie, Jianyou}}"
latitude,longitude
23.68180000000000000000,107.18400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
211456,1,hand,fuŋ2,,,1,
211457,2,left,θo5,,,46,
211458,3,right,jiu6,,,,
211459,4,leg/foot,"pa:ŋ2 ka1",,,42,
211460,5,"to walk",pja:i3,,,,
211461,6,road/path,jœn1,,,,
211462,7,"to come",tau3,,,,
211463,9,"to swim",jiu2,,,,
211464,10,dirty,ʔu5,,,,
211465,11,dust,fan4,,,,
211466,12,skin,naŋ1,,,56,
211467,13,back,"kən2 laŋ1",,,,
211468,14,belly,tuŋ4,,,,
211469,15,bone,lo:k9,,,,
211470,16,intestines,θai3,,,,
211471,17,liver,tap7,,,,
211472,18,breast,tsi3,,,,
211473,19,shoulder,"po:ŋ2 pa5",,,,
211474,20,"to know, be knowledgeable",jo4,,,,
211475,21,"to think",nam3,,,,
211476,22,"to fear",la:u1,,,43,
211477,23,blood,lœ:t8,,,,
211478,24,head,kjau3,,,1,
211479,25,neck,ho2,,,,
211480,26,hair,"kjau3 pjam1",,,,
211481,27,nose,laŋ1,,,,
211482,29,"to sniff, smell",ȵuŋ5,,,,
211483,30,mouth,pa:k9,,,,
211484,31,tooth,he:u3,,,,
211485,32,tongue,lən4,,,36,
211486,33,"to laugh",hi:u1,,,,
211487,34,"to cry",tai3,,,,
211488,35,"to vomit",ʔy:k8,,,,
211489,36,"to spit",tshy1,,,,
211490,37,"to eat",kən1,,,1,
211491,38,"to chew",ȵa:i3,,,,
211492,39,"to cook",tsi:u1,,,,
211493,40,"to drink",kən1,,,,
211494,41,"to bite",kat7,,,,
211495,42,"to suck",kən1,"to suck, inhale (air)",,,
211496,43,ear,jœ2,,,,
211497,44,"to hear",thiŋ5,,,,
